s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.5000000E-002, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001,-9.3328046E-007, 0.0000000E+000,-9.3328046E-007,-9.3328046E-007, 0.0000000E+000
 1.0001687E+001, 4.4987851E-002, 2.9842030E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000001E+001, 1.9000474E+001, 1.9116969E+001, 2.5578946E+001, 9.8959001E-003, 1.1139133E-002, 2.1035033E-002, 2.1035033E-002, 1.7203457E+000
 2.0004467E+001, 4.4952496E-002, 3.9691762E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000003E+001, 1.9000550E+001, 1.9043152E+001, 2.0373697E+001, 3.4545918E+001, 1.0907382E-002, 1.1605604E-002, 2.2512986E-002, 2.2512986E-002, 1.9392826E+000
 3.0003827E+001, 4.4900661E-002, 4.7147285E+001, 1.9000000E+001, 1.9000000E+001, 1.9000000E+001, 1.9000003E+001, 1.9000256E+001, 1.9012298E+001, 1.9305134E+001, 2.2696399E+001, 4.1023074E+001, 1.2034514E-002, 1.2401130E-002, 2.4435644E-002, 2.4435644E-002, 2.1494646E+000
 4.0002398E+001, 4.4812574E-002, 5.8234071E+001, 1.9000000E+001, 1.9000000E+001, 1.9000002E+001, 1.9000097E+001, 1.9003444E+001, 1.9073112E+001, 1.9906412E+001, 2.5633320E+001, 4.9475125E+001, 1.3984776E-002, 1.4491898E-002, 2.8476674E-002, 2.8476674E-002, 2.4409182E+000
 5.0003558E+001, 4.4658994E-002, 6.1287172E+001, 1.9000000E+001, 1.9000001E+001, 1.9000054E+001, 1.9001506E+001, 1.9027327E+001, 1.9320041E+001, 2.1445849E+001, 3.1488355E+001, 5.1119902E+001, 1.5281457E-002, 1.4811256E-002, 3.0092713E-002, 3.0092713E-002, 2.8201586E+000
 6.0000249E+001, 4.4480673E-002, 6.2900206E+001, 1.9000000E+001, 1.9000015E+001, 1.9000374E+001, 1.9006458E+001, 1.9077330E+001, 1.9644749E+001, 2.2767901E+001, 3.4069580E+001, 5.2080138E+001, 1.6362914E-002, 1.5943328E-002, 3.2306242E-002, 3.2306242E-002, 3.0331939E+000
 7.0000253E+001, 4.4275283E-002, 6.3318883E+001, 1.9000003E+001, 1.9000076E+001, 1.9001338E+001, 1.9016985E+001, 1.9155758E+001, 2.0036200E+001, 2.3962480E+001, 3.5662903E+001, 5.2274984E+001, 1.7154932E-002, 1.6616673E-002, 3.3771605E-002, 3.3771605E-002, 3.2553945E+000
 8.0000899E+001, 4.4066210E-002, 6.3088629E+001, 1.9000015E+001, 1.9000266E+001, 1.9003527E+001, 1.9035070E+001, 1.9261510E+001, 2.0455995E+001, 2.4971539E+001, 3.6727220E+001, 5.2426157E+001, 1.7775859E-002, 1.6946022E-002, 3.4721881E-002, 3.4721881E-002, 3.4438637E+000
 9.0001199E+001, 4.3860982E-002, 6.2789859E+001, 1.9000065E+001, 1.9000859E+001, 1.9008800E+001, 1.9069698E+001, 1.9425623E+001, 2.0989357E+001, 2.6039886E+001, 3.7741062E+001, 5.2384169E+001, 1.8540880E-002, 1.7685662E-002, 3.6226542E-002, 3.6226542E-002, 3.5862185E+000
 1.0000117E+002, 4.3662625E-002, 6.3013551E+001, 1.9000341E+001, 1.9003403E+001, 1.9026904E+001, 1.9168359E+001, 1.9829795E+001, 2.2198327E+001, 2.8586964E+001, 4.1404389E+001, 5.2303323E+001, 1.9041941E-002, 1.8296720E-002, 3.7338661E-002, 3.7338661E-002, 3.7697779E+000
 1.1000074E+002, 4.3455783E-002, 6.3241279E+001, 1.9000900E+001, 1.9007415E+001, 1.9049291E+001, 1.9264058E+001, 2.0134303E+001, 2.2888142E+001, 2.9619809E+001, 4.2308332E+001, 5.2660635E+001, 2.0217712E-002, 1.9773938E-002, 3.9991650E-002, 3.9991650E-002, 3.9992704E+000
 1.2000096E+002, 4.3247121E-002, 6.3263917E+001, 1.9001638E+001, 1.9012041E+001, 1.9071824E+001, 1.9348372E+001, 2.0369571E+001, 2.3355232E+001, 3.0227477E+001, 4.2699550E+001, 5.2583990E+001, 2.0601439E-002, 1.9482855E-002, 4.0084294E-002, 4.0084294E-002, 4.1373952E+000
 1.3000020E+002, 4.3033741E-002, 6.3332371E+001, 1.9002867E+001, 1.9018785E+001, 1.9100767E+001, 1.9444868E+001, 2.0612910E+001, 2.3800632E+001, 3.0772301E+001, 4.2962996E+001, 5.2723479E+001, 2.1399438E-002, 2.0472544E-002, 4.1871982E-002, 4.1871982E-002, 4.2963111E+000
 1.4000178E+002, 4.2827768E-002, 6.3264495E+001, 1.9005748E+001, 1.9032700E+001, 1.9154445E+001, 1.9609255E+001, 2.1005393E+001, 2.4513229E+001, 3.1712399E+001, 4.3839996E+001, 5.2924633E+001, 2.3527390E-002, 2.3018836E-002, 4.6546225E-002, 4.6546225E-002, 4.6356076E+000
 1.5000267E+002, 4.2609663E-002, 6.3597761E+001, 1.9012902E+001, 1.9063825E+001, 1.9265583E+001, 1.9933513E+001, 2.1773046E+001, 2.5978794E+001, 3.3968423E+001, 4.6642607E+001, 5.2938029E+001, 2.5061795E-002, 2.4447060E-002, 4.9508855E-002, 4.9508855E-002, 4.9928837E+000
 1.6000127E+002, 4.2393006E-002, 6.3540787E+001, 1.9020281E+001, 1.9090824E+001, 1.9345601E+001, 2.0124032E+001, 2.2128697E+001, 2.6476283E+001, 3.4434861E+001, 4.6838153E+001, 5.2816226E+001, 2.6541969E-002, 2.6247352E-002, 5.2789321E-002, 5.2789321E-002, 5.3797467E+000
 1.7000002E+002, 4.2177029E-002, 6.3607379E+001, 1.9024036E+001, 1.9104279E+001, 1.9383313E+001, 2.0208805E+001, 2.2278056E+001, 2.6673826E+001, 3.4616719E+001, 4.6905341E+001, 5.2729196E+001, 2.8106995E-002, 2.8288714E-002, 5.6395709E-002, 5.6395709E-002, 5.7513189E+000
 1.8000089E+002, 4.1960403E-002, 6.3579429E+001, 1.9033597E+001, 1.9135462E+001, 1.9465982E+001, 2.0387872E+001, 2.2589159E+001, 2.7092935E+001, 3.5016755E+001, 4.7075976E+001, 5.2839257E+001, 2.9976591E-002, 3.0656978E-002, 6.0633569E-002, 6.0633569E-002, 6.2257781E+000
 1.9000060E+002, 4.1746403E-002, 6.3489567E+001, 1.9055525E+001, 1.9203099E+001, 1.9642307E+001, 2.0777122E+001, 2.3315224E+001, 2.8236048E+001, 3.6535956E+001, 4.8788226E+001, 5.3036251E+001, 3.1453419E-002, 3.3219031E-002, 6.4672449E-002, 6.4672449E-002, 6.6714077E+000
 2.0000121E+002, 4.1534065E-002, 6.3520776E+001, 1.9082540E+001, 1.9280120E+001, 1.9829369E+001, 2.1165019E+001, 2.4000598E+001, 2.9266167E+001, 3.7859640E+001, 5.0391383E+001, 5.3180050E+001, 3.1654813E-002, 3.3980507E-002, 6.5635320E-002, 6.5635320E-002, 6.9509429E+000
 2.1000085E+002, 4.1324628E-002, 6.3381292E+001, 1.9102758E+001, 1.9332286E+001, 1.9941627E+001, 2.1367307E+001, 2.4300678E+001, 2.9620314E+001, 3.8172832E+001, 5.0558561E+001, 5.3329413E+001, 3.3420638E-002, 3.6768530E-002, 7.0189168E-002, 7.0189168E-002, 7.3523650E+000
 2.2000158E+002, 4.1115823E-002, 6.3282850E+001, 1.9109644E+001, 1.9350736E+001, 1.9979707E+001, 2.1432015E+001, 2.4390079E+001, 2.9718643E+001, 3.8257974E+001, 5.0427623E+001, 5.3223215E+001, 3.5303622E-002, 3.9281208E-002, 7.4584830E-002, 7.4584830E-002, 7.8068580E+000
 2.3000074E+002, 4.0907946E-002, 6.3248995E+001, 1.9137194E+001, 1.9416637E+001, 2.0112206E+001, 2.1656474E+001, 2.4704307E+001, 3.0066035E+001, 3.8508628E+001, 5.0405733E+001, 5.2996893E+001, 3.7475149E-002, 4.1462866E-002, 7.8938015E-002, 7.8938015E-002, 8.3689400E+000
