s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.6000000E-002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-7.3974280E-007, 0.0000000E+000,-7.3974280E-007,-7.3974280E-007, 0.0000000E+000
 1.0007849E+001, 4.5997502E-002, 2.3372726E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0000098E+001, 2.0005237E+001, 2.0135961E+001, 2.1749886E+001, 2.4898341E-003, 2.2258112E-003, 4.7156453E-003, 4.7156453E-003, 3.4465573E-001
 2.0008318E+001, 4.5991933E-002, 2.5634153E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0000031E+001, 2.0000789E+001, 2.0013177E+001, 2.0143228E+001, 2.0976409E+001, 2.4015835E+001, 2.8103270E-003, 2.3671837E-003, 5.1775107E-003, 5.1775107E-003, 3.8532233E-001
 3.0002118E+001, 4.5985853E-002, 2.8425304E+001, 2.0000000E+001, 2.0000009E+001, 2.0000092E+001, 2.0001276E+001, 2.0012977E+001, 2.0095842E+001, 2.0509748E+001, 2.1986771E+001, 2.6137835E+001, 3.0384101E-003, 2.5535621E-003, 5.5919722E-003, 5.5919722E-003, 4.1653810E-001
 4.0006172E+001, 4.5979057E-002, 3.1056057E+001, 2.0000017E+001, 2.0000203E+001, 2.0001239E+001, 2.0009555E+001, 2.0057636E+001, 2.0273290E+001, 2.1038867E+001, 2.3266941E+001, 2.8568941E+001, 3.2290037E-003, 2.6466028E-003, 5.8756065E-003, 5.8756065E-003, 4.4796407E-001
 5.0003070E+001, 4.5971543E-002, 3.2774173E+001, 2.0000187E+001, 2.0001425E+001, 2.0006275E+001, 2.0033566E+001, 2.0148594E+001, 2.0550855E+001, 2.1731531E+001, 2.4641055E+001, 3.0437994E+001, 3.5151783E-003, 2.8802716E-003, 6.3954498E-003, 6.3954498E-003, 4.7862237E-001
 6.0007099E+001, 4.5963493E-002, 3.4562418E+001, 2.0000964E+001, 2.0005444E+001, 2.0019275E+001, 2.0081267E+001, 2.0294706E+001, 2.0924329E+001, 2.2508234E+001, 2.5857872E+001, 3.1947070E+001, 3.7312894E-003, 3.0397244E-003, 6.7710138E-003, 6.7710138E-003, 5.1134785E-001
 7.0003862E+001, 4.5954802E-002, 3.6161252E+001, 2.0003218E+001, 2.0014683E+001, 2.0044595E+001, 2.0158761E+001, 2.0496575E+001, 2.1365433E+001, 2.3305168E+001, 2.7094802E+001, 3.3613288E+001, 3.9613181E-003, 3.0927224E-003, 7.0540404E-003, 7.0540404E-003, 5.5028677E-001
 8.0003720E+001, 4.5945406E-002, 3.8612174E+001, 2.0008170E+001, 2.0031807E+001, 2.0086007E+001, 2.0268493E+001, 2.0747023E+001, 2.1855928E+001, 2.4134463E+001, 2.8328773E+001, 3.5537587E+001, 4.2522682E-003, 3.2597333E-003, 7.5120015E-003, 7.5120015E-003, 5.8895161E-001
 9.0004585E+001, 4.5935133E-002, 4.1307469E+001, 2.0017246E+001, 2.0059231E+001, 2.0145966E+001, 2.0410084E+001, 2.1040018E+001, 2.2389386E+001, 2.5009977E+001, 2.9731610E+001, 3.7919056E+001, 4.6126730E-003, 3.4845164E-003, 8.0971895E-003, 8.0971895E-003, 6.3631995E-001
 1.0000718E+002, 4.5923664E-002, 4.4199338E+001, 2.0031866E+001, 2.0098790E+001, 2.0225721E+001, 2.0582339E+001, 2.1372483E+001, 2.2972677E+001, 2.5979101E+001, 3.1347303E+001, 4.0574638E+001, 5.0159468E-003, 3.6407636E-003, 8.6567104E-003, 8.6567104E-003, 6.9666048E-001
 1.1000359E+002, 4.5910894E-002, 4.5500242E+001, 2.0053297E+001, 2.0151750E+001, 2.0325860E+001, 2.0784768E+001, 2.1746618E+001, 2.3620393E+001, 2.7058240E+001, 3.3008186E+001, 4.2272351E+001, 5.4647463E-003, 3.6970169E-003, 9.1617632E-003, 9.1617632E-003, 7.7566800E-001
 1.2000071E+002, 4.5897302E-002, 4.5960597E+001, 2.0082626E+001, 2.0219074E+001, 2.0447052E+001, 2.1018621E+001, 2.2167015E+001, 2.4332186E+001, 2.8158859E+001, 3.4335357E+001, 4.3013162E+001, 6.2889506E-003, 3.8060518E-003, 1.0095002E-002, 1.0095002E-002, 9.3159456E-001
 1.3000467E+002, 4.5882701E-002, 5.0155162E+001, 2.0120854E+001, 2.0301776E+001, 2.0590478E+001, 2.1285634E+001, 2.2631194E+001, 2.5072161E+001, 2.9176459E+001, 3.5532004E+001, 4.5602306E+001, 7.9128326E-003, 4.4182071E-003, 1.2331040E-002, 1.2331040E-002, 1.3355908E+000
 1.4000100E+002, 4.5864630E-002, 5.9459833E+001, 2.0168921E+001, 2.0400846E+001, 2.0756971E+001, 2.1584124E+001, 2.3125646E+001, 2.5816346E+001, 3.0250856E+001, 3.7622183E+001, 5.2250979E+001, 9.8789177E-003, 5.0994358E-003, 1.4978354E-002, 1.4978354E-002, 1.6949371E+000
 1.5000247E+002, 4.5835511E-002, 7.5969391E+001, 2.0227743E+001, 2.0516974E+001, 2.0946155E+001, 2.1909889E+001, 2.3647983E+001, 2.6636721E+001, 3.1779494E+001, 4.1722729E+001, 6.4928055E+001, 1.4405017E-002, 6.1451369E-003, 2.0550154E-002, 2.0550154E-002, 3.1830928E+000
 1.6000298E+002, 4.5719849E-002, 9.7820359E+001, 2.0297391E+001, 2.0647589E+001, 2.1244438E+001, 2.2417241E+001, 2.4494851E+001, 2.8178244E+001, 3.5238722E+001, 5.0788139E+001, 8.6651743E+001, 1.9883108E-002, 7.5900089E-003, 2.7473117E-002, 2.7473117E-002, 4.4551772E+000
 1.7000117E+002, 4.5355278E-002, 1.0453580E+002, 2.0362626E+001, 2.0764568E+001, 2.1518585E+001, 2.2886102E+001, 2.5349845E+001, 3.0004968E+001, 3.9636808E+001, 6.0249108E+001, 9.7990767E+001, 2.4429113E-002, 9.0857683E-003, 3.3514881E-002, 3.3514881E-002, 6.1036069E+000
 1.8000175E+002, 4.4944185E-002, 9.8662790E+001, 2.0411138E+001, 2.0852615E+001, 2.1676086E+001, 2.3191165E+001, 2.6036196E+001, 3.1663134E+001, 4.3087008E+001, 6.4331914E+001, 9.4108774E+001, 2.7813555E-002, 9.5149148E-003, 3.7328470E-002, 3.7328470E-002, 7.9849995E+000
 1.9000208E+002, 4.4667439E-002, 9.8162406E+001, 2.0574757E+001, 2.1148482E+001, 2.2214610E+001, 2.4216915E+001, 2.8082138E+001, 3.5594653E+001, 4.9317368E+001, 7.1036113E+001, 9.4139604E+001, 2.8039923E-002, 9.4493601E-003, 3.7489283E-002, 3.7489283E-002, 8.8641151E+000
 2.0000102E+002, 4.4429131E-002, 9.8156841E+001, 2.0713867E+001, 2.1401196E+001, 2.2689198E+001, 2.5133425E+001, 2.9785184E+001, 3.8318559E+001, 5.2629148E+001, 7.3681898E+001, 9.4359669E+001, 2.5817677E-002, 7.4277482E-003, 3.3245425E-002, 3.3245425E-002, 8.3971643E+000
 2.1000060E+002, 4.4179934E-002, 9.8170672E+001, 2.0785885E+001, 2.1549818E+001, 2.3002001E+001, 2.5762877E+001, 3.0899047E+001, 3.9912955E+001, 5.4306978E+001, 7.4705457E+001, 9.4374796E+001, 2.5012461E-002, 5.6141780E-003, 3.0626639E-002, 3.0626639E-002, 8.5332845E+000
 2.2000010E+002, 4.3906958E-002, 9.8247308E+001, 2.0930537E+001, 2.1823066E+001, 2.3511876E+001, 2.6656240E+001, 3.2282036E+001, 4.1687083E+001, 5.6034150E+001, 7.5715079E+001, 9.4488453E+001, 2.4884347E-002, 4.8701083E-003, 2.9754455E-002, 2.9754455E-002, 9.3942159E+000
 2.3000069E+002, 4.3617693E-002, 9.8258242E+001, 2.1279855E+001, 2.2465970E+001, 2.4659450E+001, 2.8582636E+001, 3.5229514E+001, 4.5693134E+001, 6.0788979E+001, 8.0629475E+001, 9.4423083E+001, 2.4879600E-002, 4.2102280E-003, 2.9089828E-002, 2.9089828E-002, 1.0123890E+001
 2.4000128E+002, 4.3314315E-002, 9.8288205E+001, 2.1487563E+001, 2.2837111E+001, 2.5280940E+001, 2.9524145E+001, 3.6474501E+001, 4.7070218E+001, 6.1973807E+001, 8.1269126E+001, 9.4473389E+001, 2.5260878E-002, 3.9542492E-003, 2.9215127E-002, 2.9215127E-002, 1.0874637E+001
 2.5000201E+002, 4.3008171E-002, 9.8267465E+001, 2.1642796E+001, 2.3112930E+001, 2.5731164E+001, 3.0179856E+001, 3.7301427E+001, 4.7937618E+001, 6.2676666E+001, 8.1609422E+001, 9.4512749E+001, 2.5450111E-002, 3.7002527E-003, 2.9150363E-002, 2.9150363E-002, 1.1655336E+001
 2.6000054E+002, 4.2698854E-002, 9.8300487E+001, 2.2126652E+001, 2.3925264E+001, 2.7013790E+001, 3.2054584E+001, 3.9807694E+001, 5.0977514E+001, 6.6010400E+001, 8.4936182E+001, 9.4668536E+001, 2.4900593E-002, 3.4234424E-003, 2.8324035E-002, 2.8324035E-002, 1.1912599E+001
 2.7000143E+002, 4.2387046E-002, 9.8279615E+001, 2.2545192E+001, 2.4591241E+001, 2.8003536E+001, 3.3406643E+001, 4.1484005E+001, 5.2842062E+001, 6.7848795E+001, 8.6511426E+001, 9.4629289E+001, 2.5338282E-002, 3.1668339E-003, 2.8505115E-002, 2.8505115E-002, 1.2627879E+001
 2.8000227E+002, 4.2070108E-002, 9.8278107E+001, 2.2680261E+001, 2.4798242E+001, 2.8295074E+001, 3.3770646E+001, 4.1874459E+001, 5.3181710E+001, 6.8046773E+001, 8.6482090E+001, 9.4548658E+001, 2.5231906E-002, 2.9762079E-003, 2.8208113E-002, 2.8208113E-002, 1.3041489E+001
 2.9000051E+002, 4.1753264E-002, 9.8264443E+001, 2.3267696E+001, 2.5688512E+001, 2.9564630E+001, 3.5456094E+001, 4.3943988E+001, 5.5520874E+001, 7.0476299E+001, 8.8786062E+001, 9.4656473E+001, 2.5869645E-002, 2.9082934E-003, 2.8777939E-002, 2.8777939E-002, 1.4068728E+001
 3.0000191E+002, 4.1421206E-002, 9.8338171E+001, 2.3889277E+001, 2.6599887E+001, 3.0826037E+001, 3.7087937E+001, 4.5906005E+001, 5.7705363E+001, 7.2718509E+001, 9.0969763E+001, 9.4711919E+001, 2.6049241E-002, 2.8098001E-003, 2.8859041E-002, 2.8859041E-002, 1.4563310E+001
 3.1000061E+002, 4.1073134E-002, 9.8297444E+001, 2.3992070E+001, 2.6724212E+001, 3.0968787E+001, 3.7228010E+001, 4.6006115E+001, 5.7720313E+001, 7.2618511E+001, 9.0737540E+001, 9.4509623E+001, 2.6714869E-002, 2.7460518E-003, 2.9460920E-002, 2.9460920E-002, 1.5696733E+001
 3.2000002E+002, 4.0736809E-002, 9.8269400E+001, 2.4731030E+001, 2.7765238E+001, 3.2361274E+001, 3.8982489E+001, 4.8080549E+001, 6.0021602E+001, 7.5029492E+001, 9.3065666E+001, 9.4691050E+001, 2.6474177E-002, 2.7214994E-003, 2.9195676E-002, 2.9195676E-002, 1.5807015E+001
 3.3000071E+002, 4.0398418E-002, 9.8316795E+001, 2.5402830E+001, 2.8678869E+001, 3.3545341E+001, 4.0430845E+001, 4.9745974E+001, 6.1822660E+001, 7.6869625E+001, 9.4695404E+001, 9.4695404E+001, 2.6657752E-002, 2.6805624E-003, 2.9338314E-002, 2.9338314E-002, 1.6412776E+001
 3.4000236E+002, 4.0053527E-002, 9.8310269E+001, 2.5514866E+001, 2.8790599E+001, 3.3655283E+001, 4.0525470E+001, 4.9805577E+001, 6.1830525E+001, 7.6819760E+001, 9.4599048E+001, 9.4599048E+001, 2.6770574E-002, 2.6213303E-003, 2.9391905E-002, 2.9391905E-002, 1.6903864E+001
 3.5000191E+002, 3.9708474E-002, 9.8289219E+001, 2.6414297E+001, 2.9997537E+001, 3.5205537E+001, 4.2422708E+001, 5.2015350E+001, 6.4282471E+001, 7.9420244E+001, 9.4765317E+001, 9.4765317E+001, 2.6740287E-002, 2.5673730E-003, 2.9307660E-002, 2.9307660E-002, 1.7100159E+001
 3.6000056E+002, 3.9368190E-002, 9.8289609E+001, 2.7056481E+001, 3.0812965E+001, 3.6202554E+001, 4.3583761E+001, 5.3296735E+001, 6.5622120E+001, 8.0755542E+001, 9.4691684E+001, 9.4691684E+001, 2.6748485E-002, 2.4516660E-003, 2.9200151E-002, 2.9200151E-002, 1.7324908E+001
 3.7000027E+002, 3.9019208E-002, 9.8302731E+001, 2.7195672E+001, 3.0940407E+001, 3.6320676E+001, 4.3686472E+001, 5.3374616E+001, 6.5667468E+001, 8.0751975E+001, 9.4663711E+001, 9.4663711E+001, 2.6623721E-002, 2.4473316E-003, 2.9071053E-002, 2.9071053E-002, 1.7481855E+001
 3.8000057E+002, 3.8659433E-002, 9.8302116E+001, 2.8280902E+001, 3.2351599E+001, 3.8086170E+001, 4.5807920E+001, 5.5822418E+001, 6.8380961E+001, 8.3665620E+001, 9.4720243E+001, 9.4720243E+001, 2.6955739E-002, 2.4060511E-003, 2.9361790E-002, 2.9361790E-002, 1.8003563E+001
 3.9000149E+002, 3.8308011E-002, 9.8321861E+001, 2.8763470E+001, 3.2913928E+001, 3.8727678E+001, 4.6511440E+001, 5.6556740E+001, 6.9113042E+001, 8.4376303E+001, 9.4660672E+001, 9.4660672E+001, 2.7022403E-002, 2.4007018E-003, 2.9423105E-002, 2.9423105E-002, 1.8305612E+001
 4.0000130E+002, 3.7949671E-002, 9.8320606E+001, 2.8994755E+001, 3.3139947E+001, 3.8949561E+001, 4.6721541E+001, 5.6743869E+001, 6.9268546E+001, 8.4497991E+001, 9.4788010E+001, 9.4788010E+001, 2.6823653E-002, 2.4052151E-003, 2.9228868E-002, 2.9228868E-002, 1.8284178E+001
 4.1000049E+002, 3.7588962E-002, 9.8324303E+001, 3.0296282E+001, 3.4798795E+001, 4.0988795E+001, 4.9142380E+001, 5.9524224E+001, 7.2367224E+001, 8.7863459E+001, 9.4663981E+001, 9.4663981E+001, 2.7232305E-002, 2.3013474E-003, 2.9533652E-002, 2.9533652E-002, 1.8912455E+001
 4.2000018E+002, 3.7226049E-002, 9.8335894E+001, 3.0517683E+001, 3.5001732E+001, 4.1177682E+001, 4.9315511E+001, 5.9678344E+001, 7.2504473E+001, 8.8001000E+001, 9.4768953E+001, 9.4768953E+001, 2.6717917E-002, 2.3671785E-003, 2.9085095E-002, 2.9085095E-002, 1.8552107E+001
 4.3000023E+002, 3.6862470E-002, 9.8314722E+001, 3.1067262E+001, 3.5621921E+001, 4.1867170E+001, 5.0062026E+001, 6.0461651E+001, 7.3301237E+001, 8.8777165E+001, 9.4677713E+001, 9.4677713E+001, 2.7181569E-002, 2.3221312E-003, 2.9503701E-002, 2.9503701E-002, 1.9239675E+001
 4.4000158E+002, 3.6506320E-002, 9.8317553E+001, 3.2281015E+001, 3.7117666E+001, 4.3654492E+001, 5.2134941E+001, 6.2799142E+001, 7.5871965E+001, 9.1563931E+001, 9.4818871E+001, 9.4818871E+001, 2.7129199E-002, 2.2883381E-003, 2.9417537E-002, 2.9417537E-002, 1.9305113E+001
 4.5000186E+002, 3.6146889E-002, 9.8331147E+001, 3.2323412E+001, 3.7091085E+001, 4.3576465E+001, 5.2023126E+001, 6.2675732E+001, 7.5766788E+001, 9.1516351E+001, 9.4763349E+001, 9.4763349E+001, 2.7265297E-002, 2.2571845E-003, 2.9522482E-002, 2.9522482E-002, 1.9556718E+001
 4.6000103E+002, 3.5780156E-002, 9.8347742E+001, 3.3232442E+001, 3.8159801E+001, 4.4803469E+001, 5.3395683E+001, 6.4169641E+001, 7.7342384E+001, 9.2985569E+001, 9.4707894E+001, 9.4707894E+001, 2.7436413E-002, 2.2527214E-003, 2.9689134E-002, 2.9689134E-002, 1.9934294E+001
 4.7000080E+002, 3.5409782E-002, 9.8349330E+001, 3.4227813E+001, 3.9333259E+001, 4.6154428E+001, 5.4911817E+001, 6.5826211E+001, 7.9113842E+001, 9.4837018E+001, 9.4837018E+001, 9.4837018E+001, 2.6948351E-002, 2.2552023E-003, 2.9203553E-002, 2.9203553E-002, 1.9401781E+001
 4.8000109E+002, 3.5037068E-002, 9.8363074E+001, 3.4225831E+001, 3.9248101E+001, 4.6009032E+001, 5.4730514E+001, 6.5641070E+001, 7.8967718E+001, 9.4694953E+001, 9.4694953E+001, 9.4694953E+001, 2.6967969E-002, 2.2796737E-003, 2.9247643E-002, 2.9247643E-002, 1.9560733E+001
