s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8026766E-007, 2.0155941E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8024751E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0003057E+001, 3.8681618E-001, 0.0000000E+000,-6.2965088E-002,-2.8839350E-001,-2.4262307E-002, 4.1825157E-006, 0.0000000E+000, 0.0000000E+000, 1.1180852E-002, 1.1199468E-002, 0.0000000E+000, 1.8390170E-005, 0.0000000E+000
 6.0002026E+001, 5.6291938E-001, 0.0000000E+000,-9.0737260E-002,-4.4091293E-001,-2.8942920E-002, 8.7624269E-005, 0.0000000E+000, 0.0000000E+000, 2.4493357E-003, 2.4138962E-003, 0.0000000E+000, 2.6734787E-005, 0.0000000E+000
 9.0002701E+001, 6.9437697E-001, 0.0000000E+000,-1.1195329E-001,-5.5045034E-001,-3.2693788E-002, 1.5147919E-004, 0.0000000E+000, 0.0000000E+000,-5.7916948E-004,-5.6897544E-004, 0.0000000E+000, 3.2974508E-005, 0.0000000E+000
 1.2000117E+002, 7.9673113E-001, 0.0000000E+000,-1.2841027E-001,-6.3102224E-001,-3.5070336E-002, 2.0103742E-004, 0.0000000E+000, 0.0000000E+000, 2.3425621E-003, 2.4293271E-003, 0.0000000E+000, 3.7835753E-005, 0.0000000E+000
 1.5000047E+002, 8.9006508E-001, 0.0000000E+000,-1.4344876E-001,-7.0735465E-001,-3.8084482E-002, 2.4659035E-004, 0.0000000E+000, 0.0000000E+000, 1.2977223E-003, 1.4237865E-003, 0.0000000E+000, 4.2268395E-005, 0.0000000E+000
 1.8000029E+002, 9.9401450E-001, 0.0000000E+000,-1.6020420E-001,-7.9219398E-001,-4.1970533E-002, 2.9844424E-004, 0.0000000E+000, 0.0000000E+000,-1.5406738E-004,-5.5776497E-005, 0.0000000E+000, 4.7195748E-005, 0.0000000E+000
 2.1000244E+002, 1.0903308E+000, 0.0000000E+000,-1.7579233E-001,-8.6647564E-001,-4.5019667E-002, 3.4847041E-004, 0.0000000E+000, 0.0000000E+000, 3.0763532E-003, 3.3916120E-003, 0.0000000E+000, 5.1780809E-005, 0.0000000E+000
 2.4000066E+002, 1.2227780E+000, 0.0000000E+000,-1.9705349E-001,-9.7301618E-001,-5.1923996E-002, 4.1714407E-004, 0.0000000E+000, 0.0000000E+000, 8.6511351E-004, 1.2015065E-003, 0.0000000E+000, 5.8071874E-005, 0.0000000E+000
 2.7000174E+002, 1.3934285E+000, 0.0000000E+000,-2.2444465E-001,-1.1077646E+000,-5.8858141E-002, 5.0412522E-004, 0.0000000E+000, 0.0000000E+000, 2.2537795E-003, 2.8652139E-003, 0.0000000E+000, 6.6171936E-005, 0.0000000E+000
 3.0000122E+002, 1.5373542E+000, 0.0000000E+000,-2.4750479E-001,-1.2237785E+000,-6.5379736E-002, 5.7563208E-004, 0.0000000E+000, 0.0000000E+000, 5.4624175E-004, 1.2668322E-003, 0.0000000E+000, 7.3020106E-005, 0.0000000E+000
 3.3000064E+002, 1.7064678E+000, 0.0000000E+000,-2.7451822E-001,-1.3556101E+000,-7.2856965E-002, 6.5629893E-004, 0.0000000E+000, 0.0000000E+000, 3.0672349E-003, 4.1388951E-003, 0.0000000E+000, 8.1038822E-005, 0.0000000E+000
 3.6000122E+002, 1.8388553E+000, 0.0000000E+000,-2.9569268E-001,-1.4641306E+000,-7.8056759E-002, 7.1903976E-004, 0.0000000E+000, 0.0000000E+000, 6.1540056E-004, 1.6942316E-003, 0.0000000E+000, 8.7337970E-005, 0.0000000E+000
 3.9000110E+002, 2.0063056E+000, 0.0000000E+000,-3.2263394E-001,-1.5931038E+000,-8.5536928E-002, 7.9916206E-004, 0.0000000E+000, 0.0000000E+000, 4.0200293E-003, 5.8300479E-003, 0.0000000E+000, 9.5298042E-005, 0.0000000E+000
 4.2000037E+002, 2.1749763E+000, 0.0000000E+000,-3.4953097E-001,-1.7344201E+000,-9.2103156E-002, 8.7655432E-004, 0.0000000E+000, 0.0000000E+000,-2.4322680E-003,-2.0141134E-004, 0.0000000E+000, 1.0329716E-004, 0.0000000E+000
 4.5000015E+002, 2.3162387E+000, 0.0000000E+000,-3.7216204E-001,-1.8386133E+000,-1.0015486E-001, 9.4106907E-004, 0.0000000E+000, 0.0000000E+000, 4.3145773E-003, 6.2496543E-003, 0.0000000E+000, 1.0999263E-004, 0.0000000E+000
 4.8000174E+002, 2.5015504E+000, 0.0000000E+000,-4.0202310E-001,-1.9914346E+000,-1.0714929E-001, 1.0256841E-003, 0.0000000E+000, 0.0000000E+000,-8.3040061E-004, 1.9690476E-003, 0.0000000E+000, 1.1884515E-004, 0.0000000E+000
