s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.5000000E-002, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001,-7.1020626E-007, 0.0000000E+000,-7.1020626E-007,-7.1020626E-007, 0.0000000E+000
 1.0003975E+001, 4.4990574E-002, 2.2127773E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000193E+001, 1.7049676E+001, 1.9871168E+001, 3.1685636E-003, 4.4689270E-003, 7.6374906E-003, 7.6374906E-003, 1.5067059E+000
 2.0006307E+001, 4.4968679E-002, 2.5562974E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000233E+001, 1.7018642E+001, 1.7598095E+001, 2.3334581E+001, 3.4719722E-003, 4.7835748E-003, 8.2555470E-003, 8.2555470E-003, 1.6846967E+000
 3.0002155E+001, 4.4944419E-002, 2.5221673E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000110E+001, 1.7005319E+001, 1.7131029E+001, 1.8476230E+001, 2.3441479E+001, 3.7492958E-003, 4.8846852E-003, 8.6339810E-003, 8.6339810E-003, 1.8354727E+000
 4.0006082E+001, 4.4919762E-002, 2.5192696E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000038E+001, 1.7001404E+001, 1.7029960E+001, 1.7352321E+001, 1.9139671E+001, 2.3547552E+001, 4.0399074E-003, 4.9773050E-003, 9.0172125E-003, 9.0172125E-003, 1.9838054E+000
 5.0002168E+001, 4.4894814E-002, 2.5354945E+001, 1.7000000E+001, 1.7000001E+001, 1.7000012E+001, 1.7000361E+001, 1.7007045E+001, 1.7085280E+001, 1.7617520E+001, 1.9625351E+001, 2.3756409E+001, 4.3502979E-003, 5.1722486E-003, 9.5225465E-003, 9.5225465E-003, 2.1396559E+000
 6.0004455E+001, 4.4869455E-002, 2.5785177E+001, 1.7000000E+001, 1.7000007E+001, 1.7000092E+001, 1.7001689E+001, 1.7020854E+001, 1.7168980E+001, 1.7885406E+001, 2.0026664E+001, 2.4174270E+001, 4.6982464E-003, 5.4403215E-003, 1.0138568E-002, 1.0138568E-002, 2.3347888E+000
 7.0003950E+001, 4.4843591E-002, 2.6070721E+001, 1.7000002E+001, 1.7000042E+001, 1.7000410E+001, 1.7005141E+001, 1.7045060E+001, 1.7273145E+001, 1.8144931E+001, 2.0399959E+001, 2.4506279E+001, 4.9448992E-003, 5.4905486E-003, 1.0435448E-002, 1.0435448E-002, 2.5045751E+000
 8.0002140E+001, 4.4817215E-002, 2.6559257E+001, 1.7000011E+001, 1.7000171E+001, 1.7001275E+001, 1.7011847E+001, 1.7079950E+001, 1.7390894E+001, 1.8396817E+001, 2.0754051E+001, 2.4985777E+001, 5.1998066E-003, 5.5869905E-003, 1.0786797E-002, 1.0786797E-002, 2.6463817E+000
 9.0001611E+001, 4.4790174E-002, 2.7077420E+001, 1.7000042E+001, 1.7000512E+001, 1.7003089E+001, 1.7022639E+001, 1.7124720E+001, 1.7517914E+001, 1.8643370E+001, 2.1114288E+001, 2.5509669E+001, 5.5147088E-003, 5.7266144E-003, 1.1241323E-002, 1.1241323E-002, 2.7786740E+000
 1.0000185E+002, 4.4762371E-002, 2.7795044E+001, 1.7000129E+001, 1.7001233E+001, 1.7006484E+001, 1.7038968E+001, 1.7181685E+001, 1.7661185E+001, 1.8909579E+001, 2.1528007E+001, 2.6162500E+001, 5.9061863E-003, 5.9553675E-003, 1.1861554E-002, 1.1861554E-002, 2.9422018E+000
 1.1000116E+002, 4.4733296E-002, 2.9061348E+001, 1.7000319E+001, 1.7002493E+001, 1.7015468E+001, 1.7076232E+001, 1.7299595E+001, 1.7948678E+001, 1.9472539E+001, 2.2517530E+001, 2.6829283E+001, 6.2946789E-003, 6.2965532E-003, 1.2591232E-002, 1.2591232E-002, 3.1045050E+000
 1.2000105E+002, 4.4702546E-002, 3.0097620E+001, 1.7000685E+001, 1.7004557E+001, 1.7024464E+001, 1.7106540E+001, 1.7378492E+001, 1.8110491E+001, 1.9754929E+001, 2.3040275E+001, 2.7811939E+001, 7.0229235E-003, 6.8309287E-003, 1.3853852E-002, 1.3853852E-002, 3.4027029E+000
 1.3000335E+002, 4.4670304E-002, 3.1148662E+001, 1.7001311E+001, 1.7007597E+001, 1.7036119E+001, 1.7141871E+001, 1.7463742E+001, 1.8279506E+001, 2.0059647E+001, 2.3629782E+001, 2.8797532E+001, 7.6350398E-003, 7.1470906E-003, 1.4782130E-002, 1.4782130E-002, 3.6985428E+000
 1.4000268E+002, 4.4636340E-002, 3.2276282E+001, 1.7002288E+001, 1.7011790E+001, 1.7050554E+001, 1.7182035E+001, 1.7555276E+001, 1.8458273E+001, 2.0391869E+001, 2.4278074E+001, 2.9872426E+001, 8.1271008E-003, 7.4597171E-003, 1.5586818E-002, 1.5586818E-002, 3.9458261E+000
 1.5000399E+002, 4.4600099E-002, 3.4203820E+001, 1.7003712E+001, 1.7017286E+001, 1.7067847E+001, 1.7226932E+001, 1.7653479E+001, 1.8649375E+001, 2.0754141E+001, 2.5004362E+001, 3.1540653E+001, 8.7777624E-003, 8.0177037E-003, 1.6795466E-002, 1.6795466E-002, 4.2954946E+000
 1.6000170E+002, 4.4560201E-002, 3.6357650E+001, 1.7005675E+001, 1.7024212E+001, 1.7088058E+001, 1.7276579E+001, 1.7759037E+001, 1.8855086E+001, 2.1155136E+001, 2.5935119E+001, 3.3512502E+001, 9.4698854E-003, 8.4702528E-003, 1.7940138E-002, 1.7940138E-002, 4.6424855E+000
 1.7000372E+002, 4.4515899E-002, 3.8408729E+001, 1.7008256E+001, 1.7032594E+001, 1.7110867E+001, 1.7329772E+001, 1.7868859E+001, 1.9068599E+001, 2.1592656E+001, 2.6976675E+001, 3.5334361E+001, 1.0146683E-002, 8.9903765E-003, 1.9137059E-002, 1.9137059E-002, 5.0013829E+000
 1.8000019E+002, 4.4466962E-002, 4.0678283E+001, 1.7011500E+001, 1.7042263E+001, 1.7135231E+001, 1.7382976E+001, 1.7973366E+001, 1.9268019E+001, 2.2007127E+001, 2.7838250E+001, 3.6719428E+001, 1.0973469E-002, 9.5895023E-003, 2.0562971E-002, 2.0562971E-002, 5.4729812E+000
 1.9000402E+002, 4.4412885E-002, 4.2762567E+001, 1.7015585E+001, 1.7053995E+001, 1.7164336E+001, 1.7447325E+001, 1.8105724E+001, 1.9539723E+001, 2.2587129E+001, 2.9021708E+001, 3.8696606E+001, 1.1521879E-002, 9.9559395E-003, 2.1477819E-002, 2.1477819E-002, 5.7746584E+000
 2.0000380E+002, 4.4353593E-002, 4.4765067E+001, 1.7020543E+001, 1.7067551E+001, 1.7196798E+001, 1.7517863E+001, 1.8251544E+001, 1.9842991E+001, 2.3222909E+001, 3.0290512E+001, 4.0655702E+001, 1.1819109E-002, 1.0074116E-002, 2.1893225E-002, 2.1893225E-002, 6.0010074E+000
 2.1000268E+002, 4.4289168E-002, 4.6203680E+001, 1.7026448E+001, 1.7083035E+001, 1.7232852E+001, 1.7595392E+001, 1.8412750E+001, 2.0178906E+001, 2.3914432E+001, 3.1614105E+001, 4.2259992E+001, 1.2103284E-002, 1.0130091E-002, 2.2233375E-002, 2.2233375E-002, 6.1280379E+000
 2.2000081E+002, 4.4218904E-002, 4.8104857E+001, 1.7027011E+001, 1.7084927E+001, 1.7237720E+001, 1.7608703E+001, 1.8452510E+001, 2.0295767E+001, 2.4217997E+001, 3.2194722E+001, 4.2953295E+001, 1.2360230E-002, 1.0182132E-002, 2.2542362E-002, 2.2542362E-002, 6.2862332E+000
 2.3000186E+002, 4.4142818E-002, 4.9645810E+001, 1.7033646E+001, 1.7101850E+001, 1.7276629E+001, 1.7693087E+001, 1.8631092E+001, 2.0667243E+001, 2.4940084E+001, 3.3335021E+001, 4.4506047E+001, 1.2490175E-002, 1.0228481E-002, 2.2718656E-002, 2.2718656E-002, 6.3277645E+000
 2.4000346E+002, 4.4060952E-002, 5.1086541E+001, 1.7041448E+001, 1.7121205E+001, 1.7320490E+001, 1.7787703E+001, 1.8830129E+001, 2.1071660E+001, 2.5685051E+001, 3.4537043E+001, 4.6149997E+001, 1.2671497E-002, 1.0381832E-002, 2.3053330E-002, 2.3053330E-002, 6.4718868E+000
 2.5000223E+002, 4.3970946E-002, 5.3308518E+001, 1.7050208E+001, 1.7141799E+001, 1.7364966E+001, 1.7879247E+001, 1.9012149E+001, 2.1411673E+001, 2.6245847E+001, 3.5343881E+001, 4.7145474E+001, 1.2834540E-002, 1.0460767E-002, 2.3295307E-002, 2.3295307E-002, 6.5338479E+000
 2.6000300E+002, 4.3870265E-002, 5.4973224E+001, 1.7060346E+001, 1.7165677E+001, 1.7417392E+001, 1.7989696E+001, 1.9236019E+001, 2.1836830E+001, 2.6978513E+001, 3.6468460E+001, 4.8710330E+001, 1.2985595E-002, 1.0627629E-002, 2.3613224E-002, 2.3613224E-002, 6.6561767E+000
 2.7000340E+002, 4.3756016E-002, 5.7984619E+001, 1.7079336E+001, 1.7209824E+001, 1.7514473E+001, 1.8194297E+001, 1.9648180E+001, 2.2616807E+001, 2.8343879E+001, 3.8807912E+001, 5.0704160E+001, 1.3201413E-002, 1.0757092E-002, 2.3958505E-002, 2.3958505E-002, 6.7655267E+000
 2.8000153E+002, 4.3622467E-002, 5.8948763E+001, 1.7103298E+001, 1.7264556E+001, 1.7633367E+001, 1.8441535E+001, 2.0137326E+001, 2.3525210E+001, 2.9935647E+001, 4.1446680E+001, 5.1432575E+001, 1.3517505E-002, 1.0892168E-002, 2.4409674E-002, 2.4409674E-002, 6.9461951E+000
 2.9000299E+002, 4.3467139E-002, 6.1915936E+001, 1.7120196E+001, 1.7301131E+001, 1.7708290E+001, 1.8587279E+001, 2.0402911E+001, 2.3973790E+001, 3.0640911E+001, 4.2388419E+001, 5.2524405E+001, 1.3628463E-002, 1.1163402E-002, 2.4791866E-002, 2.4791866E-002, 7.0400208E+000
 3.0000181E+002, 4.3283876E-002, 6.2572177E+001, 1.7131562E+001, 1.7326640E+001, 1.7762308E+001, 1.8695918E+001, 2.0608393E+001, 2.4338440E+001, 3.1236075E+001, 4.3130719E+001, 5.2915817E+001, 1.3998738E-002, 1.1355879E-002, 2.5354617E-002, 2.5354617E-002, 7.3065203E+000
 3.1000116E+002, 4.3088048E-002, 6.2932175E+001, 1.7135821E+001, 1.7338053E+001, 1.7789663E+001, 1.8756981E+001, 2.0735395E+001, 2.4583740E+001, 3.1647365E+001, 4.3462621E+001, 5.2960831E+001, 1.4161019E-002, 1.1597020E-002, 2.5758039E-002, 2.5758039E-002, 7.3930452E+000
 3.2000137E+002, 4.2878649E-002, 6.3286889E+001, 1.7155976E+001, 1.7380368E+001, 1.7873203E+001, 1.8911956E+001, 2.1003025E+001, 2.5003229E+001, 3.2176012E+001, 4.3771193E+001, 5.2745852E+001, 1.4465105E-002, 1.1821410E-002, 2.6286515E-002, 2.6286515E-002, 7.5590442E+000
 3.3000300E+002, 4.2664972E-002, 6.3505706E+001, 1.7210146E+001, 1.7496312E+001, 1.8110371E+001, 1.9373945E+001, 2.1854737E+001, 2.6462353E+001, 3.4388959E+001, 4.6554024E+001, 5.2693954E+001, 1.4693497E-002, 1.1970595E-002, 2.6664092E-002, 2.6664092E-002, 7.7366600E+000
 3.4000338E+002, 4.2448538E-002, 6.3466773E+001, 1.7242101E+001, 1.7561146E+001, 1.8234781E+001, 1.9598665E+001, 2.2230221E+001, 2.7014467E+001, 3.5030282E+001, 4.7078072E+001, 5.2826316E+001, 1.4978246E-002, 1.2116947E-002, 2.7095193E-002, 2.7095193E-002, 7.8603058E+000
 3.5000310E+002, 4.2230762E-002, 6.3579261E+001, 1.7249412E+001, 1.7578538E+001, 1.8272365E+001, 1.9673599E+001, 2.2363601E+001, 2.7208518E+001, 3.5225314E+001, 4.7160513E+001, 5.2767779E+001, 1.5080560E-002, 1.2246403E-002, 2.7326964E-002, 2.7326964E-002, 7.9703887E+000
 3.6000117E+002, 4.2009335E-002, 6.3652390E+001, 1.7264972E+001, 1.7611225E+001, 1.8336292E+001, 1.9789324E+001, 2.2550515E+001, 2.7457766E+001, 3.5459636E+001, 4.7193989E+001, 5.2721470E+001, 1.5138066E-002, 1.2357563E-002, 2.7495629E-002, 2.7495629E-002, 8.0562322E+000
 3.7000163E+002, 4.1781511E-002, 6.3774954E+001, 1.7319247E+001, 1.7719838E+001, 1.8542285E+001, 2.0155581E+001, 2.3148379E+001, 2.8325962E+001, 3.6535666E+001, 4.8225821E+001, 5.2692633E+001, 1.5362848E-002, 1.2654152E-002, 2.8016999E-002, 2.8016999E-002, 8.1669798E+000
 3.8000175E+002, 4.1550463E-002, 6.3766541E+001, 1.7393514E+001, 1.7867182E+001, 1.8819824E+001, 2.0646132E+001, 2.3947383E+001, 2.9497032E+001, 3.8043319E+001, 5.0052230E+001, 5.2731013E+001, 1.5617722E-002, 1.2873696E-002, 2.8491419E-002, 2.8491419E-002, 8.3636892E+000
 3.9000031E+002, 4.1321207E-002, 6.3786487E+001, 1.7423784E+001, 1.7924514E+001, 1.8920549E+001, 2.0806386E+001, 2.4168044E+001, 2.9738461E+001, 3.8220526E+001, 5.0137093E+001, 5.2768315E+001, 1.5861422E-002, 1.3143177E-002, 2.9004599E-002, 2.9004599E-002, 8.5663233E+000
 4.0000286E+002, 4.1092500E-002, 6.3700426E+001, 1.7422262E+001, 1.7925847E+001, 1.8928830E+001, 2.0826384E+001, 2.4199582E+001, 2.9768652E+001, 3.8234102E+001, 5.0097665E+001, 5.2779443E+001, 1.6081285E-002, 1.3339291E-002, 2.9420576E-002, 2.9420576E-002, 8.7335078E+000
 4.1000083E+002, 4.0867272E-002, 6.3572054E+001, 1.7468071E+001, 1.8009436E+001, 1.9070032E+001, 2.1041870E+001, 2.4485637E+001, 3.0080337E+001, 3.8483676E+001, 5.0193260E+001, 5.2908974E+001, 1.6161998E-002, 1.3524781E-002, 2.9686780E-002, 2.9686780E-002, 8.8379403E+000
 4.2000097E+002, 4.0652195E-002, 6.3414082E+001, 1.7603272E+001, 1.8266081E+001, 1.9530451E+001, 2.1813635E+001, 2.5681214E+001, 3.1781153E+001, 4.0732137E+001, 5.2865121E+001, 5.2865121E+001, 1.6254998E-002, 1.3840275E-002, 3.0095273E-002, 3.0095273E-002, 8.9413760E+000
