s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.6000000E-002, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001,-9.6632899E-007, 0.0000000E+000,-9.6632899E-007,-9.6632899E-007, 0.0000000E+000
 1.0000419E+001, 4.5997624E-002, 2.3498026E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000001E+001, 1.8000146E+001, 1.8008071E+001, 1.8213897E+001, 2.0815810E+001, 1.1194062E-002, 7.6675610E-003, 1.8861623E-002, 1.8861623E-002, 3.1948546E-001
 2.0004412E+001, 4.5991794E-002, 3.0133391E+001, 1.8000000E+001, 1.8000000E+001, 1.8000001E+001, 1.8000048E+001, 1.8001239E+001, 1.8021062E+001, 1.8236423E+001, 1.9724321E+001, 2.6152808E+001, 1.2450209E-002, 7.8841283E-003, 2.0334338E-002, 2.0334338E-002, 3.5880750E-001
 3.0005518E+001, 4.5984327E-002, 3.5439640E+001, 1.8000001E+001, 1.8000014E+001, 1.8000147E+001, 1.8002072E+001, 1.8021699E+001, 1.8168058E+001, 1.8961199E+001, 2.2083302E+001, 3.0989441E+001, 1.3387313E-002, 8.2457772E-003, 2.1633091E-002, 2.1633091E-002, 3.8985696E-001
 4.0001682E+001, 4.5975187E-002, 4.0025941E+001, 1.8000028E+001, 1.8000334E+001, 1.8002084E+001, 1.8016663E+001, 1.8105446E+001, 1.8528302E+001, 2.0100493E+001, 2.4650453E+001, 3.5085344E+001, 1.4258701E-002, 8.5891816E-003, 2.2847882E-002, 2.2847882E-002, 4.2032998E-001
 5.0000923E+001, 4.5964048E-002, 4.5134254E+001, 1.8000317E+001, 1.8002492E+001, 1.8011296E+001, 1.8062887E+001, 1.8289302E+001, 1.9101680E+001, 2.1491945E+001, 2.7352446E+001, 3.9648509E+001, 1.5328844E-002, 9.1237983E-003, 2.4452642E-002, 2.4452642E-002, 4.5143180E-001
 6.0002896E+001, 4.5950415E-002, 5.0248378E+001, 1.8001730E+001, 1.8010076E+001, 1.8036586E+001, 1.8158610E+001, 1.8586522E+001, 1.9859453E+001, 2.3102157E+001, 3.0279460E+001, 4.4267027E+001, 1.6470002E-002, 9.5558968E-003, 2.6025899E-002, 2.6025899E-002, 4.8628982E-001
 7.0004702E+001, 4.5933514E-002, 5.6745556E+001, 1.8006037E+001, 1.8028224E+001, 1.8087177E+001, 1.8315463E+001, 1.8999166E+001, 2.0787596E+001, 2.4910219E+001, 3.3422460E+001, 4.9740688E+001, 1.7951570E-002, 1.0222047E-002, 2.8173617E-002, 2.8173617E-002, 5.2640662E-001
 8.0002360E+001, 4.5911626E-002, 6.5256154E+001, 1.8015779E+001, 1.8062474E+001, 1.8170887E+001, 1.8540535E+001, 1.9526907E+001, 2.1878216E+001, 2.6949385E+001, 3.7052295E+001, 5.6473495E+001, 1.9502253E-002, 1.0690007E-002, 3.0192260E-002, 3.0192260E-002, 5.7790683E-001
 9.0000721E+001, 4.5880163E-002, 7.5880809E+001, 1.8033918E+001, 1.8118043E+001, 1.8293994E+001, 1.8838694E+001, 2.0172226E+001, 2.3149815E+001, 2.9322358E+001, 4.1593726E+001, 6.5689974E+001, 2.2455616E-002, 1.1751905E-002, 3.4207521E-002, 3.4207521E-002, 6.5245141E-001
