s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.6000000E-002, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001,-9.0834489E-007, 0.0000000E+000,-9.0834489E-007,-9.0834489E-007, 0.0000000E+000
 1.0002083E+001, 4.5997776E-002, 2.1122202E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000114E+001, 1.7006180E+001, 1.7161999E+001, 1.9112645E+001, 6.2854531E-003, 4.4178468E-003, 1.0703300E-002, 1.0703300E-002, 3.0307994E-001
 2.0000466E+001, 4.5992611E-002, 2.5588997E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000037E+001, 1.7000939E+001, 1.7015870E+001, 1.7177085E+001, 1.8282160E+001, 2.2896205E+001, 6.8580352E-003, 4.4635880E-003, 1.1321623E-002, 1.1321623E-002, 3.3573162E-001
 3.0001983E+001, 4.5986529E-002, 2.9219895E+001, 1.7000000E+001, 1.7000011E+001, 1.7000111E+001, 1.7001558E+001, 1.7016230E+001, 1.7124704E+001, 1.7701865E+001, 1.9895500E+001, 2.6025730E+001, 7.3521390E-003, 4.7555208E-003, 1.2107660E-002, 1.2107660E-002, 3.5977192E-001
 4.0004814E+001, 4.5979474E-002, 3.2397470E+001, 1.7000021E+001, 1.7000251E+001, 1.7001558E+001, 1.7012369E+001, 1.7077402E+001, 1.7381657E+001, 1.8492846E+001, 2.1700489E+001, 2.9058592E+001, 7.7410714E-003, 4.8726945E-003, 1.2613766E-002, 1.2613766E-002, 3.8345395E-001
 5.0003516E+001, 4.5971444E-002, 3.5411365E+001, 1.7000236E+001, 1.7001848E+001, 1.7008319E+001, 1.7045812E+001, 1.7208237E+001, 1.7784894E+001, 1.9470008E+001, 2.3540736E+001, 3.1763778E+001, 8.1053163E-003, 4.9407032E-003, 1.3046020E-002, 1.3046020E-002, 4.0666331E-001
 6.0003193E+001, 4.5962311E-002, 3.8718962E+001, 1.7001274E+001, 1.7007360E+001, 1.7026524E+001, 1.7113934E+001, 1.7417794E+001, 1.8313453E+001, 2.0562476E+001, 2.5437944E+001, 3.4772307E+001, 8.4515340E-003, 5.1752474E-003, 1.3626781E-002, 1.3626781E-002, 4.2835947E-001
 7.0001439E+001, 4.5951933E-002, 4.2023549E+001, 1.7004389E+001, 1.7020362E+001, 1.7062507E+001, 1.7224471E+001, 1.7705069E+001, 1.8946867E+001, 2.1762041E+001, 2.7415411E+001, 3.7700716E+001, 8.9228234E-003, 5.3361439E-003, 1.4258967E-002, 1.4258967E-002, 4.5319236E-001
 8.0004123E+001, 4.5939960E-002, 4.6015419E+001, 1.7011359E+001, 1.7044669E+001, 1.7121485E+001, 1.7381233E+001, 1.8066604E+001, 1.9674804E+001, 2.3058280E+001, 2.9540765E+001, 4.1148151E+001, 9.3041350E-003, 5.5048258E-003, 1.4808961E-002, 1.4808961E-002, 4.7858791E-001
 9.0003347E+001, 4.5925905E-002, 5.0126360E+001, 1.7024223E+001, 1.7083733E+001, 1.7207268E+001, 1.7585887E+001, 1.8499275E+001, 2.0494138E+001, 2.4482762E+001, 3.1912584E+001, 4.4916483E+001, 9.8811649E-003, 5.8233798E-003, 1.5704545E-002, 1.5704545E-002, 5.0575837E-001
 1.0000485E+002, 4.5909551E-002, 5.4352156E+001, 1.7045045E+001, 1.7140451E+001, 1.7322577E+001, 1.7839408E+001, 1.9003238E+001, 2.1413977E+001, 2.6052882E+001, 3.4402040E+001, 4.8624498E+001, 1.0319799E-002, 5.8592665E-003, 1.6179066E-002, 1.6179066E-002, 5.3863403E-001
 1.1000256E+002, 4.5889817E-002, 6.0291592E+001, 1.7075789E+001, 1.7217224E+001, 1.7469591E+001, 1.8143479E+001, 1.9581501E+001, 2.2436276E+001, 2.7751947E+001, 3.7195864E+001, 5.3712653E+001, 1.1011599E-002, 6.0832378E-003, 1.7094837E-002, 1.7094837E-002, 5.7366412E-001
 1.2000545E+002, 4.5865619E-002, 6.5945607E+001, 1.7118302E+001, 1.7316201E+001, 1.7650470E+001, 1.8500294E+001, 2.0236347E+001, 2.3570714E+001, 2.9661515E+001, 4.0364317E+001, 5.8658352E+001, 1.1924045E-002, 6.4701543E-003, 1.8394199E-002, 1.8394199E-002, 6.1584616E-001
 1.3000020E+002, 4.5833868E-002, 7.4657908E+001, 1.7174333E+001, 1.7439379E+001, 1.7867303E+001, 1.8912470E+001, 2.0975137E+001, 2.4840613E+001, 3.1795376E+001, 4.4081007E+001, 6.6109041E+001, 1.2937207E-002, 6.6721851E-003, 1.9609392E-002, 1.9609392E-002, 6.7163800E-001
 1.4000304E+002, 4.5791237E-002, 8.3200556E+001, 1.7245615E+001, 1.7588817E+001, 1.8122640E+001, 1.9384733E+001, 2.1808922E+001, 2.6276024E+001, 3.4287030E+001, 4.8418105E+001, 7.3385583E+001, 1.4616210E-002, 7.2428102E-003, 2.1859020E-002, 2.1859020E-002, 7.4995773E-001
 1.5000266E+002, 4.5601534E-002, 1.0322469E+002, 1.7332152E+001, 1.7759430E+001, 1.8607060E+001, 2.0268474E+001, 2.3366134E+001, 2.8971902E+001, 3.8991291E+001, 5.7619175E+001, 9.5162451E+001, 2.6741372E-002, 1.0000767E-002, 3.6742139E-002, 3.6742139E-002, 1.7828990E+000
 1.6000064E+002, 4.5110943E-002, 1.0528528E+002, 1.7388267E+001, 1.7870312E+001, 1.8829103E+001, 2.0666475E+001, 2.4075929E+001, 3.0299904E+001, 4.1800542E+001, 6.3278335E+001, 9.8458082E+001, 3.4230916E-002, 1.2296596E-002, 4.6527512E-002, 4.6527512E-002, 3.0282208E+000
 1.7000120E+002, 4.4527243E-002, 1.0527846E+002, 1.7552656E+001, 1.8183449E+001, 1.9401164E+001, 2.1686136E+001, 2.5896378E+001, 3.3613326E+001, 4.7552865E+001, 7.1064326E+001, 9.8449783E+001, 4.1114156E-002, 1.4974086E-002, 5.6088242E-002, 5.6088242E-002, 3.8786458E+000
 1.8000031E+002, 4.3917535E-002, 1.0487203E+002, 1.7647689E+001, 1.8365267E+001, 1.9738933E+001, 2.2313346E+001, 2.7063531E+001, 3.5659879E+001, 5.0537315E+001, 7.4215411E+001, 9.8404716E+001, 5.4661369E-002, 1.9293352E-002, 7.3954722E-002, 7.3954722E-002, 6.0883923E+000
 1.9000113E+002, 4.3376715E-002, 1.0415258E+002, 1.7868809E+001, 1.8774839E+001, 2.0481768E+001, 2.3638571E+001, 2.9349213E+001, 3.9302904E+001, 5.5603985E+001, 8.0008288E+001, 9.8240146E+001, 6.8628477E-002, 2.4854219E-002, 9.3482696E-002, 9.3482696E-002, 8.9421468E+000
 2.0000042E+002, 4.2840092E-002, 1.0157932E+002, 1.8029734E+001, 1.9074508E+001, 2.1027157E+001, 2.4594695E+001, 3.0907481E+001, 4.1550289E+001, 5.8279974E+001, 8.1913584E+001, 9.6199093E+001, 8.5350216E-002, 3.0573867E-002, 1.1592408E-001, 1.1592408E-001, 1.3275891E+001
 2.1000115E+002, 4.2317273E-002, 9.8799308E+001, 1.8304361E+001, 1.9572260E+001, 2.1902268E+001, 2.6061373E+001, 3.3187113E+001, 4.4699582E+001, 6.1738896E+001, 8.3932363E+001, 9.3736120E+001, 9.1679120E-002, 2.9503371E-002, 1.2118249E-001, 1.2118249E-001, 1.6519212E+001
 2.2000035E+002, 4.1847152E-002, 9.8789729E+001, 1.8532038E+001, 1.9979305E+001, 2.2597414E+001, 2.7167288E+001, 3.4761435E+001, 4.6557289E+001, 6.3391525E+001, 8.5546320E+001, 9.3972360E+001, 8.9184928E-002, 2.8491409E-002, 1.1767634E-001, 1.1767634E-001, 1.6325958E+001
 2.3000074E+002, 4.1448512E-002, 9.8435625E+001, 1.8993480E+001, 2.0772132E+001, 2.3896318E+001, 2.9153598E+001, 3.7521698E+001, 4.9971242E+001, 6.7201833E+001, 8.9433577E+001, 9.4095574E+001, 8.5023872E-002, 2.5230922E-002, 1.1025479E-001, 1.1025479E-001, 1.6297951E+001
