m,kg/m3,C,Pa,m/s,m/s,m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s
RHO_Z-z,RHO_Z,T_Z,P_Z,U_Z,V_Z,W_Z,COV-uu,COV-vv,COV-ww,COV-uv,COV-vw,COV-uw
 2.3461538E+002, 1.0037677E+000, 1.4415566E+001,-5.2374531E+000, 7.2112343E+000, 9.7785618E-001, 1.4799635E-004, 4.5222627E-002, 1.0359272E-001, 9.1872867E-003,-3.1176018E-002, 8.4318589E-003,-3.6688647E-003
 2.5333333E+002, 1.0034894E+000, 1.4495335E+001,-5.8939596E+000, 7.2842994E+000, 8.3615766E-001, 5.4189040E-004, 4.6780703E-002, 9.6197444E-002, 9.1504567E-003,-2.4565335E-002, 9.1785527E-003,-3.5432109E-003
 2.7205128E+002, 1.0032084E+000, 1.4575884E+001,-6.4992313E+000, 7.3190961E+000, 7.3056643E-001, 2.1364733E-003, 4.1704477E-002, 9.1256255E-002, 9.3272636E-003,-1.4242885E-002, 1.1229997E-002,-3.2726269E-003
 2.9076923E+002, 1.0029307E+000, 1.4655571E+001,-7.0546975E+000, 7.3546422E+000, 6.5709689E-001, 7.8686684E-004, 3.5883554E-002, 8.1657109E-002, 9.6678955E-003,-5.9147732E-003, 1.0772244E-002,-2.4720521E-003
 3.0948718E+002, 1.0026637E+000, 1.4732202E+001,-7.5597429E+000, 7.3688627E+000, 5.7721369E-001, 1.9294419E-004, 3.0877873E-002, 7.5247683E-002, 8.4017396E-003,-1.4230035E-003, 9.8690132E-003,-1.9260519E-003
 3.2820513E+002, 1.0024104E+000, 1.4804934E+001,-8.0149434E+000, 7.3514044E+000, 5.0409410E-001,-8.8490894E-004, 3.2308957E-002, 6.6358188E-002, 8.6782251E-003, 1.4345337E-003, 6.4119350E-003,-9.2651236E-004
 3.4692308E+002, 1.0021717E+000, 1.4873536E+001,-8.4232491E+000, 7.3386718E+000, 4.4439765E-001,-9.1325017E-004, 3.3663463E-002, 6.2901704E-002, 7.6586437E-003, 4.6693667E-003, 5.4348757E-003,-1.8711851E-005
 3.6564103E+002, 1.0019487E+000, 1.4937622E+001,-8.7894604E+000, 7.3267840E+000, 4.1282913E-001, 1.2469541E-004, 3.1516874E-002, 5.2708991E-002, 7.0249783E-003, 1.8609076E-003, 7.1535038E-003, 7.0896783E-004
 3.8435897E+002, 1.0017445E+000, 1.4996370E+001,-9.1178329E+000, 7.3134174E+000, 3.9520831E-001,-4.4861812E-004, 2.7679590E-002, 4.4279210E-002, 6.9691656E-003, 2.1103195E-003, 5.5419383E-003, 1.6785007E-003
 4.0307692E+002, 1.0015554E+000, 1.5050748E+001,-9.4091045E+000, 7.2819541E+000, 3.6424689E-001,-1.4049989E-003, 2.6020806E-002, 3.0969449E-002, 5.2896289E-003, 3.7491151E-003, 2.9118520E-003, 2.9994257E-003
 4.2179487E+002, 1.0013832E+000, 1.5100335E+001,-9.6655605E+000, 7.2542008E+000, 3.2638982E-001,-1.6502916E-003, 2.7440295E-002, 3.1979788E-002, 4.6249617E-003, 4.1847019E-003, 4.8870168E-003, 1.7477624E-003
 4.4051282E+002, 1.0012340E+000, 1.5143281E+001,-9.8941312E+000, 7.2321605E+000, 2.8640654E-001,-6.6732858E-004, 2.5431589E-002, 2.6929927E-002, 4.7680827E-003, 2.0549283E-003, 3.1249625E-003, 8.5239390E-004
 4.5923077E+002, 1.0011053E+000, 1.5180325E+001,-1.0097325E+001, 7.2152713E+000, 2.6198831E-001, 1.1463628E-003, 2.2735588E-002, 2.7922161E-002, 4.1488772E-003, 6.9487711E-004, 2.2038257E-003, 1.1370810E-003
