m,kg/m3,C,Pa,m/s,m/s,m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s
RHO_Z-z,RHO_Z,T_Z,P_Z,U_Z,V_Z,W_Z,COV-uu,COV-vv,COV-ww,COV-uv,COV-vw,COV-uw
 1.8750000E+001, 9.9821829E-001, 1.6014258E+001, 6.4236498E+001, 1.0093327E+001, 3.5957687E+000,-2.1538574E-002, 2.9262576E+000, 1.5532210E+000, 3.5542603E-001, 3.8642856E-001,-2.0762689E-001,-6.2508474E-001
 5.6250000E+001, 9.9845101E-001, 1.5946853E+001, 6.4500127E+001, 1.1954903E+001, 4.0373561E+000,-4.3895511E-002, 3.1887656E+000, 1.5124936E+000, 5.0402624E-001, 2.4296591E-001,-9.3885071E-002,-7.4132471E-001
 9.3750000E+001, 9.9854272E-001, 1.5920298E+001, 6.4893495E+001, 1.2431668E+001, 4.1205856E+000,-2.5827853E-002, 2.4876213E+000, 1.3411082E+000, 6.2364948E-001, 2.1198094E-001,-1.0680339E-001,-6.6320720E-001
 1.3125000E+002, 9.9859676E-001, 1.5904654E+001, 6.5334995E+001, 1.2832212E+001, 4.2022958E+000,-1.0501105E-002, 2.2410924E+000, 1.2084382E+000, 7.3073493E-001, 1.0668518E-001,-1.1948124E-001,-6.5474649E-001
 1.6875000E+002, 9.9863225E-001, 1.5894380E+001, 6.5797967E+001, 1.3113863E+001, 4.2592724E+000,-4.4293189E-003, 2.0376186E+000, 1.0644200E+000, 8.1513812E-001, 4.8595599E-002,-1.1596377E-001,-6.1258740E-001
 2.0625000E+002, 9.9866055E-001, 1.5886189E+001, 6.6285167E+001, 1.3362485E+001, 4.3147713E+000,-8.6085087E-003, 1.7482906E+000, 1.1331232E+000, 8.6604643E-001, 7.0004734E-002,-1.2900384E-001,-5.8142565E-001
 2.4375000E+002, 9.9868445E-001, 1.5879270E+001, 6.6779746E+001, 1.3536982E+001, 4.3090750E+000, 8.5786919E-004, 1.5762327E+000, 1.1202167E+000, 9.1064794E-001, 3.3551897E-002,-1.1279227E-001,-5.7576306E-001
 2.8125000E+002, 9.9870412E-001, 1.5873577E+001, 6.7266773E+001, 1.3636850E+001, 4.2916764E+000, 1.5191298E-002, 1.4987813E+000, 1.0439871E+000, 9.3995519E-001,-1.0145870E-002,-6.6635811E-002,-5.6191267E-001
 3.1875000E+002, 9.9872044E-001, 1.5868856E+001, 6.7762011E+001, 1.3774888E+001, 4.2759342E+000, 1.8800344E-002, 1.3905384E+000, 1.0011591E+000, 9.5134597E-001,-3.0552168E-002,-4.5838451E-002,-5.3460475E-001
 3.5625000E+002, 9.9873344E-001, 1.5865091E+001, 6.8264612E+001, 1.3878771E+001, 4.2601492E+000, 1.9497894E-002, 1.2528234E+000, 1.0236046E+000, 9.7041026E-001,-2.7852869E-002,-1.4024231E-002,-5.1089333E-001
 3.9375000E+002, 9.9874442E-001, 1.5861914E+001, 6.8764330E+001, 1.3921625E+001, 4.2662092E+000, 1.7748680E-002, 1.2814181E+000, 9.9577525E-001, 9.7731536E-001,-4.0208457E-002,-6.1110007E-003,-5.0404438E-001
 4.3125000E+002, 9.9875428E-001, 1.5859060E+001, 6.9280183E+001, 1.3967017E+001, 4.2597980E+000, 2.3907278E-002, 1.2563058E+000, 9.5066876E-001, 9.4832863E-001,-4.4835652E-002,-1.1818465E-002,-4.4558100E-001
 4.6875000E+002, 9.9876261E-001, 1.5856650E+001, 6.9786426E+001, 1.4039325E+001, 4.2463936E+000, 2.5972658E-002, 1.1820795E+000, 8.3340298E-001, 9.1707214E-001, 9.3329021E-003,-1.8156477E-002,-4.1697141E-001
 5.0625000E+002, 9.9876882E-001, 1.5854854E+001, 7.0287424E+001, 1.4117249E+001, 4.2421043E+000, 4.9421131E-003, 1.1009359E+000, 7.9986583E-001, 9.1547634E-001, 3.0988823E-002,-9.4230611E-003,-3.9681282E-001
 5.4375000E+002, 9.9877415E-001, 1.5853312E+001, 7.0780106E+001, 1.4174302E+001, 4.2410341E+000,-1.0967738E-002, 1.1165213E+000, 8.4681384E-001, 9.2002770E-001,-1.9631551E-005,-2.7277987E-003,-3.6608905E-001
 5.8125000E+002, 9.9877978E-001, 1.5851683E+001, 7.1272624E+001, 1.4207110E+001, 4.2584005E+000,-1.4642777E-002, 1.0938855E+000, 8.4336982E-001, 9.0986316E-001,-1.9692303E-002,-3.4229940E-003,-3.5374745E-001
 6.1875000E+002, 9.9878555E-001, 1.5850013E+001, 7.1774305E+001, 1.4241112E+001, 4.2635127E+000,-2.1453166E-002, 1.0516072E+000, 8.3695454E-001, 9.0336430E-001,-4.2248767E-002,-4.5998129E-003,-3.5079494E-001
 6.5625000E+002, 9.9879155E-001, 1.5848275E+001, 7.2266944E+001, 1.4292293E+001, 4.2520540E+000,-2.6985440E-002, 1.0014042E+000, 8.7699159E-001, 9.0275254E-001,-9.0101049E-002,-3.9464931E-003,-3.3336059E-001
 6.9375000E+002, 9.9879792E-001, 1.5846433E+001, 7.2755389E+001, 1.4347403E+001, 4.2472001E+000,-2.0151362E-002, 9.2215165E-001, 8.6811990E-001, 8.9897965E-001,-9.9919439E-002,-1.3088686E-002,-2.9820946E-001
 7.3125000E+002, 9.9880407E-001, 1.5844653E+001, 7.3256054E+001, 1.4374225E+001, 4.2403638E+000,-6.9866104E-003, 8.7494904E-001, 8.2649723E-001, 8.9203943E-001,-8.0875780E-002,-1.2220983E-003,-2.7521591E-001
 7.6875000E+002, 9.9880856E-001, 1.5843353E+001, 7.3766883E+001, 1.4370723E+001, 4.2406594E+000,-1.8712640E-003, 8.6332148E-001, 8.5432563E-001, 8.8192706E-001,-5.9244297E-002,-4.5534659E-003,-2.7761179E-001
 8.0625000E+002, 9.9881199E-001, 1.5842360E+001, 7.4262038E+001, 1.4384450E+001, 4.2413609E+000,-1.3276285E-002, 8.6148613E-001, 8.5184209E-001, 8.8214795E-001,-6.6877261E-002,-2.4304403E-002,-2.7521428E-001
 8.4375000E+002, 9.9881616E-001, 1.5841155E+001, 7.4742818E+001, 1.4449329E+001, 4.2349885E+000,-2.9542330E-002, 8.5548437E-001, 8.3217171E-001, 9.1337261E-001,-9.4129263E-002,-3.8281805E-002,-2.5916006E-001
 8.8125000E+002, 9.9882024E-001, 1.5839976E+001, 7.5204327E+001, 1.4507351E+001, 4.2572715E+000,-3.3009973E-002, 8.2460954E-001, 7.8704314E-001, 9.5120665E-001,-1.0740772E-001,-1.6802557E-002,-2.4362625E-001
 9.1875000E+002, 9.9882407E-001, 1.5838866E+001, 7.5669221E+001, 1.4529424E+001, 4.2806300E+000,-3.1759728E-002, 8.2131748E-001, 7.2150024E-001, 9.4819992E-001,-9.2734925E-002, 1.5518885E-002,-2.2459399E-001
 9.5625000E+002, 9.9882745E-001, 1.5837889E+001, 7.6158225E+001, 1.4520706E+001, 4.2831891E+000,-3.2415375E-002, 8.3726731E-001, 7.2766291E-001, 9.3701272E-001,-9.7842425E-002, 2.8075856E-002,-2.2585377E-001
 9.9375000E+002, 9.9883009E-001, 1.5837124E+001, 7.6666414E+001, 1.4538088E+001, 4.2796968E+000,-3.9216210E-002, 8.1784110E-001, 7.4773814E-001, 9.2283007E-001,-1.3284665E-001, 4.5353115E-002,-2.3320216E-001
 1.0312500E+003, 9.9883294E-001, 1.5836299E+001, 7.7201063E+001, 1.4592799E+001, 4.2989773E+000,-4.5600359E-002, 8.2647388E-001, 7.8333396E-001, 8.8592997E-001,-1.6808057E-001, 6.0953758E-002,-2.0903061E-001
 1.0687500E+003, 9.9883613E-001, 1.5835377E+001, 7.7728893E+001, 1.4626199E+001, 4.3318648E+000,-4.6901437E-002, 7.8596192E-001, 7.7399003E-001, 8.4270058E-001,-1.8073933E-001, 3.8085594E-002,-1.4823416E-001
 1.1062500E+003, 9.9883914E-001, 1.5834505E+001, 7.8237705E+001, 1.4647190E+001, 4.3474528E+000,-4.7935031E-002, 7.6002465E-001, 7.5754808E-001, 8.1313037E-001,-1.6444664E-001, 3.0633868E-002,-1.3852740E-001
 1.1437500E+003, 9.9884221E-001, 1.5833617E+001, 7.8723288E+001, 1.4690072E+001, 4.3370865E+000,-4.3451868E-002, 6.8740656E-001, 7.4680751E-001, 7.9463932E-001,-1.4416421E-001,-5.7579083E-003,-1.1470288E-001
 1.1812500E+003, 9.9884499E-001, 1.5832813E+001, 7.9211113E+001, 1.4731070E+001, 4.3222835E+000,-3.5636398E-002, 6.5302464E-001, 7.2224755E-001, 7.8388120E-001,-1.1665713E-001,-3.8120694E-002,-7.7931997E-002
 1.2187500E+003, 9.9884769E-001, 1.5832032E+001, 7.9727156E+001, 1.4750869E+001, 4.3458366E+000,-3.2202532E-002, 6.7857296E-001, 7.1527091E-001, 7.5984492E-001,-8.9533749E-002,-3.9969691E-002,-6.4933380E-002
 1.2562500E+003, 9.9884984E-001, 1.5831412E+001, 8.0276834E+001, 1.4755831E+001, 4.3894214E+000,-3.0197628E-002, 7.1183335E-001, 7.2956640E-001, 7.0986224E-001,-8.9213449E-002,-3.3205453E-002,-6.8607058E-002
 1.2937500E+003, 9.9885145E-001, 1.5830946E+001, 8.0843721E+001, 1.4801438E+001, 4.4277483E+000,-2.9034713E-002, 7.1079007E-001, 7.2780287E-001, 6.4859160E-001,-7.5274812E-002,-2.8772278E-002,-7.6179929E-002
 1.3312500E+003, 9.9885255E-001, 1.5830626E+001, 8.1383333E+001, 1.4847798E+001, 4.4499351E+000,-3.1449998E-002, 7.6407502E-001, 7.2259905E-001, 6.1486260E-001,-7.2889081E-002,-3.3075985E-002,-1.0051987E-001
 1.3687500E+003, 9.9885393E-001, 1.5830227E+001, 8.1889190E+001, 1.4903366E+001, 4.4989008E+000,-2.6720218E-002, 8.4683454E-001, 7.4449244E-001, 6.2450843E-001,-7.9935082E-002,-4.5578854E-002,-9.3033197E-002
 1.4062500E+003, 9.9885598E-001, 1.5829633E+001, 8.2325024E+001, 1.4917695E+001, 4.5586165E+000,-2.1421042E-002, 1.0161019E+000, 8.5176058E-001, 7.5273320E-001,-1.1338691E-001,-8.6942514E-002,-8.1708076E-002
 1.4437500E+003, 9.9885763E-001, 1.5829157E+001, 8.2771179E+001, 1.5075365E+001, 4.6911580E+000,-4.1897239E-003, 1.4507149E+000, 9.2505407E-001, 7.9053343E-001,-1.0765627E-001,-6.7689956E-002,-2.0218359E-002
 1.4812500E+003, 9.9885855E-001, 1.5828889E+001, 8.4547613E+001, 1.5154988E+001, 4.9925819E+000, 0.0000000E+000, 5.8449105E+000, 2.1387488E+000, 0.0000000E+000,-1.1162172E+000, 0.0000000E+000, 0.0000000E+000
