s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg
Time,"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","y_max","L_F","tilt"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000
 5.0025501E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2542406E+000, 0.0000000E+000, 0.0000000E+000
 1.0002427E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3286940E+000, 0.0000000E+000, 5.0527735E+001
 1.5002082E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0892140E+001, 2.8185044E+000, 5.6718703E+001
 2.0003100E+001, 2.4833250E+000, 1.6387393E+000, 8.1642847E-001, 2.2993508E-001, 3.9310536E+000, 2.1146383E+000, 8.7369764E-001, 3.4145613E-001, 4.4618481E+000, 2.7840562E+000, 1.6282158E+000, 6.9712223E-001,-1.0384962E+001, 2.7632175E+000, 5.5538136E+001
 2.5004489E+001, 2.4228774E+000, 1.5463400E+000, 7.9350282E-001, 2.5211052E-001, 3.9627057E+000, 2.1537461E+000, 9.7503947E-001, 3.9110998E-001, 4.5717550E+000, 2.7614115E+000, 1.5752172E+000, 6.8195891E-001,-1.2185952E+001, 2.8620935E+000, 5.6795272E+001
 3.0001640E+001, 2.4501790E+000, 1.5708555E+000, 8.0772319E-001, 2.5453841E-001, 3.9512595E+000, 2.1577154E+000, 9.8096585E-001, 3.9281288E-001, 4.5809331E+000, 2.7839787E+000, 1.5938897E+000, 6.8998144E-001,-1.1410567E+001, 2.8504076E+000, 5.7046056E+001
 3.5003439E+001, 2.4630360E+000, 1.5780914E+000, 8.1202010E-001, 2.5520431E-001, 3.9682412E+000, 2.1678701E+000, 9.8808369E-001, 3.9674081E-001, 4.6000399E+000, 2.7919261E+000, 1.6001861E+000, 6.9344280E-001,-1.0157258E+001, 2.8045925E+000, 5.6531158E+001
 4.0006463E+001, 2.4740157E+000, 1.5904260E+000, 8.1760216E-001, 2.5548065E-001, 3.9696955E+000, 2.1712856E+000, 9.9095104E-001, 3.9903689E-001, 4.5962413E+000, 2.8013028E+000, 1.6126160E+000, 6.9695813E-001,-1.2427082E+001, 2.8361403E+000, 5.6978421E+001
 4.5008250E+001, 2.4791678E+000, 1.5932855E+000, 8.1783130E-001, 2.5533840E-001, 3.9776644E+000, 2.1765856E+000, 9.9502004E-001, 4.0127568E-001, 4.5986762E+000, 2.8058140E+000, 1.6149542E+000, 6.9573406E-001,-1.2538369E+001, 2.8595608E+000, 5.7439395E+001
 5.0007809E+001, 2.4820679E+000, 1.5997808E+000, 8.2409532E-001, 2.5681591E-001, 3.9823411E+000, 2.1783809E+000, 9.9467794E-001, 4.0106911E-001, 4.6020659E+000, 2.8094149E+000, 1.6232655E+000, 7.0219581E-001,-1.3353042E+001, 2.9009130E+000, 5.7956694E+001
 5.5003049E+001, 2.4734725E+000, 1.5936708E+000, 8.1884427E-001, 2.5456596E-001, 3.9764911E+000, 2.1755773E+000, 9.9297942E-001, 3.9982947E-001, 4.5950640E+000, 2.8044388E+000, 1.6203572E+000, 6.9892485E-001,-1.0835701E+001, 2.8718562E+000, 5.7732976E+001
 6.0000000E+001, 2.4746294E+000, 1.5926767E+000, 8.1808766E-001, 2.5511847E-001, 3.9768693E+000, 2.1744641E+000, 9.9272663E-001, 3.9997556E-001, 4.5955375E+000, 2.8035879E+000, 1.6187657E+000, 6.9802504E-001,-1.1500585E+001, 2.8790843E+000, 5.7671444E+001
