m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-down,Downwind,r-lat,Lateral,r-up,Upwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.1508175E+001, 2.8115996E+000, 1.0656102E+001, 3.7720498E+000, 6.5831679E+000, 4.8790380E+000, 1.0000000E-001, 3.9045811E+003,-9.9000000E+000, 9.8932328E-005
 1.4487860E+001, 1.6376667E+000, 1.3632773E+001, 2.1297701E+000, 9.5288037E+000, 2.8067205E+000, 3.0000000E-001, 4.0139737E+003,-9.7000000E+000, 1.3267966E-004
 1.8471007E+001, 7.5713425E-001, 1.7613986E+001, 9.7624756E-001, 1.3493632E+001, 1.4275154E+000, 5.0000000E-001, 3.8795713E+003,-9.5000000E+000, 1.7802825E-004
 2.4456044E+001, 2.0938371E-001, 2.1602141E+001, 3.8917757E-001, 1.8471007E+001, 5.4065820E-001, 7.0000000E-001, 2.5535934E+003,-9.3000000E+000, 2.4012791E-004
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 1.6532714E+003,-9.1000000E+000, 3.2629225E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 1.1009845E+003,-8.9000000E+000, 4.4465104E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 7.2111121E+002,-8.7000000E+000, 6.0783827E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 4.5798287E+002,-8.5000000E+000, 8.3555914E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 2.8162718E+002,-8.3000000E+000, 1.1518507E-003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.6731698E+002,-8.1000000E+000, 1.5907207E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 9.7279033E+001,-7.9000000E+000, 2.2079155E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 5.6147896E+001,-7.7000000E+000, 3.0728876E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 3.2015088E+001,-7.5000000E+000, 4.2781405E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 1.8010298E+001,-7.3000000E+000, 5.9398024E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 9.8959228E+000,-7.1000000E+000, 8.2415145E-003
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 5.4358897E+000,-6.9000000E+000, 1.1410919E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 3.0111530E+000,-6.7000000E+000, 1.5704473E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 1.6974320E+000,-6.5000000E+000, 2.1516057E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 9.7307275E-001,-6.3000000E+000, 2.9476449E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 5.6882891E-001,-6.1000000E+000, 4.0336623E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 3.3894340E-001,-5.9000000E+000, 5.5272184E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 2.0587987E-001,-5.7000000E+000, 7.5944679E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.2677878E-001,-5.5000000E+000, 1.0432659E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 7.9085451E-002,-5.3000000E+000, 1.4351014E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 5.0260883E-002,-5.1000000E+000, 1.9853769E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 3.2324598E-002,-4.9000000E+000, 2.7602503E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 2.0914878E-002,-4.7000000E+000, 3.8459805E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 1.3697617E-002,-4.5000000E+000, 5.3732482E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 9.0744133E-003,-4.3000000E+000, 7.5196575E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 6.0772274E-003,-4.1000000E+000, 1.0595803E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 4.1121900E-003,-3.9000000E+000, 1.5042232E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 2.8061410E-003,-3.7000000E+000, 2.1457245E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 1.9290257E-003,-3.5000000E+000, 3.0784304E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 1.3346281E-003,-3.3000000E+000, 4.4349889E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 9.2663574E-004,-3.1000000E+000, 6.3797520E+000
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 6.4606579E-004,-2.9000000E+000, 9.1673268E+000
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 4.5388636E-004,-2.7000000E+000, 1.3187416E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 3.2080615E-004,-2.5000000E+000, 1.9037317E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 2.2682431E-004,-2.3000000E+000, 2.7397344E+001
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 1.6003392E-004,-2.1000000E+000, 3.9474913E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 1.1305992E-004,-1.9000000E+000, 5.7396427E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 8.0099905E-005,-1.7000000E+000, 8.4590892E+001
NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 5.6899033E-005,-1.5000000E+000, 1.2715041E+002
