s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,y_max,L_F,tilt,drag,L_F_max
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0054827E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4076896E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002445E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9940089E+000, 0.0000000E+000, 3.7131067E+001, 0.0000000E+000, 0.0000000E+000
 1.5006216E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2817796E+000, 5.7722141E+000, 4.8310686E+001, 1.6458184E+000, 8.9012297E+000
 2.0001704E+001, 8.1539895E+000, 2.7663096E+000, 9.2880848E-001, 9.0653959E+000, 1.4467138E+000, 9.7787371E+000, 5.5163583E+000, 2.5802481E+000, 1.2079949E+001, 6.6273859E+000, 1.7808483E+000, 1.7808483E+000, 7.8147792E+000, 5.5524056E+000, 4.7755252E+001, 1.7869887E+000, 8.9012297E+000
 2.5002785E+001, 7.8626822E+000, 3.0236901E+000, 8.3562393E-001, 8.6223967E+000, 1.6025194E+000, 8.6751697E+000, 4.9096936E+000, 2.4390294E+000, 1.1906475E+001, 6.4442402E+000, 1.9323242E+000, 1.9323242E+000, 8.4750506E+000, 5.5634986E+000, 4.8184427E+001, 2.0421040E+000, 1.0759490E+001
 3.0005656E+001, 7.5868928E+000, 2.8012985E+000, 7.2672839E-001, 8.4006514E+000, 1.4688198E+000, 8.4573813E+000, 4.7793936E+000, 2.3444722E+000, 1.2313307E+001, 6.5944571E+000, 1.8770547E+000, 1.8770547E+000, 9.8636867E+000, 5.4028118E+000, 4.9551639E+001, 2.2361199E+000, 1.0759490E+001
 3.5001564E+001, 7.5295820E+000, 2.7440256E+000, 6.8597424E-001, 8.1734489E+000, 1.4052239E+000, 8.1953683E+000, 4.6206290E+000, 2.2593908E+000, 1.2329053E+001, 6.5908729E+000, 1.8437071E+000, 1.8437071E+000, 1.0976793E+001, 5.3866494E+000, 5.0844611E+001, 2.3120871E+000, 1.0759490E+001
 4.0003756E+001, 7.5127070E+000, 2.6882590E+000, 6.3628833E-001, 8.0246950E+000, 1.3433735E+000, 7.9818866E+000, 4.4917162E+000, 2.1895903E+000, 1.2806223E+001, 6.8870606E+000, 1.8940421E+000, 1.8940421E+000, 1.2146066E+001, 5.3349516E+000, 5.2211092E+001, 2.4277922E+000, 1.0759490E+001
 4.5001541E+001, 7.4850644E+000, 2.6549503E+000, 6.0737162E-001, 7.8947518E+000, 1.2997271E+000, 7.7915765E+000, 4.3794969E+000, 2.1292980E+000, 1.3165881E+001, 7.1428094E+000, 1.9660575E+000, 1.9660575E+000, 1.1586014E+001, 5.2749765E+000, 5.2969912E+001, 2.5353411E+000, 1.0759490E+001
 5.0007325E+001, 7.4733246E+000, 2.6280215E+000, 5.8765987E-001, 7.8045773E+000, 1.2627346E+000, 7.6633355E+000, 4.3058582E+000, 2.0893390E+000, 1.3523670E+001, 7.3990730E+000, 2.0375092E+000, 2.0375092E+000, 1.0444846E+001, 5.1703469E+000, 5.3264891E+001, 2.6371850E+000, 1.0759490E+001
 5.5001402E+001, 7.4618681E+000, 2.6073605E+000, 5.7195759E-001, 7.7662788E+000, 1.2482325E+000, 7.6139602E+000, 4.2819912E+000, 2.0769394E+000, 1.3641389E+001, 7.4859761E+000, 2.0571847E+000, 2.0571847E+000, 9.8921846E+000, 5.0945956E+000, 5.3276862E+001, 2.6730584E+000, 1.0759490E+001
 6.0000000E+001, 7.4347666E+000, 2.5881485E+000, 5.6378704E-001, 7.7277034E+000, 1.2390816E+000, 7.5681223E+000, 4.2529948E+000, 2.0599414E+000, 1.3596981E+001, 7.4351286E+000, 2.0262788E+000, 2.0262788E+000, 1.1657038E+001, 5.0946848E+000, 5.3709738E+001, 2.6850783E+000, 1.0759490E+001
