m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.4487860E+001, 2.1618864E+000, 2.4775450E+001, 9.1679458E-001, 1.8471007E+001, 1.4129771E+000, 1.0000000E-001, 8.9766850E+003,-5.0000000E-001, 2.3625275E+001
 1.9467874E+001, 8.1958587E-001, 2.7770540E+001, 4.4977443E-001, 2.2460145E+001, 6.3181000E-001, 3.0000000E-001, 9.4000421E+003,-3.0000000E-001, 2.0779149E+003
 2.3458007E+001, 3.3980442E-001, 3.1765436E+001, 1.6555667E-001, 2.6452563E+001, 2.6923232E-001, 5.0000000E-001, 9.0494286E+003,-1.0000000E-001, 2.9281952E+003
 2.8449571E+001, 1.0381805E-001, 3.7759805E+001, 3.5996462E-002, 3.2444693E+001, 7.5620826E-002, 7.0000000E-001, 6.3678498E+003, 1.0000000E-001, 3.0908550E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 4.2877808E+003, 3.0000000E-001, 3.6611441E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 3.0301142E+003, 5.0000000E-001, 1.3518735E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 2.1255251E+003, 7.0000000E-001, 9.4230180E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 1.4210016E+003, 9.0000000E-001, 5.4159249E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 9.1165539E+002, 1.1000000E+000, 3.1894105E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 5.6482181E+002, 1.3000000E+000, 1.9576209E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 3.4320205E+002, 1.5000000E+000, 1.2255401E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 2.0599923E+002, 1.7000000E+000, 7.7566439E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 1.2204105E+002, 1.9000000E+000, 4.9633099E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 7.0786768E+001, 2.1000000E+000, 3.2042613E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 4.0771478E+001, 2.3000000E+000, 2.0559814E+001
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 2.3614583E+001, 2.5000000E+000, 1.3371081E+001
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 1.3801240E+001, 2.7000000E+000, 8.7689610E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 8.0775054E+000, 2.9000000E+000, 5.5997497E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 4.7606841E+000, 3.1000000E+000, 3.6309565E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 2.8519621E+000, 3.3000000E+000, 2.4045237E+000
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.6997075E+000, 3.5000000E+000, 1.6288967E+000
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 1.0173739E+000, 3.7000000E+000, 1.1354103E+000
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 6.1558679E-001, 3.9000000E+000, 8.0783156E-001
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 3.7412255E-001, 4.1000000E+000, 5.7413590E-001
