s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","B5","L1","L3","L5","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0044541E+000, 3.2989283E-001, 6.3553627E-001, 4.3524250E-001, 3.0806530E-001, 4.3229562E-001, 7.1896181E-001, 7.3585010E-001, 9.8270973E-001, 4.2505508E-001, 5.4839550E-001
 1.0002703E+001, 1.1423601E+000, 2.0434726E+000, 1.3110514E+000, 9.2093176E-001, 1.3676962E+000, 2.7381924E+000, 2.2572443E+000, 3.1365393E+000, 1.4865766E+000, 1.6691615E+000
 1.5000920E+001, 1.1232471E+000, 1.9746295E+000, 1.2972630E+000, 9.2256070E-001, 1.3095177E+000, 2.6960496E+000, 2.1967340E+000, 3.0607508E+000, 1.4523054E+000, 1.6382473E+000
 2.0005049E+001, 1.0942956E+000, 2.0087843E+000, 1.3351431E+000, 9.5092067E-001, 1.3360857E+000, 2.6244463E+000, 2.2502087E+000, 3.0961865E+000, 1.4320488E+000, 1.6817106E+000
 2.5000714E+001, 1.0982329E+000, 1.9865274E+000, 1.3146412E+000, 9.3630624E-001, 1.3036984E+000, 2.6912969E+000, 2.2152221E+000, 3.0789774E+000, 1.4346572E+000, 1.6575184E+000
 3.0008068E+001, 1.0727579E+000, 1.9793914E+000, 1.3083281E+000, 9.2785042E-001, 1.3034608E+000, 2.5941702E+000, 2.2078311E+000, 3.0657205E+000, 1.3988175E+000, 1.6514483E+000
 3.5002242E+001, 1.1002989E+000, 1.9755055E+000, 1.3196331E+000, 9.4463931E-001, 1.2982080E+000, 2.7378082E+000, 2.2131144E+000, 3.0849322E+000, 1.4347930E+000, 1.6585590E+000
 4.0006615E+001, 1.1618614E+000, 1.9882724E+000, 1.3158388E+000, 9.3345654E-001, 1.3237501E+000, 2.8732219E+000, 2.2285316E+000, 3.0930708E+000, 1.5026134E+000, 1.6636817E+000
 4.5005242E+001, 1.1173106E+000, 1.9739884E+000, 1.3740869E+000, 9.8536644E-001, 1.3212090E+000, 2.6326519E+000, 2.2925462E+000, 3.0459402E+000, 1.4362703E+000, 1.7229183E+000
 5.0000222E+001, 1.0738105E+000, 1.9722880E+000, 1.3328571E+000, 9.5319133E-001, 1.3037657E+000, 2.6059690E+000, 2.2307096E+000, 3.0465616E+000, 1.4019738E+000, 1.6742629E+000
 5.5000796E+001, 1.1129157E+000, 1.9742335E+000, 1.3113432E+000, 9.2929980E-001, 1.3109727E+000, 2.6595027E+000, 2.2406191E+000, 3.0502873E+000, 1.4404873E+000, 1.6619632E+000
 6.0005234E+001, 1.0849198E+000, 2.0101357E+000, 1.3335088E+000, 9.4815133E-001, 1.3208490E+000, 2.6848964E+000, 2.2489913E+000, 3.1197403E+000, 1.4293343E+000, 1.6819029E+000
 6.5004519E+001, 1.0607274E+000, 1.9320466E+000, 1.2697472E+000, 9.0515029E-001, 1.2895978E+000, 2.5181696E+000, 2.1371622E+000, 2.9760721E+000, 1.3736417E+000, 1.5988285E+000
 7.0007525E+001, 1.0899545E+000, 1.9802916E+000, 1.3150611E+000, 9.3156922E-001, 1.2921435E+000, 2.7321621E+000, 2.2376541E+000, 3.0803687E+000, 1.4283345E+000, 1.6655161E+000
 7.5010484E+001, 1.0616682E+000, 2.0340136E+000, 1.3471569E+000, 9.5790441E-001, 1.3189825E+000, 2.7024779E+000, 2.2731354E+000, 3.1769110E+000, 1.4133032E+000, 1.7000040E+000
 8.0005662E+001, 1.1128726E+000, 1.9999605E+000, 1.3061480E+000, 9.2767047E-001, 1.3207893E+000, 2.7284988E+000, 2.2155525E+000, 3.1030894E+000, 1.4506024E+000, 1.6508532E+000
 8.5004641E+001, 1.1256332E+000, 2.0509548E+000, 1.3498151E+000, 9.6472672E-001, 1.3707977E+000, 2.6824908E+000, 2.2570467E+000, 3.1414886E+000, 1.4646027E+000, 1.6954085E+000
 9.0000114E+001, 1.0915339E+000, 1.9697156E+000, 1.2875025E+000, 9.1785876E-001, 1.3226938E+000, 2.5662675E+000, 2.1640495E+000, 3.0301748E+000, 1.4035130E+000, 1.6210069E+000
 9.5000504E+001, 1.1000285E+000, 1.9429761E+000, 1.3009121E+000, 9.2956745E-001, 1.2940190E+000, 2.6186912E+000, 2.1826532E+000, 2.9959371E+000, 1.4183579E+000, 1.6360108E+000
 1.0000000E+002, 1.1047557E+000, 1.9294870E+000, 1.2873725E+000, 9.0690428E-001, 1.2710468E+000, 2.7558691E+000, 2.2145732E+000, 2.9735110E+000, 1.4450342E+000, 1.6379454E+000
