m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.3473756E+001, 2.1436042E+000, 1.8610548E+001, 2.7674469E+000, 1.5462927E+001, 1.9266372E+000, 1.0000000E-001, 8.5803269E+003,-3.0000000E-001, 1.8408718E+003
 1.5462927E+001, 1.5269415E+000, 2.0604672E+001, 1.7848171E+000, 1.7454572E+001, 1.3426509E+000, 3.0000000E-001, 8.1185671E+003,-1.0000000E-001, 2.6127420E+003
 1.7952774E+001, 9.3893657E-001, 2.1602141E+001, 1.4364714E+000, 1.9447933E+001, 9.1507129E-001, 5.0000000E-001, 7.3755713E+003, 1.0000000E-001, 2.7467959E+003
 2.0445100E+001, 5.7586537E-001, 2.3597722E+001, 9.1515529E-001, 2.1442530E+001, 6.1219158E-001, 7.0000000E-001, 4.8722261E+003, 3.0000000E-001, 3.3161071E+003
NaN,NaN,NaN,NaN, 2.4436082E+001, 3.2577912E-001, 9.0000000E-001, 3.1110189E+003, 5.0000000E-001, 1.1987203E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 2.1107123E+003, 7.0000000E-001, 7.3913577E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 1.4424270E+003, 9.0000000E-001, 3.8654782E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 9.6317611E+002, 1.1000000E+000, 2.0042324E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 6.2410213E+002, 1.3000000E+000, 1.0584350E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 3.9281525E+002, 1.5000000E+000, 5.7463898E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 2.4045582E+002, 1.7000000E+000, 3.2830342E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 1.4514819E+002, 1.9000000E+000, 1.9189569E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 8.7057219E+001, 2.1000000E+000, 1.1464671E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 5.2179436E+001, 2.3000000E+000, 7.0129229E+000
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 3.1220615E+001, 2.5000000E+000, 4.3372723E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 1.8638199E+001, 2.7000000E+000, 2.7345339E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 1.1116246E+001, 2.9000000E+000, 1.7826811E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 6.6158066E+000, 3.1000000E+000, 1.1745370E+000
