m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.0022879E+001, 1.2320337E+001, 1.6329042E+001, 8.8999817E+000, 1.2996850E+001, 1.0539576E+001, 1.0000000E-001, 6.2215193E+003,-9.0000000E-001, 1.4076315E+003
 1.4985263E+001, 6.3134457E+000, 1.9816851E+001, 5.3754216E+000, 1.5980554E+001, 7.0660771E+000, 3.0000000E-001, 6.9755305E+003,-7.0000000E-001, 1.7445866E+003
 2.4955122E+001, 2.0697842E+000, 2.3807301E+001, 3.1417273E+000, 2.1961286E+001, 3.4511132E+000, 5.0000000E-001, 7.3483512E+003,-5.0000000E-001, 1.8468236E+003
NaN,NaN,NaN,NaN, 2.1971263E+001, 3.4511132E+000, 7.0000000E-001, 5.6866229E+003,-3.0000000E-001, 1.8986008E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 4.7892273E+003,-1.0000000E-001, 1.8837180E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 4.3525270E+003, 1.0000000E-001, 1.8219194E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 4.0984151E+003, 3.0000000E-001, 1.7081986E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 3.9161911E+003, 5.0000000E-001, 1.5204552E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 3.7590243E+003, 7.0000000E-001, 1.4378134E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 3.6167618E+003, 9.0000000E-001, 2.2364225E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 3.4808291E+003, 1.1000000E+000, 1.0879987E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 3.3406595E+003, 1.3000000E+000, 2.0503498E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 3.2019050E+003, 1.5000000E+000, 3.6147663E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 3.0487959E+003, 1.7000000E+000, 6.2836301E+000
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 2.8909801E+003, 1.9000000E+000, 1.1507131E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 2.7330334E+003, 2.1000000E+000, 2.9042363E-001
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 2.5727069E+003, 2.3000000E+000, 1.4318830E-001
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 2.4086840E+003, 2.5000000E+000, 3.5800139E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 2.2451335E+003, 2.7000000E+000, 4.5961349E-003
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 2.0795317E+003, 2.9000000E+000, 2.7327681E-004
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.9152272E+003, 3.1000000E+000, 8.2809326E-005
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 1.7535377E+003, 3.3000000E+000, 5.5132610E-005
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.6017371E+003, 3.5000000E+000, 1.3191543E-005
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 1.4584188E+003, 3.7000000E+000, 6.3523034E-006
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 1.3209111E+003, 3.9000000E+000, 5.5012434E-006
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 1.1950206E+003, 4.1000000E+000, 6.4250675E-006
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 1.0756494E+003, 4.3000000E+000, 7.8291106E-006
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 9.6208800E+002, 4.5000000E+000, 9.7397806E-006
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 8.5633752E+002, 4.7000000E+000, 1.1111146E-005
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 7.5969766E+002, 4.9000000E+000, 2.3162291E-006
