s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","L1","L2","L3","L4","L5","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0021399E+000, 7.0254055E-002, 3.2502274E-002, 2.2264296E-001, 6.1976889E-002, 2.3044987E-001, 1.0463827E-001, 1.6434560E+000, 1.3593147E-001, 7.5421299E-002, 1.5354373E-002, 7.3028106E-001
 1.0004279E+001, 1.1017594E+000, 5.1834344E-001, 1.8744464E+000, 9.3549811E-001, 2.3186354E+000, 1.4779292E+000, 6.9077612E+000, 3.8212862E+000, 2.4648449E+000, 4.4614889E-001, 3.9735389E+000
 1.5006294E+001, 7.7724034E-001, 3.7918350E-001, 1.5878037E+000, 7.2504386E-001, 1.7066351E+000, 1.0599071E+000, 6.5513890E+000, 2.8752592E+000, 1.6416274E+000, 2.8516704E-001, 3.6580359E+000
 2.0006355E+001, 7.5121872E-001, 3.4854828E-001, 1.5270403E+000, 7.0001560E-001, 1.6276374E+000, 1.0215270E+000, 6.4550781E+000, 2.7223793E+000, 1.5587252E+000, 2.5536047E-001, 3.5821181E+000
 2.5004241E+001, 7.0210992E-001, 3.4025085E-001, 1.5237718E+000, 6.9864787E-001, 1.5723793E+000, 9.6837369E-001, 6.5003792E+000, 2.7063955E+000, 1.4996564E+000, 2.4498003E-001, 3.5826071E+000
 3.0000903E+001, 7.0122638E-001, 3.2944318E-001, 1.5486902E+000, 7.1286078E-001, 1.5729215E+000, 9.6092605E-001, 6.5117002E+000, 2.6439009E+000, 1.4929792E+000, 2.3974789E-001, 3.6179143E+000
 3.5000704E+001, 7.7469262E-001, 3.5434397E-001, 1.5422802E+000, 7.0070645E-001, 1.6706325E+000, 1.0544522E+000, 6.4544246E+000, 2.7787156E+000, 1.5951397E+000, 2.4996251E-001, 3.5828828E+000
 4.0001316E+001, 6.8148747E-001, 3.3315196E-001, 1.4585383E+000, 6.4665951E-001, 1.4818479E+000, 9.2102833E-001, 6.3448305E+000, 2.5799091E+000, 1.4109998E+000, 2.3792921E-001, 3.4938355E+000
 4.5000667E+001, 7.0396393E-001, 3.2826909E-001, 1.4605622E+000, 6.5793022E-001, 1.5613449E+000, 9.6547511E-001, 6.3345254E+000, 2.6249764E+000, 1.4590874E+000, 2.3949948E-001, 3.4755450E+000
 5.0000516E+001, 6.7956603E-001, 3.2536934E-001, 1.4917346E+000, 6.5781790E-001, 1.5270118E+000, 9.3741832E-001, 6.3946796E+000, 2.6857584E+000, 1.4707262E+000, 2.3312385E-001, 3.5349410E+000
 5.5006776E+001, 6.9167318E-001, 3.2865521E-001, 1.5216150E+000, 7.0111177E-001, 1.5779983E+000, 9.6091710E-001, 6.3253984E+000, 2.8346005E+000, 1.5814906E+000, 2.3776605E-001, 3.5173662E+000
 6.0005713E+001, 6.9479970E-001, 3.0701650E-001, 1.5045802E+000, 6.7931444E-001, 1.5566893E+000, 9.6142917E-001, 6.3390604E+000, 2.6904135E+000, 1.4991404E+000, 2.2032700E-001, 3.5101326E+000
 6.5000534E+001, 7.1584187E-001, 3.3874022E-001, 1.5688223E+000, 7.2078415E-001, 1.5721449E+000, 9.8160164E-001, 6.4162359E+000, 2.6730690E+000, 1.5089140E+000, 2.4270152E-001, 3.5985307E+000
 7.0004609E+001, 6.7958164E-001, 3.1457438E-001, 1.4355475E+000, 6.4201163E-001, 1.5449607E+000, 9.4295496E-001, 6.1955225E+000, 2.7038584E+000, 1.4991760E+000, 2.2960815E-001, 3.4251392E+000
 7.5005643E+001, 7.1173437E-001, 3.5084075E-001, 1.4960421E+000, 6.8566981E-001, 1.5032780E+000, 9.5063047E-001, 6.2646670E+000, 2.6197788E+000, 1.4514981E+000, 2.5533596E-001, 3.4687663E+000
 8.0002998E+001, 6.6999079E-001, 3.2505645E-001, 1.4362377E+000, 6.4691674E-001, 1.4775688E+000, 9.1768299E-001, 6.2376635E+000, 2.6978085E+000, 1.4713179E+000, 2.3557464E-001, 3.4263092E+000
 8.5001716E+001, 6.9233540E-001, 3.3181771E-001, 1.5489603E+000, 7.0909146E-001, 1.5245578E+000, 9.4168989E-001, 6.3865211E+000, 2.8006980E+000, 1.5488178E+000, 2.4196109E-001, 3.5766123E+000
 9.0000464E+001, 7.4468471E-001, 3.5450231E-001, 1.4885808E+000, 6.9084531E-001, 1.6077287E+000, 1.0184568E+000, 6.2906341E+000, 2.7822621E+000, 1.5756240E+000, 2.6132495E-001, 3.4793987E+000
 9.5005122E+001, 6.7647733E-001, 3.3072236E-001, 1.4644640E+000, 6.4253714E-001, 1.4802389E+000, 9.2103306E-001, 6.3126127E+000, 2.7480512E+000, 1.5065967E+000, 2.3785956E-001, 3.4752427E+000
 1.0000000E+002, 6.9202255E-001, 3.3983455E-001, 1.4773175E+000, 6.8276575E-001, 1.5353505E+000, 9.4611588E-001, 6.1580629E+000, 2.8112406E+000, 1.5417956E+000, 2.4882651E-001, 3.4353589E+000
