m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.0022879E+001, 5.8608342E+000, 1.3612895E+001, 5.9008363E+000, 1.4995213E+001, 6.9683330E+000, 1.0000000E-001, 7.4479523E+003,-9.0000000E-001, 1.6505746E+003
 1.5980554E+001, 2.0795481E+000, 1.6597919E+001, 3.6882724E+000, 1.8969399E+001, 3.5670854E+000, 3.0000000E-001, 8.2141924E+003,-7.0000000E-001, 2.1180356E+003
 2.0963733E+001, 7.3498684E-001, 2.0584725E+001, 1.8531106E+000, 2.4955122E+001, 1.2146737E+000, 5.0000000E-001, 8.2590760E+003,-5.0000000E-001, 1.7813474E+003
 2.7950279E+001, 1.4165493E-001, 2.6572371E+001, 5.8985551E-001, 3.0946375E+001, 3.8067653E-001, 7.0000000E-001, 6.3330499E+003,-3.0000000E-001, 1.9676563E+003
NaN,NaN,NaN,NaN, 3.7939664E+001, 1.0252080E-001, 9.0000000E-001, 4.9765005E+003,-1.0000000E-001, 1.8581232E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 3.9834186E+003, 1.0000000E-001, 2.2109851E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 2.9931937E+003, 3.0000000E-001, 2.1579440E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.1260546E+003, 5.0000000E-001, 2.5942678E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 1.4708801E+003, 7.0000000E-001, 2.7448610E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.0043288E+003, 9.0000000E-001, 2.8737035E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 6.8146761E+002, 1.1000000E+000, 1.0418609E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 4.6130972E+002, 1.3000000E+000, 1.0854565E+003
