m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 8.5427220E+000, 4.8391463E+000, 1.5980554E+001, 2.1667085E+000, 1.4487860E+001, 2.3466462E+000, 1.0000000E-001, 2.3995673E+003,-5.0000000E-001, 3.7327848E+001
 1.2500324E+001, 2.4636902E+000, 1.8969399E+001, 1.2005516E+000, 1.8471007E+001, 1.1791945E+000, 3.0000000E-001, 3.2312888E+003,-3.0000000E-001, 1.8124579E+003
 1.6478413E+001, 1.2549616E+000, 2.2959053E+001, 5.8037004E-001, 2.2460145E+001, 6.0516483E-001, 5.0000000E-001, 4.2279780E+003,-1.0000000E-001, 2.3503515E+003
 2.0465046E+001, 6.3198318E-001, 2.6951774E+001, 3.1780537E-001, 2.6452563E+001, 3.3226419E-001, 7.0000000E-001, 3.3792826E+003, 1.0000000E-001, 2.5405102E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 2.6769668E+003, 3.0000000E-001, 2.6194063E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 2.1882677E+003, 5.0000000E-001, 1.5814181E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 1.8122879E+003, 7.0000000E-001, 1.0815729E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 1.5158639E+003, 9.0000000E-001, 4.6420490E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 1.2739149E+003, 1.1000000E+000, 1.7950722E+002
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.0613220E+003, 1.3000000E+000, 6.6363887E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 8.8006918E+002, 1.5000000E+000, 2.8844288E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 7.2372795E+002, 1.7000000E+000, 1.3727706E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 5.8941991E+002, 1.9000000E+000, 6.6423358E+000
