s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,y_max,L_F,tilt,drag,L_F_max
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0043889E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3150108E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007845E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1647159E+000, 0.0000000E+000, 3.8157373E+001, 0.0000000E+000, 0.0000000E+000
 1.5005678E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8200075E+000, 3.4825315E+000, 2.7892875E+001, 1.9046128E+000, 5.8151186E+000
 2.0007696E+001, 4.9985739E+000, 2.5557846E+000, 1.3367783E+000, 6.9842626E-001, 1.9974948E+000, 1.1626300E+000, 5.6650481E-001, 2.9072889E-001, 2.3841737E+000, 1.2259470E+000, 6.8951751E-001, 3.1666271E-001, 4.5467682E+000, 3.7650194E+000, 2.9765952E+001, 1.8795705E+000, 7.2951876E+000
 2.5000240E+001, 4.9363008E+000, 2.4826011E+000, 1.2536799E+000, 6.3926781E-001, 2.2086978E+000, 1.2312908E+000, 6.0432421E-001, 3.3083553E-001, 2.3746723E+000, 1.1817140E+000, 6.1417577E-001, 3.4405195E-001, 3.6661954E+000, 3.7301954E+000, 2.8906876E+001, 1.8861443E+000, 7.2951876E+000
 3.0006743E+001, 4.8840245E+000, 2.4813152E+000, 1.2766915E+000, 6.5909691E-001, 2.1696869E+000, 1.2063335E+000, 5.9180839E-001, 3.3087561E-001, 2.3562208E+000, 1.1959093E+000, 6.2879420E-001, 3.6154064E-001, 3.9157384E+000, 3.6940622E+000, 2.8823901E+001, 1.8814198E+000, 7.2951876E+000
 3.5004237E+001, 4.8243146E+000, 2.4493162E+000, 1.2498000E+000, 6.3589007E-001, 2.1293117E+000, 1.1835557E+000, 5.8368413E-001, 3.2643202E-001, 2.3398908E+000, 1.1780853E+000, 6.1128495E-001, 3.4420758E-001, 4.2149168E+000, 3.7215060E+000, 2.9091373E+001, 1.8747492E+000, 7.2951876E+000
 4.0007808E+001, 4.8415793E+000, 2.4621561E+000, 1.2597495E+000, 6.3840419E-001, 2.1387277E+000, 1.1898416E+000, 5.8691726E-001, 3.3049837E-001, 2.3445800E+000, 1.1842214E+000, 6.1259236E-001, 3.4107058E-001, 4.4385487E+000, 3.7603302E+000, 2.9518984E+001, 1.8798680E+000, 7.2951876E+000
 4.5008549E+001, 4.8646096E+000, 2.4745897E+000, 1.2603826E+000, 6.3341290E-001, 2.1502555E+000, 1.1927474E+000, 5.8309673E-001, 3.2385467E-001, 2.3507367E+000, 1.1821506E+000, 6.0624508E-001, 3.3236139E-001, 4.0235825E+000, 3.7375974E+000, 2.9480785E+001, 1.8808690E+000, 7.2951876E+000
 5.0002109E+001, 4.8392490E+000, 2.4631400E+000, 1.2549142E+000, 6.3112197E-001, 2.1417417E+000, 1.1854569E+000, 5.7630548E-001, 3.1778348E-001, 2.3347374E+000, 1.1731419E+000, 6.0145180E-001, 3.3151622E-001, 3.8065962E+000, 3.7264002E+000, 2.9228515E+001, 1.8832573E+000, 7.2951876E+000
 5.5008671E+001, 4.8478699E+000, 2.4632039E+000, 1.2539066E+000, 6.3165573E-001, 2.1604548E+000, 1.1971401E+000, 5.8176108E-001, 3.2142884E-001, 2.3421666E+000, 1.1752798E+000, 6.0296009E-001, 3.3258919E-001, 3.4727589E+000, 3.7273837E+000, 2.8869857E+001, 1.8892779E+000, 7.2951876E+000
 6.0000000E+001, 4.8391463E+000, 2.4636902E+000, 1.2549616E+000, 6.3198318E-001, 2.1667085E+000, 1.2005516E+000, 5.8037004E-001, 3.1780537E-001, 2.3466462E+000, 1.1791945E+000, 6.0516483E-001, 3.3226419E-001, 4.0654485E+000, 3.7171656E+000, 2.8912421E+001, 1.9109948E+000, 7.2951876E+000
