m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 8.0607940E+000, 1.6418114E+001, 1.3205469E+001, 8.6266516E+000, 1.1022541E+001, 1.2639664E+001, 1.0000000E-001, 2.1647608E+003,-9.0000000E-001, 1.3159847E+003
 1.2698902E+001, 7.8993834E+000, 1.6687552E+001, 5.0686281E+000, 1.4000586E+001, 8.1750172E+000, 3.0000000E-001, 3.6831894E+003,-7.0000000E-001, 1.6365457E+003
 2.5963366E+001, 1.9738910E+000, 2.0674487E+001, 2.9595629E+000, 1.7972704E+001, 4.9353694E+000, 5.0000000E-001, 4.3905656E+003,-5.0000000E-001, 1.7440462E+003
NaN,NaN,NaN,NaN, 1.7982669E+001, 4.9353694E+000, 7.0000000E-001, 3.3813752E+003,-3.0000000E-001, 1.7500007E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 2.8879970E+003,-1.0000000E-001, 1.6690580E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 2.6761991E+003, 1.0000000E-001, 1.5242773E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 2.5850758E+003, 3.0000000E-001, 1.3237199E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.5246339E+003, 5.0000000E-001, 1.1278733E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 2.4806675E+003, 7.0000000E-001, 1.2110965E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 2.4415077E+003, 9.0000000E-001, 1.9883674E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 2.4031451E+003, 1.1000000E+000, 9.8967544E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 2.3620281E+003, 1.3000000E+000, 1.3302393E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 2.3189939E+003, 1.5000000E+000, 2.9096023E+001
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 2.2751811E+003, 1.7000000E+000, 9.0539847E+000
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 2.2221729E+003, 1.9000000E+000, 3.0716511E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 2.1769911E+003, 2.1000000E+000, 1.0100688E+000
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 2.1316017E+003, 2.3000000E+000, 2.7837005E-001
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 2.0817132E+003, 2.5000000E+000, 6.3126853E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 2.0334619E+003, 2.7000000E+000, 1.1583128E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 1.9798822E+003, 2.9000000E+000, 1.7264178E-003
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.9232783E+003, 3.1000000E+000, 2.8280505E-004
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 1.8669308E+003, 3.3000000E+000, 5.2238749E-005
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.8038143E+003, 3.5000000E+000, 7.3351824E-006
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 1.7371891E+003, 3.7000000E+000, 4.4469721E-007
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 1.6675115E+003, 3.9000000E+000, 7.7449884E-009
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 1.5953691E+003, 4.1000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 1.5217323E+003, 4.3000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 1.4447946E+003, 4.5000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 1.3656771E+003, 4.7000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 1.2830340E+003, 4.9000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 1.1991129E+003, 5.1000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 1.1199738E+003, 5.3000000E+000, 0.0000000E+000
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 1.0414918E+003, 5.5000000E+000, 0.0000000E+000
