s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0040647E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004644E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5001524E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002518E+001, 2.2215138E+001, 1.5121169E+001, 7.9828774E+000, 3.5787578E+000, 7.3426638E+000, 4.8666097E+000, 2.8719533E+000, 1.6813992E+000, 1.1561961E+001, 6.2862134E+000, 3.5533404E+000, 1.7873994E+000
 2.5001140E+001, 2.2504034E+001, 1.5142879E+001, 8.0714159E+000, 4.0424226E+000, 7.4531805E+000, 4.9511287E+000, 2.9253676E+000, 1.6523270E+000, 1.1943166E+001, 6.6716887E+000, 3.7979314E+000, 1.5073212E+000
 3.0002657E+001, 2.3046320E+001, 1.5528169E+001, 8.3035314E+000, 4.2130552E+000, 7.3727087E+000, 4.8984197E+000, 2.8932522E+000, 1.6221563E+000, 1.2080082E+001, 6.8207583E+000, 3.9318759E+000, 1.5689815E+000
 3.5001539E+001, 2.3299363E+001, 1.5698513E+001, 8.3678982E+000, 4.2086196E+000, 7.3706829E+000, 4.8966778E+000, 2.8960077E+000, 1.6319753E+000, 1.2160676E+001, 6.8565685E+000, 3.9255274E+000, 1.5307709E+000
 4.0005561E+001, 2.3476483E+001, 1.5811056E+001, 8.4149808E+000, 4.2236292E+000, 7.3853918E+000, 4.9074012E+000, 2.9017737E+000, 1.6309674E+000, 1.2238964E+001, 6.8955716E+000, 3.9480243E+000, 1.5343192E+000
