s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,y_max,L_F,tilt,drag,L_F_max
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0007888E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1949228E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000694E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4552917E+000, 0.0000000E+000, 1.0520825E+001, 0.0000000E+000, 0.0000000E+000
 1.5001648E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3463171E+000, 8.2688501E+000, 1.0870396E+001, 1.2014635E+000, 1.0303086E+001
 2.0001753E+001, 1.5035824E+001, 7.1094290E+000, 1.6292286E+000, 7.9847668E+000, 4.9553415E+000, 3.1683076E+000, 6.3464094E+000, 6.5117469E+000, 1.2036147E+001, 7.6509217E+000, 4.6124174E+000, 4.6124174E+000, 1.1741328E+000, 8.3033560E+000, 1.0269591E+001, 1.1960853E+000, 1.0896377E+001
 2.5004314E+001, 1.6299305E+001, 7.8738276E+000, 1.9681263E+000, 8.8361362E+000, 5.2663810E+000, 3.1832970E+000, 7.5085411E+000, 7.7375413E+000, 1.3215167E+001, 8.4993652E+000, 5.1105414E+000, 5.1105414E+000, 1.1282789E+000, 8.4069508E+000, 9.9514698E+000, 1.1950050E+000, 1.0896377E+001
 3.0004297E+001, 1.6181617E+001, 7.8068456E+000, 1.9657511E+000, 8.6031022E+000, 5.1627274E+000, 3.0992948E+000, 7.3258830E+000, 7.5528234E+000, 1.2951434E+001, 8.3402062E+000, 5.0337022E+000, 5.0337022E+000, 1.1382066E+000, 8.4323126E+000, 9.7767953E+000, 1.1912441E+000, 1.0896377E+001
 3.5001931E+001, 1.6282230E+001, 7.8492931E+000, 1.9616048E+000, 8.6087233E+000, 5.1281081E+000, 3.0453081E+000, 7.2670247E+000, 7.4883770E+000, 1.2892448E+001, 8.3125318E+000, 5.0115000E+000, 5.0115000E+000, 1.1666603E+000, 8.4327784E+000, 9.7088993E+000, 1.1854331E+000, 1.0896377E+001
 4.0001718E+001, 1.6227093E+001, 7.8193998E+000, 1.9427784E+000, 8.5908406E+000, 5.1071206E+000, 3.0232075E+000, 7.2385946E+000, 7.4444361E+000, 1.2768397E+001, 8.2371225E+000, 4.9646146E+000, 4.9646146E+000, 1.1502272E+000, 8.4304486E+000, 9.6558188E+000, 1.1812003E+000, 1.0896377E+001
 4.5004847E+001, 1.6285853E+001, 7.8510586E+000, 1.9468182E+000, 8.6151484E+000, 5.0974722E+000, 3.0012957E+000, 7.2617222E+000, 7.4558759E+000, 1.2726995E+001, 8.2208101E+000, 4.9581329E+000, 4.9581329E+000, 1.0601108E+000, 8.4550843E+000, 9.5321638E+000, 1.1773914E+000, 1.0896377E+001
 5.0000683E+001, 1.6327270E+001, 7.8690133E+000, 1.9530817E+000, 8.6676024E+000, 5.1318241E+000, 3.0277491E+000, 7.3224799E+000, 7.5105372E+000, 1.2737017E+001, 8.2279869E+000, 4.9622213E+000, 4.9622213E+000, 1.0840624E+000, 8.4184830E+000, 9.4713699E+000, 1.1773745E+000, 1.0896377E+001
 5.5001147E+001, 1.6338382E+001, 7.8671462E+000, 1.9499396E+000, 8.6457109E+000, 5.1015889E+000, 2.9961097E+000, 7.3039563E+000, 7.4834489E+000, 1.2657557E+001, 8.1841095E+000, 4.9368707E+000, 4.9368707E+000, 9.7413331E-001, 8.3965343E+000, 9.3239831E+000, 1.1743776E+000, 1.0896377E+001
 6.0000000E+001, 1.6418114E+001, 7.8993834E+000, 1.9738910E+000, 8.6266516E+000, 5.0686281E+000, 2.9595629E+000, 7.3134828E+000, 7.4877457E+000, 1.2639664E+001, 8.1750172E+000, 4.9353694E+000, 4.9353694E+000, 9.2851487E-001, 8.3711733E+000, 9.1703388E+000, 1.1732399E+000, 1.0896377E+001
