m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 4.6581219E+000, 4.8005342E+000, 9.3116110E+000, 2.2446581E+000, 8.5427220E+000, 2.7774696E+000, 1.0000000E-001, 1.7643487E+003,-9.9000000E+000, 3.7835229E-005
 6.0973847E+000, 3.1731085E+000, 1.0794726E+001, 1.6736301E+000, 9.5288037E+000, 2.2237027E+000, 3.0000000E-001, 1.9356101E+003,-9.7000000E+000, 5.3970519E-005
 8.0509689E+000, 2.0037877E+000, 1.2281942E+001, 1.3150358E+000, 1.0517514E+001, 1.8147982E+000, 5.0000000E-001, 1.8987989E+003,-9.5000000E+000, 7.6595456E-005
 1.0517514E+001, 1.2404662E+000, 1.4269061E+001, 9.1586847E-001, 1.2004087E+001, 1.3852504E+000, 7.0000000E-001, 1.2759259E+003,-9.3000000E+000, 1.0827991E-004
NaN,NaN,NaN,NaN, 1.3493632E+001, 1.0216596E+000, 9.0000000E-001, 8.2857764E+002,-9.1000000E+000, 1.5233012E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 5.5295958E+002,-8.9000000E+000, 2.1308252E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 3.5791168E+002,-8.7000000E+000, 2.9679620E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.2054705E+002,-8.5000000E+000, 4.1264103E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 1.3112460E+002,-8.3000000E+000, 5.7375072E-004
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 7.5975585E+001,-8.1000000E+000, 7.9760817E-004
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 4.3158865E+001,-7.9000000E+000, 1.1126123E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 2.4205223E+001,-7.7000000E+000, 1.5538834E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 1.3437346E+001,-7.5000000E+000, 2.1662603E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 7.3638019E+000,-7.3000000E+000, 3.0091368E-003
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 4.0287125E+000,-7.1000000E+000, 4.1551784E-003
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 2.2003912E+000,-6.9000000E+000, 5.6996798E-003
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 1.2098411E+000,-6.7000000E+000, 7.7841995E-003
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 6.7072943E-001,-6.5000000E+000, 1.0600722E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 3.7662512E-001,-6.3000000E+000, 1.4428510E-002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 2.1495217E-001,-6.1000000E+000, 1.9597443E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.2446575E-001,-5.9000000E+000, 2.6584692E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 7.3140099E-002,-5.7000000E+000, 3.6051442E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 4.3676922E-002,-5.5000000E+000, 4.8923742E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 2.6407373E-002,-5.3000000E+000, 6.6331433E-002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 1.6119094E-002,-5.1000000E+000, 9.0260733E-002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 9.9328821E-003,-4.9000000E+000, 1.2321221E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 6.1907595E-003,-4.7000000E+000, 1.6898684E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 3.8952427E-003,-4.5000000E+000, 2.3324136E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 2.4736184E-003,-4.3000000E+000, 3.2367554E-001
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 1.5857102E-003,-4.1000000E+000, 4.5110590E-001
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 1.0265481E-003,-3.9000000E+000, 6.3317444E-001
