m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 3.0986328E+001, 9.9233037E-001, 4.1057410E+001, 4.9059647E+000, 3.7979633E+001, 2.6486306E+000, 1.0000000E-001, 6.1046769E+004,-1.9000000E+000, 1.6295580E+003
 3.5981280E+001, 5.5009751E-001, 4.5054976E+001, 2.6472816E+000, 4.3975590E+001, 1.3342585E+000, 3.0000000E-001, 6.1775443E+004,-1.7000000E+000, 1.8937660E+003
 3.9978150E+001, 3.6295157E-001, 5.1052041E+001, 1.0876951E+000, 5.1971651E+001, 6.1620203E-001, 5.0000000E-001, 5.4704592E+004,-1.5000000E+000, 1.6550853E+003
 5.1971651E+001, 1.1977287E-001, 5.8049383E+001, 4.5248639E-001, 6.1968157E+001, 2.7856343E-001, 7.0000000E-001, 4.9859335E+004,-1.3000000E+000, 1.6870324E+003
NaN,NaN,NaN,NaN, 7.1965634E+001, 1.3852605E-001, 9.0000000E-001, 4.3208839E+004,-1.1000000E+000, 1.6018883E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 3.6109126E+004,-9.0000000E-001, 1.7130844E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 2.9868152E+004,-7.0000000E-001, 1.6670597E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.4687401E+004,-5.0000000E-001, 1.8073288E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 2.0284438E+004,-3.0000000E-001, 1.7676949E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.6596617E+004,-1.0000000E-001, 1.9043094E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 1.3490643E+004, 1.0000000E-001, 1.8742665E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 1.0917831E+004, 3.0000000E-001, 2.0200709E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 8.8014581E+003, 5.0000000E-001, 2.0086705E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 7.0595672E+003, 7.0000000E-001, 2.1345783E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 5.6497377E+003, 9.0000000E-001, 2.1545895E+003
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 4.5078389E+003, 1.1000000E+000, 2.2744256E+003
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 3.5832158E+003, 1.3000000E+000, 2.3224098E+003
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 2.8257199E+003, 1.5000000E+000, 2.4492377E+003
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 2.2142060E+003, 1.7000000E+000, 2.6069848E+003
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 1.7275498E+003, 1.9000000E+000, 2.4295636E+003
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.3389147E+003, 2.1000000E+000, 8.0901534E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 1.0300659E+003, 2.3000000E+000, 7.1798585E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 7.8748554E+002, 2.5000000E+000, 6.8580099E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 5.9818209E+002, 2.7000000E+000, 6.7229918E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 4.5279594E+002, 2.9000000E+000, 6.8404953E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 3.4093756E+002, 3.1000000E+000, 7.1718030E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 2.5639714E+002, 3.3000000E+000, 7.6359544E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 1.9295509E+002, 3.5000000E+000, 8.1631579E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 1.4510518E+002, 3.7000000E+000, 8.6452522E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 1.0877332E+002, 3.9000000E+000, 9.0210360E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 8.1387155E+001, 4.1000000E+000, 9.2587418E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 6.0399996E+001, 4.3000000E+000, 9.3354642E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 4.4315812E+001, 4.5000000E+000, 9.2740070E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 3.2107976E+001, 4.7000000E+000, 9.1071342E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.9000000E+000, 2.3079335E+001, 4.9000000E+000, 8.8935975E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.1000000E+000, 1.6452070E+001, 5.1000000E+000, 8.6441587E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.3000000E+000, 1.1651805E+001, 5.3000000E+000, 8.3677269E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 8.2286568E+000, 5.5000000E+000, 8.0850417E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.7000000E+000, 5.8474670E+000, 5.7000000E+000, 7.8054301E+002
NaN,NaN,NaN,NaN,NaN,NaN, 7.9000000E+000, 4.1972052E+000, 5.9000000E+000, 7.5263448E+002
NaN,NaN,NaN,NaN,NaN,NaN, 8.1000000E+000, 3.0371913E+000, 6.1000000E+000, 7.2518005E+002
NaN,NaN,NaN,NaN,NaN,NaN, 8.3000000E+000, 2.1928742E+000, 6.3000000E+000, 6.9764402E+002
