m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.2996850E+001, 7.4347666E+000, 2.0325425E+001, 7.5681223E+000, 1.4985263E+001, 1.3596981E+001, 1.0000000E-001, 1.7616714E+004,-9.0000000E-001, 1.7962544E+003
 1.8969399E+001, 2.5881485E+000, 2.3817282E+001, 4.2529948E+000, 1.8969399E+001, 7.4351286E+000, 3.0000000E-001, 1.8408126E+004,-7.0000000E-001, 2.1951054E+003
 2.6951774E+001, 5.6378704E-001, 2.7810482E+001, 2.0599414E+000, 2.6951774E+001, 2.0262788E+000, 5.0000000E-001, 1.8151686E+004,-5.0000000E-001, 1.9587418E+003
NaN,NaN,NaN,NaN, 2.6961758E+001, 2.0262788E+000, 7.0000000E-001, 1.4598958E+004,-3.0000000E-001, 2.1074670E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 1.1834058E+004,-1.0000000E-001, 2.0210498E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 1.0296955E+004, 1.0000000E-001, 2.2599147E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 9.0615961E+003, 3.0000000E-001, 2.2185328E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 7.6827999E+003, 5.0000000E-001, 2.4868912E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 6.2955505E+003, 7.0000000E-001, 2.6736959E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 5.0743472E+003, 9.0000000E-001, 2.6822140E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 4.0122959E+003, 1.1000000E+000, 1.1864705E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 3.1328744E+003, 1.3000000E+000, 1.2495354E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 2.4254976E+003, 1.5000000E+000, 9.2388382E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 1.8578675E+003, 1.7000000E+000, 7.4661941E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 1.4094914E+003, 1.9000000E+000, 6.5644738E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 1.0608597E+003, 2.1000000E+000, 5.9856691E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 7.9275051E+002, 2.3000000E+000, 5.6219430E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 5.8983670E+002, 2.5000000E+000, 5.3364642E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 4.3647507E+002, 2.7000000E+000, 5.0569007E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 3.2197353E+002, 2.9000000E+000, 4.7931387E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 2.3793370E+002, 3.1000000E+000, 4.5072168E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 1.7684625E+002, 3.3000000E+000, 4.1989443E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.3184002E+002, 3.5000000E+000, 3.8663532E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 9.8180485E+001, 3.7000000E+000, 3.4668541E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 7.2903546E+001, 3.9000000E+000, 3.0495406E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 5.4031456E+001, 4.1000000E+000, 2.6708317E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 3.9660461E+001, 4.3000000E+000, 2.2846055E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 2.8518320E+001, 4.5000000E+000, 1.9245813E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 2.0494309E+001, 4.7000000E+000, 1.6095570E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 1.4711490E+001, 4.9000000E+000, 1.3149641E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 1.0639672E+001, 5.1000000E+000, 1.0513861E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 7.7422573E+000, 5.3000000E+000, 8.1287724E+001
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 5.6116409E+000, 5.5000000E+000, 6.1102941E+001
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 4.1111633E+000, 5.7000000E+000, 4.4400467E+001
