m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 2.8948888E+001, 2.6257249E-001, 3.6111167E+001, 4.7161705E+000, 3.5941315E+001, 4.2864939E-001, 1.0000000E-001, 3.5235679E+004,-9.0000000E-001, 1.6212679E+003
 3.2944166E+001, 9.8986052E-002, 3.8109532E+001, 3.3894365E+000, 4.0937490E+001, 1.7025912E-001, 3.0000000E-001, 3.2493423E+004,-7.0000000E-001, 2.1624360E+003
 3.6940467E+001, 3.7672115E-002, 4.1107376E+001, 1.9900564E+000, 4.5934498E+001, 7.8810432E-002, 5.0000000E-001, 2.8179383E+004,-5.0000000E-001, 1.8135826E+003
 4.2936210E+001, 1.0120718E-002, 4.8103393E+001, 5.0716965E-001, 5.0932093E+001, 4.6702589E-002, 7.0000000E-001, 2.1243814E+004,-3.0000000E-001, 1.9675393E+003
NaN,NaN,NaN,NaN, 5.8929094E+001, 2.8433039E-002, 9.0000000E-001, 1.5661108E+004,-1.0000000E-001, 1.8225929E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 1.1638701E+004, 1.0000000E-001, 2.1655161E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 8.0448063E+003, 3.0000000E-001, 2.1272902E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 5.1712356E+003, 5.0000000E-001, 2.6249667E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 3.1593945E+003, 7.0000000E-001, 2.8172594E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.8779247E+003, 9.0000000E-001, 3.0365064E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 1.1052228E+003, 1.1000000E+000, 9.4347600E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 6.5289612E+002, 1.3000000E+000, 7.6180674E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 3.8625103E+002, 1.5000000E+000, 6.6533565E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 2.2834275E+002, 1.7000000E+000, 6.1434960E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 1.3424391E+002, 1.9000000E+000, 6.0547143E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 7.8431027E+001, 2.1000000E+000, 6.1000221E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 4.5649528E+001, 2.3000000E+000, 6.1972011E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 2.6461343E+001, 2.5000000E+000, 6.2797170E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 1.5322999E+001, 2.7000000E+000, 6.3168755E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 8.8950931E+000, 2.9000000E+000, 6.2350001E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 5.1991596E+000, 3.1000000E+000, 6.0172145E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 3.0869999E+000, 3.3000000E+000, 5.6678265E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.8649677E+000, 3.5000000E+000, 5.2230872E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 1.1475455E+000, 3.7000000E+000, 4.7157356E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 7.1828075E-001, 3.9000000E+000, 4.1714713E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 4.5686626E-001, 4.1000000E+000, 3.6182436E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 2.9515026E-001, 4.3000000E+000, 3.0879297E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 1.9361226E-001, 4.5000000E+000, 2.6012036E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 1.2873899E-001, 4.7000000E+000, 2.1650167E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 8.6581303E-002, 4.9000000E+000, 1.7868804E+002
