m,kW/m2,m,kW/m2,m,kW/m2,m,kW,m,kW
r-up,Upwind,r-lat,Lateral,r-down,Downwind,z_HRRPUL,HRRPUL,y_HRR,HRR
 1.4995213E+001, 4.7982433E+000, 2.0804146E+001, 6.2717952E+000, 1.4995213E+001, 1.1912139E+001, 1.0000000E-001, 2.1433612E+004,-9.0000000E-001, 1.8061487E+003
 1.8979368E+001, 2.2145435E+000, 2.3797321E+001, 3.8522643E+000, 1.8979368E+001, 6.7661312E+000, 3.0000000E-001, 2.0911889E+004,-7.0000000E-001, 2.3460352E+003
 2.4965104E+001, 5.8416847E-001, 2.7790511E+001, 1.8716373E+000, 2.6961758E+001, 1.8548337E+000, 5.0000000E-001, 1.9284521E+004,-5.0000000E-001, 1.9892777E+003
 3.0956363E+001, 1.3749298E-001, 3.3783317E+001, 5.6658696E-001, 3.3853248E+001, 4.9343638E-001, 7.0000000E-001, 1.4657021E+004,-3.0000000E-001, 2.1788997E+003
NaN,NaN,NaN,NaN,NaN,NaN, 9.0000000E-001, 1.1128921E+004,-1.0000000E-001, 2.0421758E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.1000000E+000, 8.6517794E+003, 1.0000000E-001, 2.4033485E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.3000000E+000, 6.3173834E+003, 3.0000000E-001, 2.3443415E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 4.3285585E+003, 5.0000000E-001, 2.8128037E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.7000000E+000, 2.8564532E+003, 7.0000000E-001, 3.0122434E+003
NaN,NaN,NaN,NaN,NaN,NaN, 1.9000000E+000, 1.8273724E+003, 9.0000000E-001, 3.1732297E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.1000000E+000, 1.1503565E+003, 1.1000000E+000, 1.0096172E+003
NaN,NaN,NaN,NaN,NaN,NaN, 2.3000000E+000, 7.2101157E+002, 1.3000000E+000, 8.7575092E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 4.5015586E+002, 1.5000000E+000, 7.4546270E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.7000000E+000, 2.7974442E+002, 1.7000000E+000, 6.7518338E+002
NaN,NaN,NaN,NaN,NaN,NaN, 2.9000000E+000, 1.7335008E+002, 1.9000000E+000, 6.5534051E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.1000000E+000, 1.0726198E+002, 2.1000000E+000, 6.5433752E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.3000000E+000, 6.6296526E+001, 2.3000000E+000, 6.6059043E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 4.0738574E+001, 2.5000000E+000, 6.6768213E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.7000000E+000, 2.4856058E+001, 2.7000000E+000, 6.7013361E+002
NaN,NaN,NaN,NaN,NaN,NaN, 3.9000000E+000, 1.5119028E+001, 2.9000000E+000, 6.6512943E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 9.1971493E+000, 3.1000000E+000, 6.5148068E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.3000000E+000, 5.6233743E+000, 3.3000000E+000, 6.2861308E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 3.4633239E+000, 3.5000000E+000, 5.9570791E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.7000000E+000, 2.1439644E+000, 3.7000000E+000, 5.5522766E+002
NaN,NaN,NaN,NaN,NaN,NaN, 4.9000000E+000, 1.3373736E+000, 3.9000000E+000, 5.0895663E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.1000000E+000, 8.4406603E-001, 4.1000000E+000, 4.5984328E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.3000000E+000, 5.3805653E-001, 4.3000000E+000, 4.1037536E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 3.4634475E-001, 4.5000000E+000, 3.6216134E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.7000000E+000, 2.2550877E-001, 4.7000000E+000, 3.1589051E+002
NaN,NaN,NaN,NaN,NaN,NaN, 5.9000000E+000, 1.4867433E-001, 4.9000000E+000, 2.7319623E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.1000000E+000, 9.9288974E-002, 5.1000000E+000, 2.3387244E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.3000000E+000, 6.6990782E-002, 5.3000000E+000, 1.9805291E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 4.5649454E-002, 5.5000000E+000, 1.6624662E+002
NaN,NaN,NaN,NaN,NaN,NaN, 6.7000000E+000, 3.1356095E-002, 5.7000000E+000, 1.3842805E+002
