s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,y_max,L_F,tilt,drag,L_F_max
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0082030E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7305630E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004425E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4020451E+001, 0.0000000E+000, 6.2592665E+001, 0.0000000E+000, 0.0000000E+000
 1.5000075E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4289912E+001, 4.4213918E+000, 6.3518340E+001, 3.2001869E+000, 5.6980141E+000
 2.0005772E+001, 4.7013030E+000, 2.1398133E+000, 5.8749018E-001, 1.4056437E-001, 6.5888544E+000, 4.0344129E+000, 1.7604556E+000, 5.2067194E-001, 1.1147564E+001, 6.3525894E+000, 1.7286262E+000, 4.6407937E-001, 1.4362724E+001, 4.4522318E+000, 6.3413775E+001, 3.2525204E+000, 6.2686264E+000
 2.5000665E+001, 4.8351356E+000, 2.2204073E+000, 5.8821782E-001, 1.3942825E-001, 6.2125631E+000, 3.7787566E+000, 1.8093878E+000, 5.3699799E-001, 1.1992067E+001, 6.7580410E+000, 1.8544805E+000, 4.9449653E-001, 1.3856787E+001, 4.4179369E+000, 6.3197218E+001, 3.2978606E+000, 6.2686264E+000
 3.0007673E+001, 4.8603963E+000, 2.2402108E+000, 5.9105337E-001, 1.3876145E-001, 6.2190596E+000, 3.7815558E+000, 1.8095074E+000, 5.3769753E-001, 1.1795883E+001, 6.6748400E+000, 1.8291894E+000, 4.8621877E-001, 1.4247661E+001, 4.4336587E+000, 6.3120913E+001, 3.2818962E+000, 6.2686264E+000
 3.5005705E+001, 4.8490115E+000, 2.2360652E+000, 5.8747957E-001, 1.3722200E-001, 6.2199056E+000, 3.7913548E+000, 1.8232035E+000, 5.4434797E-001, 1.1797717E+001, 6.6779690E+000, 1.8202544E+000, 4.8084577E-001, 1.4812999E+001, 4.4461798E+000, 6.3340787E+001, 3.2909380E+000, 6.2686264E+000
 4.0000148E+001, 4.8171115E+000, 2.2223038E+000, 5.8438931E-001, 1.3664261E-001, 6.2289955E+000, 3.8093893E+000, 1.8395982E+000, 5.5255431E-001, 1.1847427E+001, 6.7100135E+000, 1.8335612E+000, 4.8541125E-001, 1.4736490E+001, 4.4572372E+000, 6.3408823E+001, 3.3295542E+000, 6.7204674E+000
 4.5002069E+001, 4.8075094E+000, 2.2158610E+000, 5.8251697E-001, 1.3606409E-001, 6.2447017E+000, 3.8199914E+000, 1.8456479E+000, 5.5409787E-001, 1.1882991E+001, 6.7378692E+000, 1.8396356E+000, 4.8687689E-001, 1.4469461E+001, 4.4762656E+000, 6.3442246E+001, 3.3419059E+000, 6.7204674E+000
 5.0002552E+001, 4.8121474E+000, 2.2170638E+000, 5.8251178E-001, 1.3643757E-001, 6.2546901E+000, 3.8326794E+000, 1.8551927E+000, 5.5846080E-001, 1.1902998E+001, 6.7598422E+000, 1.8476141E+000, 4.8861900E-001, 1.4933241E+001, 4.4857100E+000, 6.3556869E+001, 3.3533892E+000, 6.7204674E+000
 5.5003982E+001, 4.8071378E+000, 2.2174364E+000, 5.8354519E-001, 1.3678554E-001, 6.2725057E+000, 3.8524679E+000, 1.8703433E+000, 5.6559707E-001, 1.1880121E+001, 6.7522067E+000, 1.8516239E+000, 4.9141491E-001, 1.4514070E+001, 4.4959604E+000, 6.3585796E+001, 3.3557846E+000, 6.7204674E+000
 6.0000000E+001, 4.7982433E+000, 2.2145435E+000, 5.8416847E-001, 1.3749298E-001, 6.2717952E+000, 3.8522643E+000, 1.8716373E+000, 5.6658696E-001, 1.1912139E+001, 6.7661312E+000, 1.8548337E+000, 4.9343638E-001, 1.4752072E+001, 4.5088745E+000, 6.3618579E+001, 3.3781461E+000, 6.7204674E+000
