s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,y_max,L_F,tilt,drag,L_F_max
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0029566E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6546525E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004206E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0517773E+000, 0.0000000E+000, 5.1180121E+001, 0.0000000E+000, 0.0000000E+000
 1.5007955E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4029052E+000, 2.8661678E+000, 4.8758567E+001, 1.7497731E+000, 4.2624457E+000
 2.0000789E+001, 2.2182371E+000, 1.6171723E+000, 9.7467112E-001, 5.9041069E-001, 2.4586028E+000, 1.6308524E+000, 1.1372582E+000, 6.6400305E-001, 2.0165584E+000, 1.4161532E+000, 9.6459429E-001, 6.3712348E-001, 3.2996362E-001, 8.0882445E+000, 2.8944377E+000, 4.8110401E+001, 1.7768065E+000, 6.0409043E+000
 2.5007332E+001, 2.1416146E+000, 1.5293440E+000, 9.4186552E-001, 5.7864463E-001, 2.8015849E+000, 1.9483078E+000, 1.4258377E+000, 8.9718688E-001, 1.9351985E+000, 1.3518742E+000, 9.2376682E-001, 6.2118878E-001, 3.3550709E-001, 8.7710656E+000, 2.9669932E+000, 4.8515913E+001, 1.7825350E+000, 6.0409043E+000
 3.0009016E+001, 2.1318959E+000, 1.5219887E+000, 9.3863707E-001, 5.7975896E-001, 2.7847617E+000, 1.9375300E+000, 1.4188300E+000, 8.9287412E-001, 1.9139115E+000, 1.3341396E+000, 9.1210757E-001, 6.1470116E-001, 3.3266358E-001, 8.2212527E+000, 2.9454520E+000, 4.8423365E+001, 1.8000454E+000, 6.0409043E+000
 3.5008356E+001, 2.1295554E+000, 1.5188103E+000, 9.3699471E-001, 5.7788031E-001, 2.7977587E+000, 1.9533355E+000, 1.4343137E+000, 9.0611990E-001, 1.9086154E+000, 1.3308639E+000, 9.0981695E-001, 6.1235040E-001, 3.3001828E-001, 9.5793339E+000, 2.9650518E+000, 4.9193906E+001, 1.8089271E+000, 6.0409043E+000
 4.0002458E+001, 2.1310837E+000, 1.5213612E+000, 9.3768225E-001, 5.7707761E-001, 2.7840891E+000, 1.9465747E+000, 1.4308112E+000, 9.0539221E-001, 1.9080120E+000, 1.3308124E+000, 9.0834829E-001, 6.0963292E-001, 3.2743591E-001, 1.1037893E+001, 2.9992713E+000, 5.0364835E+001, 1.8179594E+000, 6.0409043E+000
 4.5004101E+001, 2.1257816E+000, 1.5153228E+000, 9.3267715E-001, 5.7335993E-001, 2.7567384E+000, 1.9293911E+000, 1.4190459E+000, 8.9877007E-001, 1.9036035E+000, 1.3259074E+000, 9.0370023E-001, 6.0541597E-001, 3.2396555E-001, 1.1701626E+001, 3.0270869E+000, 5.1508735E+001, 1.8276194E+000, 6.0409043E+000
 5.0000668E+001, 2.1303611E+000, 1.5185227E+000, 9.3490673E-001, 5.7446603E-001, 2.7621492E+000, 1.9382502E+000, 1.4288021E+000, 9.0816673E-001, 1.9080353E+000, 1.3297460E+000, 9.0677153E-001, 6.0745375E-001, 3.2456691E-001, 1.1401519E+001, 3.0426220E+000, 5.2159634E+001, 1.8401332E+000, 6.0409043E+000
 5.5008006E+001, 2.1379350E+000, 1.5235903E+000, 9.3684834E-001, 5.7469822E-001, 2.7664920E+000, 1.9425327E+000, 1.4326164E+000, 9.1142348E-001, 1.9196302E+000, 1.3377689E+000, 9.1166074E-001, 6.1000006E-001, 3.2499514E-001, 1.2191194E+001, 3.0706209E+000, 5.2923292E+001, 1.8625650E+000, 6.0409043E+000
 6.0000000E+001, 2.1436042E+000, 1.5269415E+000, 9.3893657E-001, 5.7586537E-001, 2.7674469E+000, 1.9458070E+000, 1.4364714E+000, 9.1515529E-001, 1.9266372E+000, 1.3426509E+000, 9.1507129E-001, 6.1219158E-001, 3.2577912E-001, 1.1508456E+001, 3.0687802E+000, 5.3451507E+001, 1.8811913E+000, 6.0409043E+000
