s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 1.5000000E+000, 3.1540800E+001, 0.0000000E+000
 3.0000000E+000, 3.1540800E+001, 0.0000000E+000
 4.5000000E+000, 3.1540800E+001, 1.1777069E-008
 6.1000000E+000, 3.1540800E+001, 9.0345281E-007
 7.6000000E+000, 3.1540800E+001, 2.1365335E-005
 9.1000000E+000, 3.1540799E+001, 2.5855170E-004
 1.0600000E+001, 3.1540787E+001, 2.0679213E-003
 1.2100000E+001, 3.1540713E+001, 1.2066671E-002
 1.3600000E+001, 3.1540366E+001, 5.3574238E-002
 1.5100000E+001, 3.1539107E+001, 1.8324318E-001
 1.6600000E+001, 3.1535592E+001, 4.7245313E-001
 1.8069850E+001, 3.1528437E+001, 8.6305972E-001
 1.9561259E+001, 3.1517716E+001, 1.2395324E+000
 2.1070557E+001, 3.1503721E+001, 1.4773822E+000
 2.2523860E+001, 3.1488179E+001, 1.6341567E+000
 2.4046782E+001, 3.1470911E+001, 1.7932909E+000
 2.5521337E+001, 3.1452090E+001, 1.8787554E+000
 2.7021388E+001, 3.1432707E+001, 1.9432143E+000
 2.8562770E+001, 3.1412971E+001, 2.0692149E+000
 3.0027652E+001, 3.1392162E+001, 2.1761268E+000
 3.1523486E+001, 3.1370209E+001, 2.2401722E+000
 3.3018865E+001, 3.1347407E+001, 2.2016458E+000
 3.4523241E+001, 3.1325039E+001, 2.4439806E+000
 3.6041256E+001, 3.1301639E+001, 2.4902217E+000
 3.7568020E+001, 3.1278512E+001, 2.4396203E+000
 3.9036552E+001, 3.1256254E+001, 2.4235996E+000
 4.0509441E+001, 3.1233160E+001, 2.3114151E+000
 4.2047108E+001, 3.1210573E+001, 2.3571494E+000
 4.3505075E+001, 3.1188315E+001, 2.4634655E+000
 4.5024817E+001, 3.1165847E+001, 2.4870686E+000
 4.6512245E+001, 3.1142885E+001, 2.4485582E+000
 4.8040326E+001, 3.1120883E+001, 2.3733233E+000
 4.9502033E+001, 3.1098842E+001, 2.4459969E+000
 5.1019101E+001, 3.1076394E+001, 2.5888261E+000
 5.2505221E+001, 3.1053620E+001, 2.7935540E+000
 5.4049839E+001, 3.1029380E+001, 2.7385231E+000
 5.5514617E+001, 3.1004219E+001, 2.5689973E+000
 5.7011651E+001, 3.0979815E+001, 2.5716800E+000
 5.8519196E+001, 3.0954136E+001, 2.8889097E+000
 6.0018123E+001, 3.0924210E+001, 3.0712265E+000
 6.1527906E+001, 3.0892099E+001, 3.2410288E+000
 6.3037931E+001, 3.0861707E+001, 3.0639548E+000
 6.4521305E+001, 3.0835656E+001, 2.7263485E+000
 6.6052919E+001, 3.0810522E+001, 2.5118664E+000
 6.7540245E+001, 3.0786978E+001, 2.4731202E+000
 6.9012063E+001, 3.0765456E+001, 2.4957923E+000
 7.0533043E+001, 3.0744399E+001, 2.6702610E+000
 7.2033456E+001, 3.0721783E+001, 2.7900171E+000
 7.3519525E+001, 3.0699339E+001, 2.7970459E+000
 7.5018470E+001, 3.0677317E+001, 2.6951965E+000
 7.6567330E+001, 3.0655055E+001, 2.6995381E+000
 7.8052632E+001, 3.0633610E+001, 2.6910789E+000
 7.9526426E+001, 3.0611417E+001, 2.6725114E+000
 8.1044394E+001, 3.0586634E+001, 2.5845796E+000
 8.2516281E+001, 3.0564791E+001, 2.4262429E+000
 8.4018078E+001, 3.0544712E+001, 2.4728130E+000
 8.5567190E+001, 3.0523328E+001, 2.2785245E+000
 8.7050432E+001, 3.0501896E+001, 2.3430746E+000
 8.8531364E+001, 3.0480241E+001, 2.3810010E+000
 9.0009773E+001, 3.0459901E+001, 2.2927853E+000
 9.1514095E+001, 3.0440379E+001, 2.2611862E+000
 9.3025931E+001, 3.0421480E+001, 2.3095611E+000
 9.4531219E+001, 3.0402733E+001, 2.3130092E+000
 9.6024202E+001, 3.0383530E+001, 2.3169536E+000
 9.7517228E+001, 3.0365470E+001, 2.2873060E+000
 9.9000056E+001, 3.0347988E+001, 2.2199511E+000
 1.0053836E+002, 3.0330355E+001, 2.2079731E+000
 1.0200056E+002, 3.0312758E+001, 2.2141581E+000
 1.0352832E+002, 3.0295332E+001, 2.2172310E+000
 1.0503707E+002, 3.0277845E+001, 2.1797270E+000
