s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 2.5000000E+000, 3.1540800E+001, 0.0000000E+000
 5.1000000E+000, 3.1540800E+001, 0.0000000E+000
 7.6000000E+000, 3.1540800E+001, 0.0000000E+000
 1.0100000E+001, 3.1540800E+001, 0.0000000E+000
 1.2600000E+001, 3.1540800E+001, 0.0000000E+000
 1.5100000E+001, 3.1540800E+001, 0.0000000E+000
 1.7600000E+001, 3.1540800E+001, 0.0000000E+000
 2.0000000E+001, 3.1540800E+001, 0.0000000E+000
 2.2500000E+001, 3.1540800E+001, 0.0000000E+000
 2.5000000E+001, 3.1540800E+001, 8.8578902E-010
 2.7500000E+001, 3.1540800E+001, 2.7426786E-009
 3.0000000E+001, 3.1540800E+001, 1.2376772E-008
 3.2500000E+001, 3.1540800E+001, 3.1314806E-008
 3.5000000E+001, 3.1540800E+001, 6.7864977E-008
 3.7500000E+001, 3.1540800E+001, 1.4128416E-007
 4.0000000E+001, 3.1540800E+001, 2.8827029E-007
 4.2500000E+001, 3.1540800E+001, 5.4913590E-007
 4.5000000E+001, 3.1540800E+001, 1.0082301E-006
 4.7500000E+001, 3.1540800E+001, 1.7696809E-006
 5.0000000E+001, 3.1540800E+001, 3.0527192E-006
 5.2500000E+001, 3.1540800E+001, 5.0458387E-006
 5.5000000E+001, 3.1540800E+001, 8.0577699E-006
 5.7500000E+001, 3.1540800E+001, 1.2529177E-005
 6.0000000E+001, 3.1540799E+001, 1.9090898E-005
 6.2500000E+001, 3.1540799E+001, 2.8649636E-005
 6.5000000E+001, 3.1540798E+001, 4.2593402E-005
 6.7500000E+001, 3.1540797E+001, 6.1266796E-005
 7.0000000E+001, 3.1540796E+001, 8.6536232E-005
 7.2500000E+001, 3.1540794E+001, 1.2083062E-004
 7.5000000E+001, 3.1540792E+001, 1.6850201E-004
 7.7600000E+001, 3.1540789E+001, 2.2833424E-004
 8.0100000E+001, 3.1540784E+001, 3.0847453E-004
 8.2600000E+001, 3.1540778E+001, 4.0789322E-004
 8.5100000E+001, 3.1540771E+001, 5.3712252E-004
 8.7600000E+001, 3.1540761E+001, 7.0506634E-004
 9.0100000E+001, 3.1540747E+001, 9.0869089E-004
 9.2600000E+001, 3.1540731E+001, 1.1470154E-003
 9.5100000E+001, 3.1540710E+001, 1.4396213E-003
 9.7600000E+001, 3.1540684E+001, 1.7899966E-003
 1.0010000E+002, 3.1540652E+001, 2.2101447E-003
 1.0260000E+002, 3.1540612E+001, 2.7113283E-003
 1.0510000E+002, 3.1540564E+001, 3.3117786E-003
 1.0760000E+002, 3.1540506E+001, 4.0383028E-003
 1.1010000E+002, 3.1540436E+001, 4.8853787E-003
 1.1260000E+002, 3.1540352E+001, 5.8206049E-003
 1.1510000E+002, 3.1540252E+001, 6.9686581E-003
 1.1760000E+002, 3.1540133E+001, 8.2241065E-003
 1.2010000E+002, 3.1539995E+001, 9.6693998E-003
 1.2260000E+002, 3.1539833E+001, 1.1296784E-002
 1.2510000E+002, 3.1539646E+001, 1.3053854E-002
 1.2760000E+002, 3.1539428E+001, 1.4989109E-002
 1.3010000E+002, 3.1539174E+001, 1.7433126E-002
 1.3260000E+002, 3.1538874E+001, 2.0138054E-002
 1.3510000E+002, 3.1538531E+001, 2.2841662E-002
 1.3760000E+002, 3.1538152E+001, 2.5677043E-002
 1.4010000E+002, 3.1537722E+001, 2.8634814E-002
 1.4260000E+002, 3.1537232E+001, 3.2079893E-002
 1.4510000E+002, 3.1536688E+001, 3.5238733E-002
 1.4760000E+002, 3.1536089E+001, 3.9172475E-002
 1.5010000E+002, 3.1535427E+001, 4.3338337E-002
 1.5260000E+002, 3.1534677E+001, 4.7217326E-002
 1.5510000E+002, 3.1533854E+001, 5.1215940E-002
 1.5760000E+002, 3.1532954E+001, 5.5515107E-002
 1.6010000E+002, 3.1531960E+001, 6.0473037E-002
 1.6260000E+002, 3.1530885E+001, 6.6263742E-002
 1.6510000E+002, 3.1529732E+001, 7.0859880E-002
 1.6760000E+002, 3.1528460E+001, 7.6897517E-002
 1.7010000E+002, 3.1527067E+001, 8.2376766E-002
 1.7260000E+002, 3.1525602E+001, 8.7303153E-002
 1.7510000E+002, 3.1524042E+001, 9.0848573E-002
