s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.8704000E+001, 0.0000000E+000
 1.5000000E+000, 3.8704000E+001, 0.0000000E+000
 3.0000000E+000, 3.8704000E+001, 0.0000000E+000
 4.5000000E+000, 3.8704000E+001, 0.0000000E+000
 6.1000000E+000, 3.8704000E+001, 5.7401250E-008
 7.6000000E+000, 3.8704000E+001, 2.2402494E-006
 9.1000000E+000, 3.8704000E+001, 4.0699075E-005
 1.0600000E+001, 3.8703994E+001, 4.6095167E-004
 1.2100000E+001, 3.8703947E+001, 3.6512779E-003
 1.3589265E+001, 3.8703653E+001, 2.1752111E-002
 1.5009034E+001, 3.8702304E+001, 9.9482932E-002
 1.6520136E+001, 3.8697242E+001, 3.6839627E-001
 1.8009926E+001, 3.8683156E+001, 1.0151040E+000
 1.9511261E+001, 3.8660771E+001, 1.9300317E+000
 2.1010841E+001, 3.8634641E+001, 2.4512130E+000
 2.2504308E+001, 3.8607549E+001, 2.2176232E+000
 2.4015704E+001, 3.8585652E+001, 1.7749171E+000
 2.5523602E+001, 3.8563779E+001, 1.7507530E+000
 2.7007145E+001, 3.8540219E+001, 1.9905881E+000
 2.8517919E+001, 3.8511876E+001, 2.9090563E+000
 3.0019624E+001, 3.8474921E+001, 3.2777527E+000
 3.1504171E+001, 3.8438711E+001, 2.7967223E+000
 3.3010639E+001, 3.8411954E+001, 2.1348311E+000
 3.4502222E+001, 3.8386328E+001, 2.1017790E+000
 3.6016398E+001, 3.8359334E+001, 2.3330202E+000
 3.7506863E+001, 3.8331273E+001, 2.8704411E+000
 3.9021713E+001, 3.8296683E+001, 2.9325162E+000
 4.0520351E+001, 3.8265172E+001, 2.6911907E+000
 4.2003817E+001, 3.8240527E+001, 2.1746332E+000
 4.3503426E+001, 3.8214823E+001, 2.3298305E+000
 4.5019095E+001, 3.8187513E+001, 2.4162682E+000
 4.6509050E+001, 3.8156259E+001, 2.8304401E+000
 4.8014849E+001, 3.8123973E+001, 3.0527851E+000
 4.9516043E+001, 3.8096254E+001, 3.1541667E+000
 5.1018563E+001, 3.8067901E+001, 3.0134669E+000
 5.2511116E+001, 3.8043326E+001, 2.6972556E+000
 5.4010062E+001, 3.8020410E+001, 2.3960829E+000
 5.5522403E+001, 3.7999049E+001, 2.3679198E+000
 5.7015830E+001, 3.7977562E+001, 2.5314091E+000
 5.8514413E+001, 3.7956143E+001, 2.6365077E+000
 6.0020710E+001, 3.7935338E+001, 2.6973205E+000
 6.1520474E+001, 3.7913973E+001, 2.5533639E+000
 6.3027461E+001, 3.7892686E+001, 2.4852618E+000
 6.4518138E+001, 3.7871052E+001, 2.1941205E+000
 6.6021175E+001, 3.7850373E+001, 2.1997180E+000
 6.7509162E+001, 3.7828024E+001, 2.3202277E+000
 6.9022203E+001, 3.7806636E+001, 2.3215038E+000
 7.0510650E+001, 3.7785407E+001, 2.4371166E+000
 7.2001611E+001, 3.7764832E+001, 2.6034104E+000
 7.3509256E+001, 3.7745364E+001, 2.5600581E+000
 7.5027604E+001, 3.7724613E+001, 2.3278083E+000
 7.6508948E+001, 3.7703886E+001, 2.1523049E+000
 7.8015044E+001, 3.7684340E+001, 2.1418207E+000
 7.9503716E+001, 3.7664154E+001, 2.1081506E+000
 8.1024368E+001, 3.7644262E+001, 2.0298960E+000
 8.2517168E+001, 3.7625416E+001, 2.0207155E+000
 8.4004074E+001, 3.7607218E+001, 2.1660935E+000
 8.5519716E+001, 3.7589356E+001, 2.2090133E+000
 8.7007285E+001, 3.7571876E+001, 2.1493621E+000
 8.8512338E+001, 3.7554495E+001, 2.1786675E+000
 9.0015351E+001, 3.7537704E+001, 2.1966669E+000
 9.1501410E+001, 3.7520920E+001, 2.1105859E+000
 9.3001274E+001, 3.7503618E+001, 2.0239845E+000
 9.4514008E+001, 3.7486674E+001, 1.9442503E+000
 9.6011548E+001, 3.7470993E+001, 1.8685566E+000
 9.7517647E+001, 3.7455822E+001, 1.7943691E+000
 9.9015855E+001, 3.7440348E+001, 1.8115509E+000
 1.0051181E+002, 3.7423755E+001, 1.8726626E+000
 1.0202346E+002, 3.7406667E+001, 1.9184633E+000
 1.0350908E+002, 3.7390745E+001, 1.8772475E+000
 1.0500983E+002, 3.7376274E+001, 1.7618358E+000
 1.0650355E+002, 3.7362670E+001, 1.6973623E+000
 1.0800248E+002, 3.7349167E+001, 1.6665527E+000
 1.0950858E+002, 3.7335624E+001, 1.6437949E+000
 1.1100777E+002, 3.7321949E+001, 1.6183074E+000
 1.1250793E+002, 3.7308023E+001, 1.6010410E+000
 1.1401215E+002, 3.7293691E+001, 1.6110515E+000
