s,C,C,kg/m2
Time,"null","null","null"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.6000000E-002
 5.0000000E+000, 2.0480000E+001, 2.0101753E+001, 1.6000000E-002
 1.0000000E+001, 2.1280000E+001, 2.0622817E+001, 1.6000000E-002
 1.5000000E+001, 2.2208000E+001, 2.1385068E+001, 1.6000000E-002
 2.0000000E+001, 2.3040000E+001, 2.2244680E+001, 1.6000000E-002
 2.4000000E+001, 2.3760000E+001, 2.2958710E+001, 1.6000000E-002
 2.9000000E+001, 2.4480000E+001, 2.3658503E+001, 1.6000000E-002
 3.4000000E+001, 2.5280000E+001, 2.4434045E+001, 1.6000000E-002
 3.9000000E+001, 2.6208000E+001, 2.5246872E+001, 1.6000000E-002
 4.4000000E+001, 2.7040000E+001, 2.6119453E+001, 1.6000000E-002
 4.8000000E+001, 2.7760000E+001, 2.6838259E+001, 1.6000000E-002
 5.3000000E+001, 2.8480000E+001, 2.7542793E+001, 1.6000000E-002
 5.8000000E+001, 2.9280000E+001, 2.8324161E+001, 1.6000000E-002
 6.3000000E+001, 3.0208000E+001, 2.9144493E+001, 1.6000000E-002
 6.8000000E+001, 3.1040000E+001, 3.0024871E+001, 1.6000000E-002
 7.2000000E+001, 3.1760000E+001, 3.0749424E+001, 1.6000000E-002
 7.7000000E+001, 3.2480000E+001, 3.1460271E+001, 1.6000000E-002
 8.2000000E+001, 3.3280000E+001, 3.2248297E+001, 1.6000000E-002
 8.7000000E+001, 3.4208000E+001, 3.3075059E+001, 1.6000000E-002
 9.2000000E+001, 3.5040000E+001, 3.3959609E+001, 1.6000000E-002
 9.6000000E+001, 3.5760000E+001, 3.4685060E+001, 1.6000000E-002
 1.0100000E+002, 3.6480000E+001, 3.5396811E+001, 1.6000000E-002
 1.0600000E+002, 3.7280000E+001, 3.6186309E+001, 1.6000000E-002
 1.1100000E+002, 3.8208000E+001, 3.7016792E+001, 1.6000000E-002
 1.1600000E+002, 3.9040000E+001, 3.7906292E+001, 1.6000000E-002
 1.2000000E+002, 3.9760000E+001, 3.8636098E+001, 1.6000000E-002
 1.2500000E+002, 4.0480000E+001, 3.9353265E+001, 1.6000000E-002
 1.3000000E+002, 4.1280000E+001, 4.0147953E+001, 1.6000000E-002
 1.3500000E+002, 4.2208000E+001, 4.0982270E+001, 1.6000000E-002
 1.4000000E+002, 4.3040000E+001, 4.1872388E+001, 1.6000000E-002
 1.4400000E+002, 4.3760000E+001, 4.2600216E+001, 1.6000000E-002
 1.4900000E+002, 4.4480000E+001, 4.3316398E+001, 1.6000000E-002
 1.5400000E+002, 4.5280000E+001, 4.4112281E+001, 1.6000000E-002
 1.5900000E+002, 4.6208000E+001, 4.4951839E+001, 1.6000000E-002
 1.6400000E+002, 4.7040000E+001, 4.5848326E+001, 1.6000000E-002
 1.6900000E+002, 4.7840000E+001, 4.6660107E+001, 1.6000000E-002
 1.7300000E+002, 4.8560000E+001, 4.7378355E+001, 1.6000000E-002
 1.7800000E+002, 4.9280000E+001, 4.8094320E+001, 1.6000000E-002
 1.8300000E+002, 5.0208000E+001, 4.8932664E+001, 1.6000000E-002
 1.8800000E+002, 5.1040000E+001, 4.9827549E+001, 1.6000000E-002
 1.9300000E+002, 5.1840000E+001, 5.0639384E+001, 1.6000000E-002
 1.9700000E+002, 5.2560000E+001, 5.1361249E+001, 1.6000000E-002
 2.0200000E+002, 5.3280000E+001, 5.2082269E+001, 1.6000000E-002
 2.0700000E+002, 5.4208000E+001, 5.2925761E+001, 1.6000000E-002
 2.1200000E+002, 5.5040000E+001, 5.3821512E+001, 1.6000000E-002
 2.1700000E+002, 5.5840000E+001, 5.4630221E+001, 1.6000000E-002
 2.2100000E+002, 5.6560000E+001, 5.5349281E+001, 1.6000000E-002
 2.2600000E+002, 5.7280000E+001, 5.6069321E+001, 1.6000000E-002
 2.3100000E+002, 5.8208000E+001, 5.6916200E+001, 1.6000000E-002
 2.3600000E+002, 5.9040000E+001, 5.7818271E+001, 1.6000000E-002
 2.4100000E+002, 5.9840000E+001, 5.8631880E+001, 1.6000000E-002
 2.4500000E+002, 6.0560000E+001, 5.9352771E+001, 1.6000000E-002
 2.5000000E+002, 6.1280000E+001, 6.0071255E+001, 1.6000000E-002
 2.5500000E+002, 6.2208000E+001, 6.0915919E+001, 1.6000000E-002
 2.6000000E+002, 6.3040000E+001, 6.1815026E+001, 1.6000000E-002
 2.6500000E+002, 6.3840000E+001, 6.2628109E+001, 1.6000000E-002
 2.6900000E+002, 6.4560000E+001, 6.3351998E+001, 1.6000000E-002
 2.7400000E+002, 6.5280000E+001, 6.4074899E+001, 1.6000000E-002
 2.7900000E+002, 6.6208000E+001, 6.4928526E+001, 1.6000000E-002
 2.8400000E+002, 6.7040000E+001, 6.5831759E+001, 1.6000000E-002
 2.8900000E+002, 6.7840000E+001, 6.6646741E+001, 1.6000000E-002
 2.9300000E+002, 6.8560000E+001, 6.7371208E+001, 1.6000000E-002
 2.9800000E+002, 6.9280000E+001, 6.8094659E+001, 1.6000000E-002
 3.0300000E+002, 7.0208000E+001, 6.8946481E+001, 1.6000000E-002
 3.0800000E+002, 7.1040000E+001, 6.9847010E+001, 1.6000000E-002
 3.1300000E+002, 7.1840000E+001, 7.0655585E+001, 1.6000000E-002
 3.1700000E+002, 7.2560000E+001, 7.1375428E+001, 1.6000000E-002
 3.2200000E+002, 7.3280000E+001, 7.2095701E+001, 1.6000000E-002
 3.2700000E+002, 7.4208000E+001, 7.2946837E+001, 1.6000000E-002
 3.3200000E+002, 7.5040000E+001, 7.3849035E+001, 1.6000000E-002
 3.3700000E+002, 7.5840000E+001, 7.4660911E+001, 1.6000000E-002
 3.4100000E+002, 7.6560000E+001, 7.5383399E+001, 1.6000000E-002
 3.4600000E+002, 7.7280000E+001, 7.6103667E+001, 1.6000000E-002
 3.5100000E+002, 7.8208000E+001, 7.6953200E+001, 1.6000000E-002
