s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.8704000E+001, 0.0000000E+000
 1.5000000E+000, 3.8704000E+001, 0.0000000E+000
 3.0000000E+000, 3.8704000E+001, 0.0000000E+000
 4.5000000E+000, 3.8704000E+001, 0.0000000E+000
 6.1000000E+000, 3.8704000E+001, 0.0000000E+000
 7.6000000E+000, 3.8704000E+001, 0.0000000E+000
 9.1000000E+000, 3.8704000E+001, 0.0000000E+000
 1.0600000E+001, 3.8704000E+001, 9.5991909E-009
 1.2100000E+001, 3.8704000E+001, 6.7773764E-008
 1.3600000E+001, 3.8704000E+001, 3.9825005E-007
 1.5100000E+001, 3.8704000E+001, 1.8377810E-006
 1.6600000E+001, 3.8704000E+001, 7.2805958E-006
 1.8100000E+001, 3.8703999E+001, 2.5364551E-005
 1.9500000E+001, 3.8703998E+001, 7.6005316E-005
 2.1000000E+001, 3.8703995E+001, 2.1215289E-004
 2.2500000E+001, 3.8703985E+001, 5.6151013E-004
 2.4000000E+001, 3.8703961E+001, 1.3823936E-003
 2.5506804E+001, 3.8703904E+001, 3.2190591E-003
 2.7048613E+001, 3.8703777E+001, 7.2038229E-003
 2.8573779E+001, 3.8703499E+001, 1.5273264E-002
 3.0018985E+001, 3.8702960E+001, 2.9959599E-002
 3.1545769E+001, 3.8701950E+001, 5.7348153E-002
 3.3015886E+001, 3.8700110E+001, 1.0358627E-001
 3.4541095E+001, 3.8696967E+001, 1.7775844E-001
 3.6002612E+001, 3.8692133E+001, 2.9109907E-001
 3.7531432E+001, 3.8685711E+001, 4.4424932E-001
 3.9015373E+001, 3.8676556E+001, 6.4059207E-001
 4.0514062E+001, 3.8664506E+001, 8.5648154E-001
 4.2017402E+001, 3.8650739E+001, 1.0770337E+000
 4.3509339E+001, 3.8636074E+001, 1.2457986E+000
 4.5015121E+001, 3.8619296E+001, 1.3024226E+000
 4.6509120E+001, 3.8603336E+001, 1.3164454E+000
 4.8010779E+001, 3.8589820E+001, 1.2685944E+000
 4.9501679E+001, 3.8575547E+001, 1.1799607E+000
 5.1001313E+001, 3.8560992E+001, 1.1197781E+000
 5.2521217E+001, 3.8547609E+001, 1.1274764E+000
 5.4019820E+001, 3.8534876E+001, 1.1145247E+000
 5.5502206E+001, 3.8521870E+001, 1.1216429E+000
 5.7016426E+001, 3.8509828E+001, 1.1509432E+000
 5.8520682E+001, 3.8496789E+001, 1.2780080E+000
 6.0018248E+001, 3.8484102E+001, 1.3999661E+000
 6.1508417E+001, 3.8470521E+001, 1.6357470E+000
 6.3022194E+001, 3.8455394E+001, 1.7141245E+000
 6.4523153E+001, 3.8437180E+001, 1.5907118E+000
 6.6024274E+001, 3.8420589E+001, 1.4157889E+000
 6.7513067E+001, 3.8405378E+001, 1.3095616E+000
 6.9009700E+001, 3.8390525E+001, 1.3396629E+000
 7.0503313E+001, 3.8374391E+001, 1.3407872E+000
 7.2013745E+001, 3.8359262E+001, 1.3213155E+000
 7.3502632E+001, 3.8344346E+001, 1.3318299E+000
 7.5000989E+001, 3.8328754E+001, 1.3609368E+000
 7.6525573E+001, 3.8313217E+001, 1.4570631E+000
 7.8000778E+001, 3.8297728E+001, 1.5411593E+000
 7.9511859E+001, 3.8279999E+001, 1.5405633E+000
 8.1022555E+001, 3.8262013E+001, 1.4087640E+000
 8.2520946E+001, 3.8245836E+001, 1.3320711E+000
 8.4010863E+001, 3.8229209E+001, 1.3413175E+000
 8.5527459E+001, 3.8213299E+001, 1.3300800E+000
 8.7016935E+001, 3.8198577E+001, 1.3058438E+000
 8.8523600E+001, 3.8184979E+001, 1.2649610E+000
 9.0016447E+001, 3.8171341E+001, 1.2872322E+000
 9.1519853E+001, 3.8158490E+001, 1.3288005E+000
 9.3014946E+001, 3.8145315E+001, 1.3755963E+000
 9.4517117E+001, 3.8131062E+001, 1.4439958E+000
 9.6013942E+001, 3.8117017E+001, 1.4991456E+000
 9.7510788E+001, 3.8103892E+001, 1.4807422E+000
 9.9024168E+001, 3.8090358E+001, 1.4250951E+000
 1.0051361E+002, 3.8076003E+001, 1.3756340E+000
 1.0200663E+002, 3.8062781E+001, 1.3117049E+000
 1.0351262E+002, 3.8049953E+001, 1.2904157E+000
 1.0500326E+002, 3.8037707E+001, 1.2729049E+000
 1.0652762E+002, 3.8026387E+001, 1.2731998E+000
 1.0802037E+002, 3.8015043E+001, 1.2742450E+000
 1.0950869E+002, 3.8002641E+001, 1.2873426E+000
 1.1100758E+002, 3.7988555E+001, 1.3265517E+000
 1.1250918E+002, 3.7974417E+001, 1.3603377E+000
 1.1402256E+002, 3.7960101E+001, 1.4046344E+000
