s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 1.5000000E+000, 3.1540800E+001, 0.0000000E+000
 3.0000000E+000, 3.1540800E+001, 0.0000000E+000
 4.5000000E+000, 3.1540800E+001, 0.0000000E+000
 6.1000000E+000, 3.1540800E+001, 0.0000000E+000
 7.6000000E+000, 3.1540800E+001, 0.0000000E+000
 9.1000000E+000, 3.1540800E+001, 3.2689963E-008
 1.0600000E+001, 3.1540800E+001, 2.0496041E-007
 1.2100000E+001, 3.1540800E+001, 1.1071183E-006
 1.3600000E+001, 3.1540800E+001, 4.8564087E-006
 1.5100000E+001, 3.1540800E+001, 1.7910643E-005
 1.6600000E+001, 3.1540799E+001, 5.7791268E-005
 1.8100000E+001, 3.1540798E+001, 1.6750982E-004
 1.9500000E+001, 3.1540795E+001, 4.3008071E-004
 2.1000000E+001, 3.1540788E+001, 1.0387753E-003
 2.2500000E+001, 3.1540770E+001, 2.3895836E-003
 2.4000000E+001, 3.1540729E+001, 5.1129771E-003
 2.5500000E+001, 3.1540645E+001, 1.0464025E-002
 2.7000000E+001, 3.1540482E+001, 2.0323149E-002
 2.8500000E+001, 3.1540180E+001, 3.7161896E-002
 3.0000000E+001, 3.1539654E+001, 6.4490082E-002
 3.1500000E+001, 3.1538783E+001, 1.0635596E-001
 3.3000000E+001, 3.1537389E+001, 1.6499126E-001
 3.4500000E+001, 3.1535235E+001, 2.4162640E-001
 3.6000000E+001, 3.1532301E+001, 3.2989840E-001
 3.7500000E+001, 3.1528580E+001, 4.2783357E-001
 3.9000000E+001, 3.1523854E+001, 5.1430828E-001
 4.0543371E+001, 3.1518052E+001, 5.9695242E-001
 4.2008210E+001, 3.1511324E+001, 6.4973896E-001
 4.3541648E+001, 3.1503984E+001, 6.9763712E-001
 4.5069683E+001, 3.1495897E+001, 7.1349814E-001
 4.6559661E+001, 3.1487374E+001, 7.7590271E-001
 4.8019009E+001, 3.1478401E+001, 8.5623750E-001
 4.9550628E+001, 3.1468798E+001, 9.2142748E-001
 5.1036218E+001, 3.1458641E+001, 9.8890439E-001
 5.2506246E+001, 3.1448269E+001, 1.0550974E+000
 5.4070740E+001, 3.1437288E+001, 1.1028626E+000
 5.5534516E+001, 3.1425843E+001, 1.1598251E+000
 5.7030796E+001, 3.1414138E+001, 1.1724320E+000
 5.8504884E+001, 3.1402831E+001, 1.1415143E+000
 6.0038322E+001, 3.1391006E+001, 1.1735302E+000
 6.1526140E+001, 3.1378550E+001, 1.2042050E+000
 6.3059160E+001, 3.1366134E+001, 1.2197870E+000
 6.4518444E+001, 3.1353885E+001, 1.2700577E+000
 6.6073705E+001, 3.1340333E+001, 1.2984305E+000
 6.7525271E+001, 3.1325517E+001, 1.3662457E+000
 6.9034468E+001, 3.1310631E+001, 1.3758220E+000
 7.0548369E+001, 3.1294727E+001, 1.4268637E+000
 7.2016281E+001, 3.1278963E+001, 1.4206653E+000
 7.3568926E+001, 3.1263890E+001, 1.4258895E+000
 7.5038566E+001, 3.1248861E+001, 1.4599684E+000
 7.6501417E+001, 3.1234237E+001, 1.4445846E+000
 7.8058668E+001, 3.1219154E+001, 1.3797810E+000
 7.9532431E+001, 3.1203981E+001, 1.3809412E+000
 8.1039265E+001, 3.1189067E+001, 1.3352357E+000
 8.2529665E+001, 3.1173874E+001, 1.3204321E+000
 8.4017576E+001, 3.1159189E+001, 1.2866241E+000
 8.5549106E+001, 3.1145175E+001, 1.3139865E+000
 8.7037866E+001, 3.1132151E+001, 1.2917652E+000
 8.8572083E+001, 3.1119538E+001, 1.2709212E+000
 9.0024888E+001, 3.1107534E+001, 1.2689106E+000
 9.1504629E+001, 3.1095811E+001, 1.3025799E+000
 9.3075552E+001, 3.1083434E+001, 1.3087412E+000
 9.4570949E+001, 3.1070997E+001, 1.3285751E+000
 9.6040478E+001, 3.1059094E+001, 1.3618915E+000
 9.7520703E+001, 3.1047066E+001, 1.3817978E+000
 9.9018847E+001, 3.1034761E+001, 1.3424108E+000
 1.0053267E+002, 3.1021752E+001, 1.3218700E+000
 1.0200096E+002, 3.1009592E+001, 1.2920520E+000
 1.0356741E+002, 3.0997659E+001, 1.2830518E+000
 1.0501233E+002, 3.0985897E+001, 1.2808440E+000
