s,C,C,kg/m2,kW/kg
Time,"null","null","null","hrrpum"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.6000000E-002, 0.0000000E+000
 1.0000000E+000, 2.0960000E+001, 2.0000000E+001, 1.6000000E-002, 9.8540562E-021
 2.0000000E+000, 2.2080000E+001, 2.0146161E+001, 1.6000000E-002, 9.8540562E-021
 3.0000000E+000, 2.3040000E+001, 2.0566423E+001, 1.6000000E-002, 1.0417816E-020
 4.0000000E+000, 2.4000000E+001, 2.1031023E+001, 1.6000000E-002, 1.2221248E-020
 5.0000000E+000, 2.4960000E+001, 2.1653169E+001, 1.6000000E-002, 1.4572670E-020
 6.0000000E+000, 2.6080000E+001, 2.2383485E+001, 1.6000000E-002, 1.8428958E-020
 7.0000000E+000, 2.7040000E+001, 2.3218461E+001, 1.6000000E-002, 2.4246116E-020
 8.0000000E+000, 2.8000000E+001, 2.4123455E+001, 1.6000000E-002, 3.3123660E-020
 9.0000000E+000, 2.8960000E+001, 2.5054780E+001, 1.6000000E-002, 4.6359306E-020
 1.0000000E+001, 3.0080000E+001, 2.6001332E+001, 1.6000000E-002, 6.5381980E-020
 1.1000000E+001, 3.1040000E+001, 2.6987936E+001, 1.6000000E-002, 9.2526919E-020
 1.2000000E+001, 3.2000000E+001, 2.7998694E+001, 1.6000000E-002, 1.3257052E-019
 1.3000000E+001, 3.2960000E+001, 2.9002566E+001, 1.6000000E-002, 1.9115608E-019
 1.4000000E+001, 3.4080000E+001, 2.9998483E+001, 1.6000000E-002, 2.7427992E-019
 1.5000000E+001, 3.5040000E+001, 3.1019363E+001, 1.6000000E-002, 3.9149928E-019
 1.6000000E+001, 3.6000000E+001, 3.2053594E+001, 1.6000000E-002, 5.6245953E-019
 1.7000000E+001, 3.6960000E+001, 3.3072505E+001, 1.6000000E-002, 8.0990850E-019
 1.8000000E+001, 3.8080000E+001, 3.4077774E+001, 1.6000000E-002, 1.1571487E-018
 1.9000000E+001, 3.9040000E+001, 3.5105232E+001, 1.6000000E-002, 1.6415747E-018
 2.0000000E+001, 4.0000000E+001, 3.6143827E+001, 1.6000000E-002, 2.3413189E-018
 2.1000000E+001, 4.0960000E+001, 3.7164639E+001, 1.6000000E-002, 3.3441881E-018
 2.2000000E+001, 4.2080000E+001, 3.8170296E+001, 1.6000000E-002, 4.7365274E-018
 2.3000000E+001, 4.3040000E+001, 3.9198267E+001, 1.6000000E-002, 6.6591002E-018
 2.4000000E+001, 4.4000000E+001, 4.0237135E+001, 1.6000000E-002, 9.4117272E-018
 2.5000000E+001, 4.4960000E+001, 4.1257094E+001, 1.6000000E-002, 1.3320314E-017
 2.6000000E+001, 4.6080000E+001, 4.2261313E+001, 1.6000000E-002, 1.8691500E-017
 2.7000000E+001, 4.7040000E+001, 4.3288625E+001, 1.6000000E-002, 2.6035966E-017
