s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,MB,MB,MB
Time,L-H1,L-H2,M-H1,U-H1,U-H2,L-C1,L-C2,M-C1,U-C1,U-C2,L-F1,L-F2,L-F3,L-F4,L-F5,L-F6,L-F7,L-F8,L-F9,L-F10,M-F1,M-F2,M-F3,M-F4,M-F5,U-F1,U-F2,U-F3,U-F4,U-F5,U-F6,U-F7,U-F8,U-F9,U-F10,L-M1,L-M2,L-M3,L-M4,L-M5,L-M6,M-M1,M-M2,M-M3,U-M1,U-M2,U-M3,U-M4,U-M5,U-M6,L-R1,L-R2,L-R3,L-R4,L-R5,L-R6,L-R7,L-R8,L-R9,L-R10,M-R1,M-R2,M-R3,M-R4,M-R5,U-R1,U-R2,U-R3,U-R4,U-R5,U-R6,U-R7,U-R8,U-R9,U-R10,RAM_01,RAM_31,RAM_32
 0.0000000E+000, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0520980E+004, 1.0520980E+004, 1.0520980E+004
 5.0000000E+001, 1.9884318E+001, 1.9861726E+001, 1.9833418E+001, 1.9892309E+001, 1.9894839E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800001E+001, 1.9800001E+001, 1.9800002E+001, 1.9800002E+001, 1.9800001E+001, 1.9799999E+001, 1.9799999E+001, 1.9799999E+001, 1.9799998E+001, 1.9799999E+001, 1.9800001E+001, 1.9800000E+001, 1.9799996E+001, 1.9800000E+001, 1.9800001E+001, 1.9800001E+001, 1.9800001E+001, 1.9800002E+001, 1.9800002E+001, 1.9800002E+001, 1.9800002E+001, 1.9800002E+001, 1.9800002E+001, 1.9800001E+001, 1.9800002E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0543344E+004, 1.0543344E+004, 1.0543344E+004
 1.0074087E+002, 2.0297075E+001, 2.0269061E+001, 2.0181007E+001, 2.0336086E+001, 2.0352272E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800138E+001, 1.9800132E+001, 1.9800160E+001, 1.9800161E+001, 1.9800143E+001, 1.9800107E+001, 1.9800108E+001, 1.9800104E+001, 1.9800074E+001, 1.9800087E+001, 1.9800134E+001, 1.9800124E+001, 1.9800045E+001, 1.9800128E+001, 1.9800136E+001, 1.9800153E+001, 1.9800146E+001, 1.9800176E+001, 1.9800180E+001, 1.9800178E+001, 1.9800182E+001, 1.9800185E+001, 1.9800181E+001, 1.9800146E+001, 1.9800161E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0549470E+004, 1.0549470E+004, 1.0549470E+004
 1.5031880E+002, 2.1006629E+001, 2.0976822E+001, 2.0960781E+001, 2.1095480E+001, 2.1136720E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9801514E+001, 1.9801457E+001, 1.9801659E+001, 1.9801671E+001, 1.9801581E+001, 1.9801418E+001, 1.9801432E+001, 1.9801406E+001, 1.9801199E+001, 1.9801274E+001, 1.9801517E+001, 1.9801475E+001, 1.9801034E+001, 1.9801487E+001, 1.9801545E+001, 1.9801643E+001, 1.9801584E+001, 1.9801802E+001, 1.9801827E+001, 1.9801815E+001, 1.9801853E+001, 1.9801879E+001, 1.9801854E+001, 1.9801620E+001, 1.9801702E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0552951E+004, 1.0552951E+004, 1.0552951E+004
 2.0033096E+002, 2.1871967E+001, 2.1845279E+001, 2.1943786E+001, 2.2248525E+001, 2.2334819E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9807178E+001, 1.9807003E+001, 1.9807650E+001, 1.9807696E+001, 1.9807443E+001, 1.9807032E+001, 1.9807097E+001, 1.9807021E+001, 1.9806362E+001, 1.9806569E+001, 1.9807392E+001, 1.9807289E+001, 1.9805984E+001, 1.9807323E+001, 1.9807529E+001, 1.9807756E+001, 1.9807571E+001, 1.9808274E+001, 1.9808355E+001, 1.9808306E+001, 1.9808481E+001, 1.9808600E+001, 1.9808524E+001, 1.9807785E+001, 1.9808013E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0555199E+004, 1.0555199E+004, 1.0555199E+004
 2.5012915E+002, 2.2888103E+001, 2.2866268E+001, 2.3226974E+001, 2.3693391E+001, 2.3820291E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9821805E+001, 1.9821489E+001, 1.9822833E+001, 1.9822938E+001, 1.9822396E+001, 1.9821638E+001, 1.9821836E+001, 1.9821679E+001, 1.9820315E+001, 1.9820675E+001, 1.9822915E+001, 1.9822754E+001, 1.9820168E+001, 1.9822841E+001, 1.9823348E+001, 1.9823913E+001, 1.9823584E+001, 1.9825043E+001, 1.9825219E+001, 1.9825083E+001, 1.9825618E+001, 1.9825991E+001, 1.9825838E+001, 1.9824320E+001, 1.9824715E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0557031E+004, 1.0557031E+004, 1.0557031E+004
 3.0006997E+002, 2.4135837E+001, 2.4114306E+001, 2.4726228E+001, 2.5283580E+001, 2.5485481E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9850400E+001, 1.9849995E+001, 1.9852193E+001, 1.9852374E+001, 1.9851399E+001, 1.9850245E+001, 1.9850699E+001, 1.9850442E+001, 1.9848215E+001, 1.9848675E+001, 1.9854000E+001, 1.9853836E+001, 1.9849808E+001, 1.9854039E+001, 1.9855028E+001, 1.9857192E+001, 1.9856757E+001, 1.9859120E+001, 1.9859418E+001, 1.9859107E+001, 1.9860335E+001, 1.9861306E+001, 1.9861036E+001, 1.9858615E+001, 1.9859140E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0558393E+004, 1.0558393E+004, 1.0558393E+004
 3.5016331E+002, 2.6131433E+001, 2.6098947E+001, 2.6876910E+001, 2.7654555E+001, 2.7938902E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9898289E+001, 1.9897905E+001, 1.9901056E+001, 1.9901328E+001, 1.9899758E+001, 1.9898203E+001, 1.9899071E+001, 1.9898700E+001, 1.9895514E+001, 1.9895961E+001, 1.9907540E+001, 1.9907428E+001, 1.9901991E+001, 1.9907883E+001, 1.9909556E+001, 1.9915466E+001, 1.9915051E+001, 1.9918336E+001, 1.9918859E+001, 1.9918139E+001, 1.9920502E+001, 1.9922695E+001, 1.9922237E+001, 1.9918932E+001, 1.9919459E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0559088E+004, 1.0559088E+004, 1.0559088E+004
 4.0017007E+002, 2.9464494E+001, 2.9493249E+001, 3.0666440E+001, 3.1561744E+001, 3.1918347E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9971067E+001, 1.9970831E+001, 1.9975066E+001, 1.9975434E+001, 1.9973113E+001, 1.9971177E+001, 1.9972657E+001, 1.9972127E+001, 1.9967891E+001, 1.9968166E+001, 1.9990502E+001, 1.9990475E+001, 1.9983679E+001, 1.9991370E+001, 1.9993996E+001, 2.0006002E+001, 2.0005908E+001, 2.0010034E+001, 2.0011027E+001, 2.0009566E+001, 2.0013579E+001, 2.0017706E+001, 2.0017082E+001, 2.0012800E+001, 2.0013127E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.9800000E+001, 1.0559581E+004, 1.0559581E+004, 1.0559581E+004
