s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1945617E+000, 1.7956572E-005,-3.3375424E-005,-2.3231335E-005,-3.4885432E-005,-2.5331037E-005,-3.5519103E-005,-2.2812698E-005,-3.5684018E-005,-2.2323233E-005,-3.1565716E-005,-2.2408432E-005,-2.5159961E-005,-2.2671613E-005,-2.3036432E-005,-2.4332476E-005,-2.4554835E-005,-2.5003832E-005,-2.4106676E-005,-2.4360431E-005,-2.4496306E-005,-2.2830640E-005,-2.6128964E-005,-2.3828421E-005,-2.1789007E-005,-2.6182614E-005,-2.4450785E-005
 1.6004618E+002, 9.9633422E+000, 1.1945594E+000, 1.7956572E-005, 2.0497043E+002, 2.0348953E+002, 2.0208393E+002, 2.0067881E+002, 1.9928899E+002, 1.9790472E+002, 1.9654399E+002, 1.9517631E+002, 1.9383193E+002, 1.9248663E+002, 1.7944860E+002, 1.6663635E+002, 1.5384310E+002, 1.4103125E+002, 1.2819614E+002, 1.1535449E+002, 1.0252610E+002, 8.9687089E+001, 7.6834489E+001, 6.3999545E+001, 5.1189640E+001, 3.8355882E+001, 2.5521677E+001, 1.2648638E+001, 2.6080608E-002
 3.2000000E+002, 1.0000517E+001, 1.1944646E+000, 1.7957404E-005, 8.6729205E+001, 8.5982247E+001, 8.5292739E+001, 8.4633896E+001, 8.3983318E+001, 8.3352047E+001, 8.2731131E+001, 8.2116593E+001, 8.1519396E+001, 8.0917897E+001, 7.5342127E+001, 6.9977658E+001, 6.4607211E+001, 5.9215849E+001, 5.3832934E+001, 4.8466134E+001, 4.3034049E+001, 3.7644210E+001, 3.2230852E+001, 2.6824437E+001, 2.1419886E+001, 1.6014026E+001, 1.0586471E+001, 5.2269017E+000, 1.4325277E-002
