s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1945617E+000, 8.9782859E-006,-3.1980641E-005,-1.9783964E-005,-3.5010449E-005,-1.9462283E-005,-3.2484049E-005,-2.0652998E-005,-2.9796173E-005,-2.2044636E-005,-2.9446684E-005,-2.1123076E-005,-2.5429480E-005,-2.1924779E-005,-2.2144477E-005,-2.1366859E-005,-1.9715544E-005,-2.1658981E-005,-2.1500282E-005,-2.2948501E-005,-2.4873888E-005,-2.1800865E-005,-2.2499293E-005,-1.8385552E-005,-2.2042811E-005,-1.9480792E-005,-2.1549425E-005
 1.6004845E+002, 9.9647609E+000, 1.1945613E+000, 8.9782859E-006, 2.0898016E+002, 2.0756954E+002, 2.0617962E+002, 2.0480529E+002, 2.0347675E+002, 2.0213917E+002, 2.0081783E+002, 1.9946984E+002, 1.9813363E+002, 1.9680603E+002, 1.8362434E+002, 1.7046100E+002, 1.5729776E+002, 1.4416355E+002, 1.3103520E+002, 1.1793936E+002, 1.0482435E+002, 9.1720719E+001, 7.8600786E+001, 6.5442406E+001, 5.2399055E+001, 3.9272510E+001, 2.6144135E+001, 1.3014305E+001, 7.5241891E-002
 3.2000000E+002, 1.0000003E+001, 1.1945616E+000, 8.9782859E-006, 9.2076164E+001, 9.1377011E+001, 9.0702621E+001, 9.0079567E+001, 8.9466085E+001, 8.8842175E+001, 8.8257170E+001, 8.7666385E+001, 8.7086907E+001, 8.6504669E+001, 8.0702498E+001, 7.4963197E+001, 6.9189232E+001, 6.3417565E+001, 5.7661143E+001, 5.1856886E+001, 4.6068946E+001, 4.0303574E+001, 3.4544488E+001, 2.8732482E+001, 2.2941538E+001, 1.7170383E+001, 1.1372804E+001, 5.5897776E+000, 4.6669799E-002
