s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,UBAR,RHO,MU,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P200,P300,P400,P500,P600,P700,P800,P900,P1000,P1100,P1200,P1300,P1400,P1500,P1600
 0.0000000E+000, 0.0000000E+000, 1.1949073E+000, 1.7956572E-005,-4.6657933E-005,-3.2366033E-005,-5.0696482E-005,-3.5940530E-005,-4.8807819E-005,-3.3863808E-005,-4.7656482E-005,-3.4443301E-005,-4.5879634E-005,-3.3035130E-005,-3.6022656E-005,-3.3374757E-005,-3.1637355E-005,-3.0871273E-005,-3.5569895E-005,-3.3514635E-005,-3.2244069E-005,-3.6258603E-005,-3.5078847E-005,-3.5003637E-005,-3.5989401E-005,-3.4824006E-005,-3.1783788E-005,-3.4180295E-005,-3.2240689E-005
 4.0012367E+002, 3.9954916E+000, 1.1949071E+000, 1.7956572E-005, 5.9401194E+001, 5.8892673E+001, 5.8400975E+001, 5.7926917E+001, 5.7472859E+001, 5.7036982E+001, 5.6618083E+001, 5.6214595E+001, 5.5823297E+001, 5.5439673E+001, 5.1834806E+001, 4.8219550E+001, 4.4525161E+001, 4.0798867E+001, 3.7087896E+001, 3.3368683E+001, 2.9644469E+001, 2.5939489E+001, 2.2235057E+001, 1.8512364E+001, 1.4789775E+001, 1.1081016E+001, 7.3824578E+000, 3.6652569E+000, 2.5761694E-002
 8.0000000E+002, 4.0000003E+000, 1.1949073E+000, 1.7956572E-005, 4.1587425E+001, 4.1197096E+001, 4.0824509E+001, 4.0468741E+001, 4.0132989E+001, 3.9815470E+001, 3.9514691E+001, 3.9228891E+001, 3.8955968E+001, 3.8691647E+001, 3.6261864E+001, 3.3762942E+001, 3.1179503E+001, 2.8564925E+001, 2.5954879E+001, 2.3356574E+001, 2.0751065E+001, 1.8160754E+001, 1.5553597E+001, 1.2961810E+001, 1.0365359E+001, 7.7619349E+000, 5.1577883E+000, 2.5491141E+000, 2.3466023E-002
