s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1945617E+000, 1.7956572E-005,-3.1980641E-005,-1.9783964E-005,-3.5010449E-005,-1.9462283E-005,-3.2484049E-005,-2.0652998E-005,-2.9796173E-005,-2.2044636E-005,-2.9446684E-005,-2.1123076E-005,-2.5429480E-005,-2.1924779E-005,-2.2144477E-005,-2.1366859E-005,-1.9715544E-005,-2.1658981E-005,-2.1500282E-005,-2.2948501E-005,-2.4873888E-005,-2.1800865E-005,-2.2499293E-005,-1.8385552E-005,-2.2042811E-005,-1.9480792E-005,-2.1549425E-005
 1.6001330E+002, 9.9648658E+000, 1.1945619E+000, 1.7956572E-005, 4.4510890E+002, 4.4133694E+002, 4.3764294E+002, 4.3404210E+002, 4.3055228E+002, 4.2720410E+002, 4.2397304E+002, 4.2086466E+002, 4.1788282E+002, 4.1501955E+002, 3.8835196E+002, 3.6131450E+002, 3.3366793E+002, 3.0589301E+002, 2.7807201E+002, 2.5019132E+002, 2.2241230E+002, 1.9462185E+002, 1.6680257E+002, 1.3906528E+002, 1.1116835E+002, 8.3393714E+001, 5.5449990E+001, 2.7553335E+001, 2.1487195E-001
 3.2000000E+002, 9.9999966E+000, 1.1945616E+000, 1.7956572E-005, 3.3955431E+002, 3.3651040E+002, 3.3355847E+002, 3.3070198E+002, 3.2793738E+002, 3.2530827E+002, 3.2279961E+002, 3.2044294E+002, 3.1820513E+002, 3.1607720E+002, 2.9641283E+002, 2.7594114E+002, 2.5481246E+002, 2.3355722E+002, 2.1228209E+002, 1.9095816E+002, 1.6974983E+002, 1.4858373E+002, 1.2730521E+002, 1.0601823E+002, 8.4743977E+001, 6.3451347E+001, 4.2182277E+001, 2.0942241E+001, 1.9538891E-001
