m,Pa
p-x,p
 1.0000000E+000, 2.4921977E+001
 1.9987500E+000, 2.4921977E+001
 2.9975000E+000, 2.4910836E+001
 3.9962500E+000, 2.4897299E+001
 4.9950000E+000, 2.4882452E+001
 5.9937500E+000, 2.4866906E+001
 6.9925000E+000, 2.4851007E+001
 7.9912500E+000, 2.4834948E+001
 8.9900000E+000, 2.4818844E+001
 9.9887500E+000, 2.4802763E+001
 1.0987500E+001, 2.4786748E+001
 1.1986250E+001, 2.4770829E+001
 1.2985000E+001, 2.4755026E+001
 1.3983750E+001, 2.4739352E+001
 1.4982500E+001, 2.4723820E+001
 1.5981250E+001, 2.4708440E+001
 1.6980000E+001, 2.4693217E+001
 1.7978750E+001, 2.4678158E+001
 1.8977500E+001, 2.4663265E+001
 1.9976250E+001, 2.4648533E+001
 2.0975000E+001, 2.4633965E+001
 2.1973750E+001, 2.4619561E+001
 2.2972500E+001, 2.4605327E+001
 2.3971250E+001, 2.4591268E+001
 2.4970000E+001, 2.4577394E+001
 2.5968750E+001, 2.4563712E+001
 2.6967500E+001, 2.4550228E+001
 2.7966250E+001, 2.4536945E+001
 2.8965000E+001, 2.4523867E+001
 2.9963750E+001, 2.4510990E+001
 3.0962500E+001, 2.4498312E+001
 3.1961250E+001, 2.4485833E+001
 3.2960000E+001, 2.4473549E+001
 3.3958750E+001, 2.4461456E+001
 3.4957500E+001, 2.4449552E+001
 3.5956250E+001, 2.4437830E+001
 3.6955000E+001, 2.4426286E+001
 3.7953750E+001, 2.4414915E+001
 3.8952500E+001, 2.4403713E+001
 3.9951250E+001, 2.4392676E+001
 4.0950000E+001, 2.4381802E+001
 4.1948750E+001, 2.4371091E+001
 4.2947500E+001, 2.4360541E+001
 4.3946250E+001, 2.4350152E+001
 4.4945000E+001, 2.4339920E+001
 4.5943750E+001, 2.4329841E+001
 4.6942500E+001, 2.4319913E+001
 4.7941250E+001, 2.4310130E+001
 4.8940000E+001, 2.4300484E+001
 4.9938750E+001, 2.4290967E+001
 5.0937500E+001, 2.4281579E+001
 5.1936250E+001, 2.4272320E+001
 5.2935000E+001, 2.4263192E+001
 5.3933750E+001, 2.4254194E+001
 5.4932500E+001, 2.4245330E+001
 5.5931250E+001, 2.4236597E+001
 5.6930000E+001, 2.4227992E+001
 5.7928750E+001, 2.4219509E+001
 5.8927500E+001, 2.4211143E+001
 5.9926250E+001, 2.4202890E+001
 6.0925000E+001, 2.4194743E+001
 6.1923750E+001, 2.4186697E+001
 6.2922500E+001, 2.4178755E+001
 6.3921250E+001, 2.4170918E+001
 6.4920000E+001, 2.4163186E+001
 6.5918750E+001, 2.4155556E+001
 6.6917500E+001, 2.4148027E+001
 6.7916250E+001, 2.4140595E+001
 6.8915000E+001, 2.4133265E+001
 6.9913750E+001, 2.4126037E+001
 7.0912500E+001, 2.4118918E+001
 7.1911250E+001, 2.4111909E+001
 7.2910000E+001, 2.4105013E+001
 7.3908750E+001, 2.4098228E+001
 7.4907500E+001, 2.4091549E+001
 7.5906250E+001, 2.4084969E+001
 7.6905000E+001, 2.4078483E+001
 7.7903750E+001, 2.4072083E+001
 7.8902500E+001, 2.4065765E+001
 7.9901250E+001, 2.4059524E+001
 8.0900000E+001, 2.4053359E+001
 8.1898750E+001, 2.4047268E+001
 8.2897500E+001, 2.4041255E+001
 8.3896250E+001, 2.4035327E+001
 8.4895000E+001, 2.4029488E+001
 8.5893750E+001, 2.4023741E+001
 8.6892500E+001, 2.4018083E+001
 8.7891250E+001, 2.4012499E+001
 8.8890000E+001, 2.4006986E+001
 8.9888750E+001, 2.4001541E+001
 9.0887500E+001, 2.3996171E+001
 9.1886250E+001, 2.3990872E+001
 9.2885000E+001, 2.3985638E+001
 9.3883750E+001, 2.3980461E+001
 9.4882500E+001, 2.3975333E+001
 9.5881250E+001, 2.3970244E+001
 9.6880000E+001, 2.3965190E+001
 9.7878750E+001, 2.3960170E+001
 9.8877500E+001, 2.3955184E+001
 9.9876250E+001, 2.3950221E+001
 1.0087500E+002, 2.3945267E+001
 1.0187375E+002, 2.3940312E+001
 1.0287250E+002, 2.3935351E+001
 1.0387125E+002, 2.3930379E+001
 1.0487000E+002, 2.3925392E+001
 1.0586875E+002, 2.3920390E+001
 1.0686750E+002, 2.3915370E+001
 1.0786625E+002, 2.3910322E+001
 1.0886500E+002, 2.3905232E+001
 1.0986375E+002, 2.3900088E+001
 1.1086250E+002, 2.3894885E+001
 1.1186125E+002, 2.3889614E+001
 1.1286000E+002, 2.3884276E+001
 1.1385875E+002, 2.3878876E+001
 1.1485750E+002, 2.3873411E+001
 1.1585625E+002, 2.3867875E+001
 1.1685500E+002, 2.3862272E+001
 1.1785375E+002, 2.3856608E+001
 1.1885250E+002, 2.3850883E+001
 1.1985125E+002, 2.3845093E+001
 1.2085000E+002, 2.3839231E+001
 1.2184875E+002, 2.3833290E+001
 1.2284750E+002, 2.3827265E+001
 1.2384625E+002, 2.3821151E+001
 1.2484500E+002, 2.3814959E+001
 1.2584375E+002, 2.3808694E+001
 1.2684250E+002, 2.3802360E+001
 1.2784125E+002, 2.3795959E+001
 1.2884000E+002, 2.3789487E+001
 1.2983875E+002, 2.3782948E+001
 1.3083750E+002, 2.3776358E+001
 1.3183625E+002, 2.3769728E+001
 1.3283500E+002, 2.3763060E+001
