s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1945618E+000, 8.9782869E-006,-3.3375429E-005,-2.3231338E-005,-3.4885437E-005,-2.5331040E-005,-3.5519108E-005,-2.2812701E-005,-3.5684023E-005,-2.2323236E-005,-3.1565720E-005,-2.2408435E-005,-2.5159964E-005,-2.2671616E-005,-2.3036435E-005,-2.4332479E-005,-2.4554838E-005,-2.5003835E-005,-2.4106680E-005,-2.4360434E-005,-2.4496310E-005,-2.2830643E-005,-2.6128968E-005,-2.3828424E-005,-2.1789010E-005,-2.6182618E-005,-2.4450788E-005
 8.0010841E+002, 1.9986406E+000, 1.1945620E+000, 8.9782869E-006, 1.8034210E+001, 1.7849890E+001, 1.7682604E+001, 1.7533522E+001, 1.7401434E+001, 1.7283579E+001, 1.7177569E+001, 1.7080533E+001, 1.6992969E+001, 1.6911748E+001, 1.5902702E+001, 1.4808040E+001, 1.3670857E+001, 1.2528030E+001, 1.1387044E+001, 1.0246435E+001, 9.1052434E+000, 7.9634818E+000, 6.8250438E+000, 5.6860091E+000, 4.5462099E+000, 3.4061482E+000, 2.2652027E+000, 1.1232764E+000, 3.6987267E-003
 1.6000000E+003, 2.0000000E+000, 1.1945617E+000, 8.9782869E-006, 1.3726162E+001, 1.3571438E+001, 1.3433438E+001, 1.3313696E+001, 1.3211303E+001, 1.3123242E+001, 1.3047483E+001, 1.2980789E+001, 1.2923236E+001, 1.2872685E+001, 1.2158213E+001, 1.1337632E+001, 1.0465497E+001, 9.5844439E+000, 8.7098377E+000, 7.8420329E+000, 6.9669200E+000, 6.0923010E+000, 5.2204192E+000, 4.3457117E+000, 3.4741602E+000, 2.6044873E+000, 1.7313927E+000, 8.5552181E-001, 3.3677698E-003
