s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1945617E+000, 8.9782859E-006,-3.1980641E-005,-1.9783964E-005,-3.5010449E-005,-1.9462283E-005,-3.2484049E-005,-2.0652998E-005,-2.9796173E-005,-2.2044636E-005,-2.9446684E-005,-2.1123076E-005,-2.5429480E-005,-2.1924779E-005,-2.2144477E-005,-2.1366859E-005,-1.9715544E-005,-2.1658981E-005,-2.1500282E-005,-2.2948501E-005,-2.4873888E-005,-2.1800865E-005,-2.2499293E-005,-1.8385552E-005,-2.2042811E-005,-1.9480792E-005,-2.1549425E-005
 8.0023442E+002, 1.9989675E+000, 1.1945617E+000, 8.9782859E-006, 9.6655181E+000, 9.5970246E+000, 9.5328865E+000, 9.4663440E+000, 9.4052793E+000, 9.3398534E+000, 9.2787604E+000, 9.2144341E+000, 9.1540520E+000, 9.0910826E+000, 8.4751006E+000, 7.8694654E+000, 7.2668556E+000, 6.6597378E+000, 6.0542692E+000, 5.4483666E+000, 4.8426833E+000, 4.2358191E+000, 3.6297945E+000, 3.0231341E+000, 2.4185065E+000, 1.8118738E+000, 1.2046794E+000, 5.9957993E-001, 4.4768463E-003
 1.6000000E+003, 2.0000002E+000, 1.1945615E+000, 8.9782859E-006, 5.0839377E+000, 5.0421460E+000, 5.0085188E+000, 4.9708341E+000, 4.9390659E+000, 4.9043021E+000, 4.8724419E+000, 4.8371256E+000, 4.8059271E+000, 4.7701205E+000, 4.4443637E+000, 4.1240399E+000, 3.8051579E+000, 3.4866559E+000, 3.1686430E+000, 2.8495488E+000, 2.5333252E+000, 2.2155503E+000, 1.8964338E+000, 1.5793949E+000, 1.2628140E+000, 9.4531762E-001, 6.2666429E-001, 3.0782869E-001, 2.5427788E-003
