s,m3/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.421E-20,-3.595E-02, 2.500E-02, 1.165E+00
 5.013E-01, 1.892E-01, 2.148E-01, 2.500E-02, 1.165E+00
 1.001E+00, 5.209E-01, 6.440E-01, 2.500E-02, 1.165E+00
 1.500E+00, 8.088E-01, 1.058E+00, 2.500E-02, 1.165E+00
 2.002E+00, 1.065E+00, 1.445E+00, 2.500E-02, 1.165E+00
 2.501E+00, 1.294E+00, 1.799E+00, 2.500E-02, 1.165E+00
 3.001E+00, 1.499E+00, 2.119E+00, 2.500E-02, 1.165E+00
 3.500E+00, 1.684E+00, 2.408E+00, 2.500E-02, 1.165E+00
 4.001E+00, 1.850E+00, 2.668E+00, 2.500E-02, 1.165E+00
 4.501E+00, 1.999E+00, 2.903E+00, 2.500E-02, 1.165E+00
 5.000E+00, 2.133E+00, 3.113E+00, 2.500E-02, 1.165E+00
 5.502E+00, 2.254E+00, 3.303E+00, 2.500E-02, 1.165E+00
 6.001E+00, 2.363E+00, 3.474E+00, 2.500E-02, 1.165E+00
 6.501E+00, 2.460E+00, 3.627E+00, 2.500E-02, 1.165E+00
 7.000E+00, 2.548E+00, 3.765E+00, 2.500E-02, 1.165E+00
 7.501E+00, 2.627E+00, 3.889E+00, 2.500E-02, 1.165E+00
 8.001E+00, 2.699E+00, 4.001E+00, 2.500E-02, 1.165E+00
 8.500E+00, 2.762E+00, 4.101E+00, 2.500E-02, 1.165E+00
 9.002E+00, 2.820E+00, 4.191E+00, 2.500E-02, 1.165E+00
 9.501E+00, 2.872E+00, 4.273E+00, 2.500E-02, 1.165E+00
 1.000E+01, 2.918E+00, 4.346E+00, 2.500E-02, 1.165E+00
 1.050E+01, 2.960E+00, 4.411E+00, 2.500E-02, 1.165E+00
 1.100E+01, 2.998E+00, 4.471E+00, 2.500E-02, 1.165E+00
 1.150E+01, 3.032E+00, 4.524E+00, 2.500E-02, 1.165E+00
 1.200E+01, 3.062E+00, 4.572E+00, 2.500E-02, 1.165E+00
 1.250E+01, 3.090E+00, 4.615E+00, 2.500E-02, 1.165E+00
 1.300E+01, 3.114E+00, 4.654E+00, 2.500E-02, 1.165E+00
 1.350E+01, 3.136E+00, 4.688E+00, 2.500E-02, 1.165E+00
 1.400E+01, 3.156E+00, 4.720E+00, 2.500E-02, 1.165E+00
 1.450E+01, 3.174E+00, 4.748E+00, 2.500E-02, 1.165E+00
 1.500E+01, 3.190E+00, 4.773E+00, 2.500E-02, 1.165E+00
 1.550E+01, 3.205E+00, 4.796E+00, 2.500E-02, 1.165E+00
 1.600E+01, 3.218E+00, 4.816E+00, 2.500E-02, 1.165E+00
 1.650E+01, 3.230E+00, 4.835E+00, 2.500E-02, 1.165E+00
 1.700E+01, 3.240E+00, 4.852E+00, 2.500E-02, 1.165E+00
 1.750E+01, 3.250E+00, 4.866E+00, 2.500E-02, 1.165E+00
 1.800E+01, 3.258E+00, 4.880E+00, 2.500E-02, 1.165E+00
 1.850E+01, 3.266E+00, 4.892E+00, 2.500E-02, 1.165E+00
 1.900E+01, 3.273E+00, 4.903E+00, 2.500E-02, 1.165E+00
 1.950E+01, 3.279E+00, 4.913E+00, 2.500E-02, 1.165E+00
 2.000E+01, 3.285E+00, 4.921E+00, 2.500E-02, 1.165E+00
 2.050E+01, 3.290E+00, 4.929E+00, 2.500E-02, 1.165E+00
 2.100E+01, 3.294E+00, 4.936E+00, 2.500E-02, 1.165E+00
 2.150E+01, 3.299E+00, 4.943E+00, 2.500E-02, 1.165E+00
 2.200E+01, 3.302E+00, 4.949E+00, 2.500E-02, 1.165E+00
 2.250E+01, 3.305E+00, 4.954E+00, 2.500E-02, 1.165E+00
 2.300E+01, 3.308E+00, 4.958E+00, 2.500E-02, 1.165E+00
 2.350E+01, 3.311E+00, 4.963E+00, 2.500E-02, 1.165E+00
 2.400E+01, 3.313E+00, 4.966E+00, 2.500E-02, 1.165E+00
 2.450E+01, 3.316E+00, 4.970E+00, 2.500E-02, 1.165E+00
 2.500E+01, 3.318E+00, 4.973E+00, 2.500E-02, 1.165E+00
 2.550E+01, 3.319E+00, 4.975E+00, 2.500E-02, 1.165E+00
 2.600E+01, 3.321E+00, 4.978E+00, 2.500E-02, 1.165E+00
 2.650E+01, 3.322E+00, 4.980E+00, 2.500E-02, 1.165E+00
 2.700E+01, 3.324E+00, 4.982E+00, 2.500E-02, 1.165E+00
 2.750E+01, 3.325E+00, 4.984E+00, 2.500E-02, 1.165E+00
 2.800E+01, 3.326E+00, 4.986E+00, 2.500E-02, 1.165E+00
 2.850E+01, 3.327E+00, 4.987E+00, 2.500E-02, 1.165E+00
 2.900E+01, 3.328E+00, 4.988E+00, 2.500E-02, 1.165E+00
 2.950E+01, 3.328E+00, 4.989E+00, 2.500E-02, 1.165E+00
 3.000E+01, 3.329E+00, 4.991E+00, 2.500E-02, 1.165E+00
 3.050E+01, 3.330E+00, 4.991E+00, 2.500E-02, 1.165E+00
 3.100E+01, 3.330E+00, 4.992E+00, 2.500E-02, 1.165E+00
 3.150E+01, 3.331E+00, 4.993E+00, 2.500E-02, 1.165E+00
 3.200E+01, 3.331E+00, 4.994E+00, 2.500E-02, 1.165E+00
 3.250E+01, 3.331E+00, 4.994E+00, 2.500E-02, 1.165E+00
 3.300E+01, 3.332E+00, 4.995E+00, 2.500E-02, 1.165E+00
 3.350E+01, 3.332E+00, 4.995E+00, 2.500E-02, 1.165E+00
 3.400E+01, 3.332E+00, 4.996E+00, 2.500E-02, 1.165E+00
 3.450E+01, 3.333E+00, 4.996E+00, 2.500E-02, 1.165E+00
 3.500E+01, 3.333E+00, 4.997E+00, 2.500E-02, 1.165E+00
