s,m3/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.421E-20,-3.595E-02, 1.250E-02, 1.165E+00
 1.003E+00, 3.785E-01, 4.308E-01, 1.250E-02, 1.165E+00
 2.002E+00, 1.042E+00, 1.288E+00, 1.250E-02, 1.165E+00
 3.001E+00, 1.618E+00, 2.116E+00, 1.250E-02, 1.165E+00
 4.003E+00, 2.130E+00, 2.890E+00, 1.250E-02, 1.165E+00
 5.002E+00, 2.588E+00, 3.598E+00, 1.250E-02, 1.165E+00
 6.001E+00, 2.998E+00, 4.238E+00, 1.250E-02, 1.165E+00
 7.000E+00, 3.367E+00, 4.815E+00, 1.250E-02, 1.165E+00
 8.003E+00, 3.699E+00, 5.336E+00, 1.250E-02, 1.165E+00
 9.002E+00, 3.998E+00, 5.805E+00, 1.250E-02, 1.165E+00
 1.000E+01, 4.266E+00, 6.226E+00, 1.250E-02, 1.165E+00
 1.100E+01, 4.508E+00, 6.606E+00, 1.250E-02, 1.165E+00
 1.200E+01, 4.726E+00, 6.947E+00, 1.250E-02, 1.165E+00
 1.300E+01, 4.921E+00, 7.254E+00, 1.250E-02, 1.165E+00
 1.400E+01, 5.096E+00, 7.529E+00, 1.250E-02, 1.165E+00
 1.500E+01, 5.255E+00, 7.778E+00, 1.250E-02, 1.165E+00
 1.600E+01, 5.397E+00, 8.001E+00, 1.250E-02, 1.165E+00
 1.700E+01, 5.525E+00, 8.202E+00, 1.250E-02, 1.165E+00
 1.800E+01, 5.640E+00, 8.383E+00, 1.250E-02, 1.165E+00
 1.900E+01, 5.744E+00, 8.545E+00, 1.250E-02, 1.165E+00
 2.000E+01, 5.837E+00, 8.692E+00, 1.250E-02, 1.165E+00
 2.100E+01, 5.920E+00, 8.823E+00, 1.250E-02, 1.165E+00
 2.200E+01, 5.996E+00, 8.941E+00, 1.250E-02, 1.165E+00
 2.300E+01, 6.063E+00, 9.048E+00, 1.250E-02, 1.165E+00
 2.400E+01, 6.124E+00, 9.143E+00, 1.250E-02, 1.165E+00
 2.500E+01, 6.179E+00, 9.230E+00, 1.250E-02, 1.165E+00
 2.600E+01, 6.229E+00, 9.307E+00, 1.250E-02, 1.165E+00
 2.700E+01, 6.273E+00, 9.377E+00, 1.250E-02, 1.165E+00
 2.800E+01, 6.313E+00, 9.439E+00, 1.250E-02, 1.165E+00
 2.900E+01, 6.349E+00, 9.496E+00, 1.250E-02, 1.165E+00
 3.000E+01, 6.381E+00, 9.546E+00, 1.250E-02, 1.165E+00
 3.100E+01, 6.410E+00, 9.592E+00, 1.250E-02, 1.165E+00
 3.200E+01, 6.436E+00, 9.633E+00, 1.250E-02, 1.165E+00
 3.300E+01, 6.460E+00, 9.670E+00, 1.250E-02, 1.165E+00
 3.400E+01, 6.481E+00, 9.703E+00, 1.250E-02, 1.165E+00
 3.500E+01, 6.500E+00, 9.733E+00, 1.250E-02, 1.165E+00
 3.600E+01, 6.517E+00, 9.760E+00, 1.250E-02, 1.165E+00
 3.700E+01, 6.532E+00, 9.784E+00, 1.250E-02, 1.165E+00
 3.800E+01, 6.546E+00, 9.806E+00, 1.250E-02, 1.165E+00
 3.900E+01, 6.559E+00, 9.825E+00, 1.250E-02, 1.165E+00
 4.000E+01, 6.570E+00, 9.843E+00, 1.250E-02, 1.165E+00
 4.100E+01, 6.580E+00, 9.858E+00, 1.250E-02, 1.165E+00
 4.200E+01, 6.589E+00, 9.873E+00, 1.250E-02, 1.165E+00
 4.300E+01, 6.597E+00, 9.885E+00, 1.250E-02, 1.165E+00
 4.400E+01, 6.604E+00, 9.897E+00, 1.250E-02, 1.165E+00
 4.500E+01, 6.611E+00, 9.907E+00, 1.250E-02, 1.165E+00
 4.600E+01, 6.617E+00, 9.917E+00, 1.250E-02, 1.165E+00
 4.700E+01, 6.622E+00, 9.925E+00, 1.250E-02, 1.165E+00
 4.800E+01, 6.627E+00, 9.933E+00, 1.250E-02, 1.165E+00
 4.900E+01, 6.631E+00, 9.939E+00, 1.250E-02, 1.165E+00
 5.000E+01, 6.635E+00, 9.945E+00, 1.250E-02, 1.165E+00
 5.100E+01, 6.639E+00, 9.951E+00, 1.250E-02, 1.165E+00
 5.200E+01, 6.642E+00, 9.956E+00, 1.250E-02, 1.165E+00
 5.300E+01, 6.645E+00, 9.960E+00, 1.250E-02, 1.165E+00
 5.400E+01, 6.647E+00, 9.964E+00, 1.250E-02, 1.165E+00
 5.500E+01, 6.649E+00, 9.968E+00, 1.250E-02, 1.165E+00
 5.600E+01, 6.652E+00, 9.971E+00, 1.250E-02, 1.165E+00
 5.700E+01, 6.653E+00, 9.974E+00, 1.250E-02, 1.165E+00
 5.800E+01, 6.655E+00, 9.977E+00, 1.250E-02, 1.165E+00
 5.900E+01, 6.657E+00, 9.979E+00, 1.250E-02, 1.165E+00
 6.000E+01, 6.658E+00, 9.981E+00, 1.250E-02, 1.165E+00
 6.100E+01, 6.659E+00, 9.983E+00, 1.250E-02, 1.165E+00
 6.200E+01, 6.660E+00, 9.985E+00, 1.250E-02, 1.165E+00
 6.300E+01, 6.661E+00, 9.986E+00, 1.250E-02, 1.165E+00
 6.400E+01, 6.662E+00, 9.988E+00, 1.250E-02, 1.165E+00
 6.500E+01, 6.663E+00, 9.989E+00, 1.250E-02, 1.165E+00
 6.600E+01, 6.664E+00, 9.990E+00, 1.250E-02, 1.165E+00
 6.700E+01, 6.664E+00, 9.991E+00, 1.250E-02, 1.165E+00
 6.800E+01, 6.665E+00, 9.992E+00, 1.250E-02, 1.165E+00
 6.900E+01, 6.665E+00, 9.993E+00, 1.250E-02, 1.165E+00
 7.000E+01, 6.666E+00, 9.993E+00, 1.250E-02, 1.165E+00
 7.100E+01, 6.666E+00, 9.994E+00, 1.250E-02, 1.165E+00
 7.200E+01, 6.667E+00, 9.995E+00, 1.250E-02, 1.165E+00
 7.300E+01, 6.667E+00, 9.995E+00, 1.250E-02, 1.165E+00
 7.400E+01, 6.667E+00, 9.996E+00, 1.250E-02, 1.165E+00
 7.500E+01, 6.667E+00, 9.996E+00, 1.250E-02, 1.165E+00
 7.600E+01, 6.668E+00, 9.997E+00, 1.250E-02, 1.165E+00
 7.700E+01, 6.668E+00, 9.997E+00, 1.250E-02, 1.165E+00
 7.800E+01, 6.668E+00, 9.997E+00, 1.250E-02, 1.165E+00
 7.900E+01, 6.668E+00, 9.997E+00, 1.250E-02, 1.165E+00
 8.000E+01, 6.668E+00, 9.998E+00, 1.250E-02, 1.165E+00
 8.100E+01, 6.669E+00, 9.998E+00, 1.250E-02, 1.165E+00
 8.200E+01, 6.669E+00, 9.998E+00, 1.250E-02, 1.165E+00
 8.300E+01, 6.669E+00, 9.998E+00, 1.250E-02, 1.165E+00
 8.400E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 8.500E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 8.600E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 8.700E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 8.800E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 8.900E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.000E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.100E+01, 6.669E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.200E+01, 6.670E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.300E+01, 6.670E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.400E+01, 6.670E+00, 9.999E+00, 1.250E-02, 1.165E+00
 9.500E+01, 6.670E+00, 1.000E+01, 1.250E-02, 1.165E+00
 9.600E+01, 6.670E+00, 1.000E+01, 1.250E-02, 1.165E+00
 9.700E+01, 6.670E+00, 1.000E+01, 1.250E-02, 1.165E+00
 9.800E+01, 6.670E+00, 1.000E+01, 1.250E-02, 1.165E+00
 9.900E+01, 6.670E+00, 1.000E+01, 1.250E-02, 1.165E+00
