s,m3/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 3.950E+02, 9.140E-01, 1.087E+00, 6.992E-04, 1.195E+00
 4.000E+02, 9.140E-01, 1.063E+00, 5.381E-04, 1.195E+00
 4.050E+02, 9.139E-01, 1.059E+00, 6.227E-04, 1.195E+00
 4.100E+02, 9.140E-01, 1.065E+00, 5.320E-04, 1.195E+00
 4.150E+02, 9.143E-01, 1.100E+00, 6.566E-04, 1.195E+00
 4.200E+02, 9.145E-01, 1.101E+00, 5.971E-04, 1.195E+00
 4.250E+02, 9.149E-01, 1.083E+00, 6.549E-04, 1.195E+00
 4.300E+02, 9.152E-01, 1.119E+00, 6.277E-04, 1.195E+00
 4.350E+02, 9.151E-01, 1.110E+00, 5.529E-04, 1.195E+00
 4.400E+02, 9.150E-01, 1.122E+00, 6.603E-04, 1.195E+00
 4.450E+02, 9.151E-01, 1.103E+00, 7.092E-04, 1.195E+00
 4.500E+02, 9.150E-01, 1.057E+00, 5.696E-04, 1.195E+00
 4.550E+02, 9.148E-01, 1.103E+00, 5.171E-04, 1.195E+00
 4.600E+02, 9.151E-01, 1.130E+00, 8.113E-04, 1.195E+00
 4.650E+02, 9.156E-01, 1.135E+00, 5.990E-04, 1.195E+00
 4.700E+02, 9.161E-01, 1.118E+00, 5.522E-04, 1.195E+00
 4.750E+02, 9.165E-01, 1.119E+00, 5.907E-04, 1.195E+00
 4.800E+02, 9.170E-01, 1.111E+00, 5.690E-04, 1.195E+00
 4.850E+02, 9.172E-01, 1.130E+00, 5.630E-04, 1.195E+00
 4.900E+02, 9.169E-01, 1.096E+00, 6.578E-04, 1.195E+00
 4.950E+02, 9.168E-01, 1.121E+00, 5.614E-04, 1.195E+00
 5.000E+02, 9.171E-01, 1.119E+00, 7.370E-04, 1.195E+00
