s,m3/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00, 4.066E-20,-2.050E-03, 5.530E-05, 1.195E+00
 2.017E-01, 8.678E+00, 8.721E+00, 9.086E-05, 1.195E+00
 4.008E-01, 2.482E+01, 2.529E+01, 3.426E-03, 1.195E+00
 6.001E-01, 4.022E+01, 4.184E+01, 2.069E-02, 1.195E+00
 8.000E-01, 5.457E+01, 5.951E+01, 3.398E-02, 1.195E+00
 1.000E+00, 6.763E+01, 7.598E+01, 4.034E-02, 1.195E+00
 1.200E+00, 7.927E+01, 9.036E+01, 5.428E-02, 1.195E+00
 1.400E+00, 8.946E+01, 1.026E+02, 5.423E-02, 1.195E+00
 1.600E+00, 9.819E+01, 1.072E+02, 6.119E-02, 1.195E+00
 1.800E+00, 1.056E+02, 1.165E+02, 5.453E-02, 1.195E+00
 2.000E+00, 1.118E+02, 1.257E+02, 6.662E-02, 1.195E+00
 2.200E+00, 1.171E+02, 1.325E+02, 7.350E-02, 1.195E+00
 2.400E+00, 1.214E+02, 1.357E+02, 7.455E-02, 1.195E+00
 2.600E+00, 1.249E+02, 1.412E+02, 7.252E-02, 1.195E+00
 2.800E+00, 1.277E+02, 1.442E+02, 8.598E-02, 1.195E+00
 3.000E+00, 1.299E+02, 1.479E+02, 8.072E-02, 1.195E+00
 3.200E+00, 1.317E+02, 1.470E+02, 7.842E-02, 1.195E+00
 3.400E+00, 1.331E+02, 1.474E+02, 8.967E-02, 1.195E+00
 3.600E+00, 1.343E+02, 1.515E+02, 8.674E-02, 1.195E+00
 3.800E+00, 1.354E+02, 1.527E+02, 8.558E-02, 1.195E+00
 4.000E+00, 1.362E+02, 1.503E+02, 8.633E-02, 1.195E+00
 4.200E+00, 1.369E+02, 1.531E+02, 8.757E-02, 1.195E+00
 4.400E+00, 1.375E+02, 1.541E+02, 7.777E-02, 1.195E+00
 4.600E+00, 1.380E+02, 1.564E+02, 9.113E-02, 1.195E+00
 4.800E+00, 1.383E+02, 1.585E+02, 8.304E-02, 1.195E+00
 5.000E+00, 1.386E+02, 1.553E+02, 8.668E-02, 1.195E+00
 5.200E+00, 1.389E+02, 1.562E+02, 8.169E-02, 1.195E+00
 5.400E+00, 1.393E+02, 1.576E+02, 8.424E-02, 1.195E+00
 5.600E+00, 1.394E+02, 1.587E+02, 9.114E-02, 1.195E+00
 5.800E+00, 1.395E+02, 1.561E+02, 8.811E-02, 1.195E+00
 6.000E+00, 1.396E+02, 1.579E+02, 7.773E-02, 1.195E+00
 6.200E+00, 1.398E+02, 1.615E+02, 8.507E-02, 1.195E+00
 6.400E+00, 1.400E+02, 1.591E+02, 9.202E-02, 1.195E+00
 6.600E+00, 1.401E+02, 1.586E+02, 8.530E-02, 1.195E+00
 6.800E+00, 1.402E+02, 1.611E+02, 8.408E-02, 1.195E+00
 7.000E+00, 1.402E+02, 1.585E+02, 9.462E-02, 1.195E+00
 7.200E+00, 1.403E+02, 1.554E+02, 8.738E-02, 1.195E+00
 7.400E+00, 1.404E+02, 1.569E+02, 7.738E-02, 1.195E+00
 7.600E+00, 1.404E+02, 1.586E+02, 8.842E-02, 1.195E+00
 7.800E+00, 1.405E+02, 1.570E+02, 7.606E-02, 1.195E+00
 8.000E+00, 1.404E+02, 1.584E+02, 8.353E-02, 1.195E+00
 8.200E+00, 1.404E+02, 1.594E+02, 8.568E-02, 1.195E+00
 8.400E+00, 1.405E+02, 1.591E+02, 8.574E-02, 1.195E+00
 8.600E+00, 1.406E+02, 1.585E+02, 9.282E-02, 1.195E+00
 8.800E+00, 1.406E+02, 1.602E+02, 8.565E-02, 1.195E+00
 9.000E+00, 1.406E+02, 1.569E+02, 7.984E-02, 1.195E+00
 9.200E+00, 1.405E+02, 1.577E+02, 8.756E-02, 1.195E+00
 9.400E+00, 1.405E+02, 1.586E+02, 8.339E-02, 1.195E+00
 9.600E+00, 1.405E+02, 1.576E+02, 8.860E-02, 1.195E+00
 9.800E+00, 1.404E+02, 1.566E+02, 8.472E-02, 1.195E+00
 1.000E+01, 1.404E+02, 1.586E+02, 7.824E-02, 1.195E+00
 1.020E+01, 1.405E+02, 1.569E+02, 9.865E-02, 1.195E+00
 1.040E+01, 1.404E+02, 1.574E+02, 8.009E-02, 1.195E+00
 1.060E+01, 1.405E+02, 1.604E+02, 8.738E-02, 1.195E+00
 1.080E+01, 1.404E+02, 1.576E+02, 9.400E-02, 1.195E+00
 1.100E+01, 1.404E+02, 1.579E+02, 8.020E-02, 1.195E+00
 1.120E+01, 1.405E+02, 1.587E+02, 8.137E-02, 1.195E+00
 1.140E+01, 1.404E+02, 1.591E+02, 8.381E-02, 1.195E+00
 1.160E+01, 1.404E+02, 1.590E+02, 9.447E-02, 1.195E+00
 1.180E+01, 1.404E+02, 1.596E+02, 8.656E-02, 1.195E+00
 1.200E+01, 1.404E+02, 1.578E+02, 7.868E-02, 1.195E+00
 1.220E+01, 1.404E+02, 1.579E+02, 7.557E-02, 1.195E+00
 1.240E+01, 1.404E+02, 1.583E+02, 8.373E-02, 1.195E+00
 1.260E+01, 1.404E+02, 1.574E+02, 8.599E-02, 1.195E+00
 1.280E+01, 1.403E+02, 1.567E+02, 7.971E-02, 1.195E+00
 1.300E+01, 1.403E+02, 1.553E+02, 7.445E-02, 1.195E+00
 1.320E+01, 1.403E+02, 1.591E+02, 7.931E-02, 1.195E+00
 1.340E+01, 1.403E+02, 1.559E+02, 8.269E-02, 1.195E+00
 1.360E+01, 1.403E+02, 1.595E+02, 7.474E-02, 1.195E+00
 1.380E+01, 1.402E+02, 1.570E+02, 7.971E-02, 1.195E+00
 1.400E+01, 1.402E+02, 1.603E+02, 8.257E-02, 1.195E+00
 1.420E+01, 1.403E+02, 1.607E+02, 9.078E-02, 1.195E+00
 1.440E+01, 1.404E+02, 1.603E+02, 8.182E-02, 1.195E+00
 1.460E+01, 1.404E+02, 1.570E+02, 8.133E-02, 1.195E+00
 1.480E+01, 1.404E+02, 1.609E+02, 8.332E-02, 1.195E+00
 1.500E+01, 1.403E+02, 1.577E+02, 8.969E-02, 1.195E+00
