s,m3/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00, 2.541E-21, 1.016E-03, 2.966E-05, 1.195E+00
 1.004E+00, 4.380E-01, 4.389E-01, 3.462E-05, 1.195E+00
 2.008E+00, 1.255E+00, 1.269E+00, 9.509E-05, 1.195E+00
 3.002E+00, 2.054E+00, 2.100E+00, 3.273E-04, 1.195E+00
 4.000E+00, 2.829E+00, 2.954E+00, 7.263E-04, 1.195E+00
 5.000E+00, 3.577E+00, 3.863E+00, 9.085E-04, 1.195E+00
 6.001E+00, 4.290E+00, 4.617E+00, 1.245E-03, 1.195E+00
 7.001E+00, 4.968E+00, 5.345E+00, 1.372E-03, 1.195E+00
 8.001E+00, 5.606E+00, 6.425E+00, 1.643E-03, 1.195E+00
 9.001E+00, 6.204E+00, 7.037E+00, 1.558E-03, 1.195E+00
 1.000E+01, 6.764E+00, 7.900E+00, 1.927E-03, 1.195E+00
 1.100E+01, 7.283E+00, 8.525E+00, 2.074E-03, 1.195E+00
 1.200E+01, 7.760E+00, 9.575E+00, 2.243E-03, 1.195E+00
 1.300E+01, 8.199E+00, 1.020E+01, 2.788E-03, 1.195E+00
 1.400E+01, 8.600E+00, 1.092E+01, 3.125E-03, 1.195E+00
 1.500E+01, 8.964E+00, 1.128E+01, 3.189E-03, 1.195E+00
 1.600E+01, 9.292E+00, 1.178E+01, 3.082E-03, 1.195E+00
 1.700E+01, 9.589E+00, 1.203E+01, 3.312E-03, 1.195E+00
 1.800E+01, 9.857E+00, 1.201E+01, 3.092E-03, 1.195E+00
 1.900E+01, 1.010E+01, 1.267E+01, 3.544E-03, 1.195E+00
 2.000E+01, 1.031E+01, 1.277E+01, 3.485E-03, 1.195E+00
 2.100E+01, 1.049E+01, 1.268E+01, 3.337E-03, 1.195E+00
 2.200E+01, 1.066E+01, 1.313E+01, 3.423E-03, 1.195E+00
 2.300E+01, 1.081E+01, 1.363E+01, 4.009E-03, 1.195E+00
 2.400E+01, 1.094E+01, 1.339E+01, 3.211E-03, 1.195E+00
 2.500E+01, 1.106E+01, 1.364E+01, 2.851E-03, 1.195E+00
 2.600E+01, 1.117E+01, 1.387E+01, 3.591E-03, 1.195E+00
 2.700E+01, 1.126E+01, 1.381E+01, 3.410E-03, 1.195E+00
 2.800E+01, 1.134E+01, 1.378E+01, 3.564E-03, 1.195E+00
 2.900E+01, 1.141E+01, 1.403E+01, 3.586E-03, 1.195E+00
 3.000E+01, 1.148E+01, 1.416E+01, 3.721E-03, 1.195E+00
 3.100E+01, 1.154E+01, 1.431E+01, 4.023E-03, 1.195E+00
 3.200E+01, 1.159E+01, 1.444E+01, 3.868E-03, 1.195E+00
 3.300E+01, 1.164E+01, 1.459E+01, 3.499E-03, 1.195E+00
 3.400E+01, 1.168E+01, 1.448E+01, 4.067E-03, 1.195E+00
 3.500E+01, 1.171E+01, 1.464E+01, 3.686E-03, 1.195E+00
 3.600E+01, 1.174E+01, 1.448E+01, 3.655E-03, 1.195E+00
 3.700E+01, 1.177E+01, 1.462E+01, 4.240E-03, 1.195E+00
 3.800E+01, 1.179E+01, 1.461E+01, 4.235E-03, 1.195E+00
 3.900E+01, 1.182E+01, 1.448E+01, 3.763E-03, 1.195E+00
 4.000E+01, 1.184E+01, 1.489E+01, 3.577E-03, 1.195E+00
 4.100E+01, 1.186E+01, 1.478E+01, 3.981E-03, 1.195E+00
 4.200E+01, 1.187E+01, 1.487E+01, 3.633E-03, 1.195E+00
 4.300E+01, 1.189E+01, 1.476E+01, 3.940E-03, 1.195E+00
 4.400E+01, 1.189E+01, 1.468E+01, 3.291E-03, 1.195E+00
 4.500E+01, 1.190E+01, 1.480E+01, 3.534E-03, 1.195E+00
 4.600E+01, 1.191E+01, 1.464E+01, 3.322E-03, 1.195E+00
 4.700E+01, 1.191E+01, 1.481E+01, 3.539E-03, 1.195E+00
 4.800E+01, 1.191E+01, 1.465E+01, 3.933E-03, 1.195E+00
 4.900E+01, 1.192E+01, 1.499E+01, 4.029E-03, 1.195E+00
 5.000E+01, 1.193E+01, 1.487E+01, 3.988E-03, 1.195E+00
 5.100E+01, 1.193E+01, 1.463E+01, 3.245E-03, 1.195E+00
 5.200E+01, 1.194E+01, 1.478E+01, 3.521E-03, 1.195E+00
 5.300E+01, 1.194E+01, 1.496E+01, 3.827E-03, 1.195E+00
 5.400E+01, 1.194E+01, 1.473E+01, 3.622E-03, 1.195E+00
 5.500E+01, 1.194E+01, 1.477E+01, 3.666E-03, 1.195E+00
 5.600E+01, 1.195E+01, 1.504E+01, 4.087E-03, 1.195E+00
 5.700E+01, 1.195E+01, 1.481E+01, 3.535E-03, 1.195E+00
 5.800E+01, 1.195E+01, 1.479E+01, 3.491E-03, 1.195E+00
 5.900E+01, 1.195E+01, 1.484E+01, 3.804E-03, 1.195E+00
 6.000E+01, 1.194E+01, 1.495E+01, 3.511E-03, 1.195E+00
 6.100E+01, 1.194E+01, 1.482E+01, 3.562E-03, 1.195E+00
 6.200E+01, 1.194E+01, 1.477E+01, 3.350E-03, 1.195E+00
 6.300E+01, 1.194E+01, 1.474E+01, 3.921E-03, 1.195E+00
 6.400E+01, 1.195E+01, 1.486E+01, 3.769E-03, 1.195E+00
 6.500E+01, 1.195E+01, 1.481E+01, 4.032E-03, 1.195E+00
 6.600E+01, 1.196E+01, 1.486E+01, 3.882E-03, 1.195E+00
 6.700E+01, 1.196E+01, 1.493E+01, 3.890E-03, 1.195E+00
 6.800E+01, 1.196E+01, 1.486E+01, 3.727E-03, 1.195E+00
 6.900E+01, 1.196E+01, 1.477E+01, 3.385E-03, 1.195E+00
 7.000E+01, 1.196E+01, 1.476E+01, 3.501E-03, 1.195E+00
 7.100E+01, 1.196E+01, 1.455E+01, 3.786E-03, 1.195E+00
 7.200E+01, 1.197E+01, 1.467E+01, 3.206E-03, 1.195E+00
