m,Pa
p-x,p
 1.5980125E+002, 2.1995032E+001
 1.6080000E+002, 2.1981023E+001
 1.6179875E+002, 2.1981023E+001
 1.6279750E+002, 2.1967131E+001
 1.6379625E+002, 2.1967131E+001
 1.6479500E+002, 2.1953397E+001
 1.6579375E+002, 2.1953397E+001
 1.6679250E+002, 2.1939856E+001
 1.6779125E+002, 2.1939856E+001
 1.6879000E+002, 2.1926497E+001
 1.6978875E+002, 2.1926497E+001
 1.7078750E+002, 2.1913263E+001
 1.7178625E+002, 2.1913263E+001
 1.7278500E+002, 2.1900126E+001
 1.7378375E+002, 2.1900126E+001
 1.7478250E+002, 2.1887033E+001
 1.7578125E+002, 2.1887033E+001
 1.7678000E+002, 2.1874043E+001
 1.7777875E+002, 2.1874043E+001
 1.7877750E+002, 2.1861137E+001
 1.7977625E+002, 2.1861137E+001
 1.8077500E+002, 2.1848306E+001
 1.8177375E+002, 2.1848306E+001
 1.8277250E+002, 2.1835409E+001
 1.8377125E+002, 2.1835409E+001
 1.8477000E+002, 2.1822509E+001
 1.8576875E+002, 2.1822509E+001
 1.8676750E+002, 2.1809635E+001
 1.8776625E+002, 2.1809635E+001
 1.8876500E+002, 2.1796879E+001
 1.8976375E+002, 2.1796879E+001
 1.9076250E+002, 2.1784128E+001
 1.9176125E+002, 2.1784128E+001
 1.9276000E+002, 2.1771379E+001
 1.9375875E+002, 2.1771379E+001
 1.9475750E+002, 2.1758518E+001
 1.9575625E+002, 2.1758518E+001
 1.9675500E+002, 2.1745599E+001
 1.9775375E+002, 2.1745599E+001
 1.9875250E+002, 2.1732573E+001
 1.9975125E+002, 2.1732573E+001
 2.0075000E+002, 2.1719615E+001
 2.0174875E+002, 2.1719615E+001
 2.0274750E+002, 2.1706625E+001
 2.0374625E+002, 2.1706625E+001
 2.0474500E+002, 2.1693581E+001
 2.0574375E+002, 2.1693581E+001
 2.0674250E+002, 2.1680398E+001
 2.0774125E+002, 2.1680398E+001
 2.0874000E+002, 2.1667236E+001
 2.0973875E+002, 2.1667236E+001
 2.1073750E+002, 2.1654064E+001
 2.1173625E+002, 2.1654064E+001
 2.1273500E+002, 2.1640903E+001
 2.1373375E+002, 2.1640903E+001
 2.1473250E+002, 2.1627614E+001
 2.1573125E+002, 2.1627614E+001
 2.1673000E+002, 2.1614421E+001
 2.1772875E+002, 2.1614421E+001
 2.1872750E+002, 2.1601460E+001
 2.1972625E+002, 2.1601460E+001
 2.2072500E+002, 2.1588803E+001
 2.2172375E+002, 2.1588803E+001
 2.2272250E+002, 2.1576158E+001
 2.2372125E+002, 2.1576158E+001
 2.2472000E+002, 2.1563385E+001
 2.2571875E+002, 2.1563385E+001
 2.2671750E+002, 2.1550464E+001
 2.2771625E+002, 2.1550464E+001
 2.2871500E+002, 2.1537501E+001
 2.2971375E+002, 2.1537501E+001
 2.3071250E+002, 2.1524385E+001
