s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 7.900E+01, 9.470E+00, 1.066E+01, 1.553E-02, 1.195E+00
 8.001E+01, 9.463E+00, 1.040E+01, 1.402E-02, 1.195E+00
 8.100E+01, 9.452E+00, 1.047E+01, 1.167E-02, 1.195E+00
 8.201E+01, 9.441E+00, 1.014E+01, 9.324E-03, 1.195E+00
 8.300E+01, 9.432E+00, 1.045E+01, 1.293E-02, 1.195E+00
 8.400E+01, 9.433E+00, 1.046E+01, 1.464E-02, 1.195E+00
 8.501E+01, 9.441E+00, 1.046E+01, 9.665E-03, 1.195E+00
 8.600E+01, 9.452E+00, 1.043E+01, 8.327E-03, 1.195E+00
 8.701E+01, 9.456E+00, 1.048E+01, 1.266E-02, 1.195E+00
 8.800E+01, 9.458E+00, 1.067E+01, 1.293E-02, 1.195E+00
 8.900E+01, 9.457E+00, 1.062E+01, 1.323E-02, 1.195E+00
 9.001E+01, 9.457E+00, 1.053E+01, 1.140E-02, 1.195E+00
 9.100E+01, 9.454E+00, 1.056E+01, 1.032E-02, 1.195E+00
 9.200E+01, 9.458E+00, 1.075E+01, 1.451E-02, 1.195E+00
 9.301E+01, 9.465E+00, 1.047E+01, 1.262E-02, 1.195E+00
 9.400E+01, 9.466E+00, 1.017E+01, 1.163E-02, 1.195E+00
 9.501E+01, 9.463E+00, 1.065E+01, 1.479E-02, 1.195E+00
 9.600E+01, 9.468E+00, 1.071E+01, 1.803E-02, 1.195E+00
 9.700E+01, 9.476E+00, 1.087E+01, 1.267E-02, 1.195E+00
 9.801E+01, 9.480E+00, 1.060E+01, 1.183E-02, 1.195E+00
 9.900E+01, 9.475E+00, 1.030E+01, 1.046E-02, 1.195E+00
 1.000E+02, 9.478E+00, 1.063E+01, 1.107E-02, 1.195E+00
