s,kg/s,kg/s,m3/s,m3/s
Time,m_dot_in,m_dot_out,V_dot_in,V_dot_out
 0.0000000E+000,-7.4344500E-006, 1.1097034E-006,-6.0715322E-018,-8.8904578E-018
 1.2722809E+000, 1.6923110E+002, 2.1191666E+002, 1.4166807E+002, 1.7740120E+002
 2.2239603E+000, 2.2738052E+002, 3.1639633E+002, 1.9034642E+002, 2.6486398E+002
 3.0315558E+000, 2.3689114E+002, 2.8554743E+002, 1.9830802E+002, 2.3903952E+002
 4.0966635E+000, 2.3853314E+002, 3.0904526E+002, 1.9968257E+002, 2.5871019E+002
 5.0596813E+000, 2.3886120E+002, 3.3907217E+002, 1.9995720E+002, 2.8384653E+002
 6.0647157E+000, 2.3890473E+002, 3.6394702E+002, 1.9999364E+002, 3.0466994E+002
 7.0106144E+000, 2.3891127E+002, 3.7989727E+002, 1.9999912E+002, 3.1802234E+002
 8.0592532E+000, 2.3891219E+002, 3.6308671E+002, 1.9999988E+002, 3.0394977E+002
 9.0520205E+000, 2.3891232E+002, 3.6420341E+002, 1.9999999E+002, 3.0488458E+002
 1.0055510E+001, 2.3891234E+002, 3.5930657E+002, 2.0000000E+002, 3.0078530E+002
 1.1065239E+001, 2.3891234E+002, 3.5757669E+002, 2.0000000E+002, 2.9933716E+002
 1.2031469E+001, 2.3891234E+002, 3.5876418E+002, 2.0000000E+002, 3.0033125E+002
 1.3047985E+001, 2.3891233E+002, 3.5208875E+002, 1.9999999E+002, 2.9474306E+002
 1.4019026E+001, 2.3891233E+002, 3.4979083E+002, 1.9999999E+002, 2.9281941E+002
 1.5055877E+001, 2.3891233E+002, 3.6084741E+002, 1.9999999E+002, 3.0207518E+002
 1.6028013E+001, 2.3891233E+002, 3.5172423E+002, 2.0000000E+002, 2.9443792E+002
 1.7064360E+001, 2.3891233E+002, 3.6024379E+002, 2.0000000E+002, 3.0156989E+002
 1.8027186E+001, 2.3891233E+002, 3.5917412E+002, 2.0000001E+002, 3.0067443E+002
 1.9046345E+001, 2.3891233E+002, 3.4588260E+002, 2.0000001E+002, 2.8954773E+002
 2.0039633E+001, 2.3891232E+002, 3.6049053E+002, 2.0000001E+002, 3.0177643E+002
 2.1092526E+001, 2.3891233E+002, 3.5010630E+002, 2.0000001E+002, 2.9308351E+002
 2.2059694E+001, 2.3891234E+002, 3.5427511E+002, 2.0000001E+002, 2.9657332E+002
 2.3012808E+001, 2.3891234E+002, 3.5742750E+002, 2.0000001E+002, 2.9921227E+002
 2.4087227E+001, 2.3891234E+002, 3.5460881E+002, 2.0000001E+002, 2.9685267E+002
 2.5040341E+001, 2.3891234E+002, 3.4785829E+002, 2.0000001E+002, 2.9120163E+002
 2.6046306E+001, 2.3891233E+002, 3.4540620E+002, 2.0000000E+002, 2.8914892E+002
 2.7065751E+001, 2.3891234E+002, 3.4128897E+002, 2.0000000E+002, 2.8570226E+002
 2.8066209E+001, 2.3891234E+002, 3.4999525E+002, 2.0000000E+002, 2.9299052E+002
 2.9027618E+001, 2.3891233E+002, 3.4603620E+002, 2.0000000E+002, 2.8967629E+002
 3.0005492E+001, 2.3891233E+002, 3.4250253E+002, 2.0000000E+002, 2.8671817E+002
 3.1060978E+001, 2.3891233E+002, 3.4188287E+002, 2.0000000E+002, 2.8619945E+002
 3.2086262E+001, 2.3891233E+002, 3.4279334E+002, 2.0000001E+002, 2.8696164E+002
 3.3004796E+001, 2.3891232E+002, 3.4214997E+002, 2.0000001E+002, 2.8642305E+002
 3.4044175E+001, 2.3891233E+002, 3.4138094E+002, 2.0000001E+002, 2.8577926E+002
 3.5076625E+001, 2.3891233E+002, 3.3791849E+002, 2.0000002E+002, 2.8288073E+002
 3.6051302E+001, 2.3891232E+002, 3.3669153E+002, 2.0000001E+002, 2.8185360E+002
 3.7048729E+001, 2.3891233E+002, 3.3445982E+002, 2.0000001E+002, 2.7998539E+002
 3.8007300E+001, 2.3891234E+002, 3.3151970E+002, 2.0000001E+002, 2.7752416E+002
 3.9009008E+001, 2.3891235E+002, 3.3591961E+002, 2.0000001E+002, 2.8120745E+002
 4.0088319E+001, 2.3891235E+002, 3.3115200E+002, 2.0000001E+002, 2.7721635E+002
 4.1007171E+001, 2.3891234E+002, 3.3494767E+002, 2.0000000E+002, 2.8039380E+002
 4.2013738E+001, 2.3891234E+002, 3.3637354E+002, 2.0000000E+002, 2.8158743E+002
 4.3077562E+001, 2.3891233E+002, 3.3257282E+002, 2.0000000E+002, 2.7840574E+002
 4.4073689E+001, 2.3891233E+002, 3.3322400E+002, 1.9999999E+002, 2.7895086E+002
 4.5031130E+001, 2.3891233E+002, 3.3176843E+002, 2.0000000E+002, 2.7773238E+002
 4.6061739E+001, 2.3891233E+002, 3.3078355E+002, 1.9999999E+002, 2.7690792E+002
 4.7095922E+001, 2.3891233E+002, 3.3025421E+002, 2.0000000E+002, 2.7646479E+002
 4.8019825E+001, 2.3891233E+002, 3.2660636E+002, 2.0000000E+002, 2.7341106E+002
 4.9011002E+001, 2.3891233E+002, 3.2520575E+002, 2.0000000E+002, 2.7223856E+002
 5.0028496E+001, 2.3891232E+002, 3.2962129E+002, 2.0000000E+002, 2.7593491E+002
 5.1046983E+001, 2.3891232E+002, 3.2526956E+002, 2.0000001E+002, 2.7229195E+002
 5.2084330E+001, 2.3891233E+002, 3.3264270E+002, 2.0000001E+002, 2.7846422E+002
 5.3006766E+001, 2.3891233E+002, 3.3150762E+002, 2.0000001E+002, 2.7751402E+002
 5.4007402E+001, 2.3891234E+002, 3.3157113E+002, 2.0000001E+002, 2.7756719E+002
 5.5098094E+001, 2.3891235E+002, 3.2620744E+002, 2.0000001E+002, 2.7307709E+002
 5.6103817E+001, 2.3891234E+002, 3.2285695E+002, 2.0000000E+002, 2.7027227E+002
 5.7047110E+001, 2.3891233E+002, 3.2424662E+002, 2.0000000E+002, 2.7143559E+002
 5.8095214E+001, 2.3891233E+002, 3.1996536E+002, 2.0000000E+002, 2.6785163E+002
 5.9038507E+001, 2.3891233E+002, 3.2172801E+002, 1.9999999E+002, 2.6932718E+002
 6.0086611E+001, 2.3891233E+002, 3.1867448E+002, 1.9999999E+002, 2.6677098E+002
 6.1029904E+001, 2.3891234E+002, 3.1973823E+002, 2.0000000E+002, 2.6766148E+002
 6.2004641E+001, 2.3891234E+002, 3.1422314E+002, 2.0000000E+002, 2.6304464E+002
 6.3053793E+001, 2.3891234E+002, 3.1293832E+002, 2.0000000E+002, 2.6196906E+002
 6.4038425E+001, 2.3891234E+002, 3.2031802E+002, 1.9999999E+002, 2.6814681E+002
 6.5045114E+001, 2.3891233E+002, 3.1732592E+002, 1.9999999E+002, 2.6564208E+002
 6.6051803E+001, 2.3891233E+002, 3.2567109E+002, 1.9999999E+002, 2.7262809E+002
 6.7007934E+001, 2.3891233E+002, 3.1625061E+002, 2.0000000E+002, 2.6474191E+002
 6.8049689E+001, 2.3891232E+002, 3.2043697E+002, 2.0000000E+002, 2.6824636E+002
 6.9031915E+001, 2.3891232E+002, 3.2540046E+002, 2.0000001E+002, 2.7240142E+002
 7.0088405E+001, 2.3891233E+002, 3.1929596E+002, 2.0000001E+002, 2.6729123E+002
 7.1048850E+001, 2.3891233E+002, 3.2436533E+002, 2.0000001E+002, 2.7153494E+002
 7.2062548E+001, 2.3891233E+002, 3.1782519E+002, 2.0000000E+002, 2.6606002E+002
 7.3008415E+001, 2.3891234E+002, 3.2095715E+002, 2.0000001E+002, 2.6868197E+002
 7.4048870E+001, 2.3891234E+002, 3.1794048E+002, 2.0000001E+002, 2.6615672E+002
 7.5014211E+001, 2.3891234E+002, 3.1782571E+002, 2.0000001E+002, 2.6606059E+002
 7.6064712E+001, 2.3891235E+002, 3.1540834E+002, 2.0000001E+002, 2.6403681E+002
 7.7004184E+001, 2.3891234E+002, 3.0996851E+002, 2.0000000E+002, 2.5948293E+002
 7.8037604E+001, 2.3891233E+002, 3.1448604E+002, 2.0000000E+002, 2.6326472E+002
 7.9071023E+001, 2.3891232E+002, 3.1136119E+002, 1.9999999E+002, 2.6064889E+002
 8.0054658E+001, 2.3891232E+002, 3.1029060E+002, 2.0000000E+002, 2.5975265E+002
 8.1052919E+001, 2.3891233E+002, 3.1216733E+002, 2.0000001E+002, 2.6132369E+002
 8.2087902E+001, 2.3891233E+002, 3.1177665E+002, 2.0000001E+002, 2.6099666E+002
 8.3036426E+001, 2.3891233E+002, 3.0869657E+002, 2.0000001E+002, 2.5841823E+002
 8.4065835E+001, 2.3891233E+002, 3.1019980E+002, 2.0000000E+002, 2.5967661E+002
 8.5024245E+001, 2.3891233E+002, 3.1458446E+002, 2.0000000E+002, 2.6334712E+002
 8.6000180E+001, 2.3891233E+002, 3.0849916E+002, 2.0000000E+002, 2.5825297E+002
 8.7000851E+001, 2.3891233E+002, 3.0839648E+002, 2.0000000E+002, 2.5816703E+002
 8.8009862E+001, 2.3891234E+002, 3.1488356E+002, 2.0000001E+002, 2.6359757E+002
