s,m3/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00, 3.253E-19, 1.691E-02, 2.500E-02, 1.165E+00
 5.212E-01, 2.088E-01, 2.389E-01, 2.500E-02, 1.165E+00
 1.013E+00, 5.444E-01, 6.694E-01, 2.500E-02, 1.165E+00
 1.506E+00, 8.277E-01, 1.074E+00, 2.500E-02, 1.165E+00
 2.027E+00, 1.087E+00, 1.463E+00, 2.500E-02, 1.165E+00
 2.519E+00, 1.318E+00, 1.818E+00, 2.500E-02, 1.165E+00
 3.011E+00, 1.520E+00, 2.131E+00, 2.500E-02, 1.165E+00
 3.504E+00, 1.702E+00, 2.413E+00, 2.500E-02, 1.165E+00
 4.025E+00, 1.870E+00, 2.676E+00, 2.500E-02, 1.165E+00
 4.517E+00, 2.021E+00, 2.911E+00, 2.500E-02, 1.165E+00
 5.009E+00, 2.153E+00, 3.118E+00, 2.500E-02, 1.165E+00
 5.501E+00, 2.272E+00, 3.303E+00, 2.500E-02, 1.165E+00
 6.023E+00, 2.383E+00, 3.475E+00, 2.500E-02, 1.165E+00
 6.515E+00, 2.482E+00, 3.630E+00, 2.500E-02, 1.165E+00
 7.007E+00, 2.568E+00, 3.765E+00, 2.500E-02, 1.165E+00
 7.528E+00, 2.648E+00, 3.891E+00, 2.500E-02, 1.165E+00
 8.021E+00, 2.721E+00, 4.003E+00, 2.500E-02, 1.165E+00
 8.513E+00, 2.784E+00, 4.102E+00, 2.500E-02, 1.165E+00
 9.005E+00, 2.840E+00, 4.190E+00, 2.500E-02, 1.165E+00
 9.526E+00, 2.893E+00, 4.272E+00, 2.500E-02, 1.165E+00
 1.002E+01, 2.940E+00, 4.346E+00, 2.500E-02, 1.165E+00
 1.051E+01, 2.982E+00, 4.411E+00, 2.500E-02, 1.165E+00
 1.100E+01, 3.019E+00, 4.469E+00, 2.500E-02, 1.165E+00
 1.152E+01, 3.053E+00, 4.523E+00, 2.500E-02, 1.165E+00
 1.202E+01, 3.085E+00, 4.571E+00, 2.500E-02, 1.165E+00
 1.251E+01, 3.112E+00, 4.613E+00, 2.500E-02, 1.165E+00
 1.300E+01, 3.136E+00, 4.652E+00, 2.500E-02, 1.165E+00
 1.352E+01, 3.159E+00, 4.687E+00, 2.500E-02, 1.165E+00
 1.401E+01, 3.179E+00, 4.719E+00, 2.500E-02, 1.165E+00
 1.451E+01, 3.197E+00, 4.746E+00, 2.500E-02, 1.165E+00
 1.503E+01, 3.213E+00, 4.772E+00, 2.500E-02, 1.165E+00
 1.552E+01, 3.228E+00, 4.795E+00, 2.500E-02, 1.165E+00
 1.601E+01, 3.241E+00, 4.815E+00, 2.500E-02, 1.165E+00
 1.650E+01, 3.253E+00, 4.834E+00, 2.500E-02, 1.165E+00
 1.703E+01, 3.264E+00, 4.851E+00, 2.500E-02, 1.165E+00
 1.752E+01, 3.273E+00, 4.866E+00, 2.500E-02, 1.165E+00
 1.801E+01, 3.282E+00, 4.879E+00, 2.500E-02, 1.165E+00
 1.850E+01, 3.289E+00, 4.891E+00, 2.500E-02, 1.165E+00
 1.902E+01, 3.297E+00, 4.902E+00, 2.500E-02, 1.165E+00
 1.952E+01, 3.303E+00, 4.912E+00, 2.500E-02, 1.165E+00
 2.001E+01, 3.308E+00, 4.921E+00, 2.500E-02, 1.165E+00
 2.050E+01, 3.313E+00, 4.928E+00, 2.500E-02, 1.165E+00
 2.102E+01, 3.318E+00, 4.936E+00, 2.500E-02, 1.165E+00
 2.151E+01, 3.322E+00, 4.942E+00, 2.500E-02, 1.165E+00
 2.201E+01, 3.326E+00, 4.948E+00, 2.500E-02, 1.165E+00
 2.253E+01, 3.329E+00, 4.953E+00, 2.500E-02, 1.165E+00
