m,Pa
p-x,p
 1.0000000E+000, 2.4704213E+001
 1.9987500E+000, 2.4699046E+001
 2.9975000E+000, 2.4684987E+001
 3.9962500E+000, 2.4667509E+001
 4.9950000E+000, 2.4648104E+001
 5.9937500E+000, 2.4627775E+001
 6.9925000E+000, 2.4607154E+001
 7.9912500E+000, 2.4586638E+001
 8.9900000E+000, 2.4566477E+001
 9.9887500E+000, 2.4546839E+001
 1.0987500E+001, 2.4527834E+001
 1.1986250E+001, 2.4509534E+001
 1.2985000E+001, 2.4491983E+001
 1.3983750E+001, 2.4475204E+001
 1.4982500E+001, 2.4459203E+001
 1.5981250E+001, 2.4443974E+001
 1.6980000E+001, 2.4429500E+001
 1.7978750E+001, 2.4415756E+001
 1.8977500E+001, 2.4402712E+001
 1.9976250E+001, 2.4390330E+001
 2.0975000E+001, 2.4378571E+001
 2.1973750E+001, 2.4367393E+001
 2.2972500E+001, 2.4356754E+001
 2.3971250E+001, 2.4346614E+001
 2.4970000E+001, 2.4336932E+001
 2.5968750E+001, 2.4327670E+001
 2.6967500E+001, 2.4318793E+001
 2.7966250E+001, 2.4310268E+001
 2.8965000E+001, 2.4302066E+001
 2.9963750E+001, 2.4294162E+001
 3.0962500E+001, 2.4286536E+001
 3.1961250E+001, 2.4279169E+001
 3.2960000E+001, 2.4272051E+001
 3.3958750E+001, 2.4265169E+001
 3.4957500E+001, 2.4258517E+001
 3.5956250E+001, 2.4252085E+001
 3.6955000E+001, 2.4245868E+001
 3.7953750E+001, 2.4239858E+001
 3.8952500E+001, 2.4234050E+001
 3.9951250E+001, 2.4228442E+001
 4.0950000E+001, 2.4223031E+001
 4.1948750E+001, 2.4217815E+001
 4.2947500E+001, 2.4212792E+001
 4.3946250E+001, 2.4207961E+001
 4.4945000E+001, 2.4203314E+001
 4.5943750E+001, 2.4198843E+001
 4.6942500E+001, 2.4194534E+001
 4.7941250E+001, 2.4190371E+001
 4.8940000E+001, 2.4186333E+001
 4.9938750E+001, 2.4182398E+001
 5.0937500E+001, 2.4178541E+001
 5.1936250E+001, 2.4174732E+001
 5.2935000E+001, 2.4170935E+001
 5.3933750E+001, 2.4167111E+001
 5.4932500E+001, 2.4163220E+001
 5.5931250E+001, 2.4159223E+001
 5.6930000E+001, 2.4155081E+001
 5.7928750E+001, 2.4150763E+001
 5.8927500E+001, 2.4146239E+001
 5.9926250E+001, 2.4141483E+001
 6.0925000E+001, 2.4136479E+001
 6.1923750E+001, 2.4131215E+001
 6.2922500E+001, 2.4125690E+001
 6.3921250E+001, 2.4119905E+001
 6.4920000E+001, 2.4113862E+001
 6.5918750E+001, 2.4107566E+001
 6.6917500E+001, 2.4101023E+001
 6.7916250E+001, 2.4094251E+001
 6.8915000E+001, 2.4087270E+001
 6.9913750E+001, 2.4080104E+001
 7.0912500E+001, 2.4072777E+001
 7.1911250E+001, 2.4065315E+001
 7.2910000E+001, 2.4057741E+001
 7.3908750E+001, 2.4050073E+001
 7.4907500E+001, 2.4042328E+001
 7.5906250E+001, 2.4034517E+001
 7.6905000E+001, 2.4026653E+001
 7.7903750E+001, 2.4018745E+001
 7.8902500E+001, 2.4010802E+001
 7.9901250E+001, 2.4002832E+001
 8.0900000E+001, 2.3994840E+001
 8.1898750E+001, 2.3986832E+001
 8.2897500E+001, 2.3978816E+001
 8.3896250E+001, 2.3970795E+001
 8.4895000E+001, 2.3962766E+001
 8.5893750E+001, 2.3954726E+001
 8.6892500E+001, 2.3946671E+001
 8.7891250E+001, 2.3938603E+001
 8.8890000E+001, 2.3930529E+001
 8.9888750E+001, 2.3922457E+001
 9.0887500E+001, 2.3914395E+001
 9.1886250E+001, 2.3906343E+001
 9.2885000E+001, 2.3898306E+001
 9.3883750E+001, 2.3890283E+001
 9.4882500E+001, 2.3882276E+001
 9.5881250E+001, 2.3874279E+001
 9.6880000E+001, 2.3866286E+001
 9.7878750E+001, 2.3858290E+001
 9.8877500E+001, 2.3850290E+001
 9.9876250E+001, 2.3842290E+001
 1.0087500E+002, 2.3834295E+001
 1.0187375E+002, 2.3826305E+001
 1.0287250E+002, 2.3818318E+001
 1.0387125E+002, 2.3810333E+001
 1.0487000E+002, 2.3802349E+001
 1.0586875E+002, 2.3794370E+001
 1.0686750E+002, 2.3786398E+001
 1.0786625E+002, 2.3778438E+001
 1.0886500E+002, 2.3770490E+001
 1.0986375E+002, 2.3762551E+001
 1.1086250E+002, 2.3754610E+001
 1.1186125E+002, 2.3746663E+001
 1.1286000E+002, 2.3738714E+001
 1.1385875E+002, 2.3730769E+001
 1.1485750E+002, 2.3722829E+001
 1.1585625E+002, 2.3714895E+001
 1.1685500E+002, 2.3706973E+001
 1.1785375E+002, 2.3699063E+001
 1.1885250E+002, 2.3691158E+001
 1.1985125E+002, 2.3683250E+001
 1.2085000E+002, 2.3675331E+001
 1.2184875E+002, 2.3667399E+001
 1.2284750E+002, 2.3659451E+001
 1.2384625E+002, 2.3651487E+001
 1.2484500E+002, 2.3643509E+001
 1.2584375E+002, 2.3635518E+001
