s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.082E-21,-4.227E-04, 1.796E-05, 1.196E+00
 2.003E-01, 8.765E+00, 8.842E+00, 1.118E-04, 1.196E+00
 4.023E-01, 2.449E+01, 2.539E+01, 5.087E-04, 1.196E+00
 6.009E-01, 3.901E+01, 4.196E+01, 1.848E-02, 1.196E+00
 8.011E-01, 5.227E+01, 5.813E+01, 5.233E-02, 1.196E+00
 1.000E+00, 6.368E+01, 7.386E+01, 7.738E-02, 1.196E+00
 1.201E+00, 7.167E+01, 9.011E+01, 9.901E-02, 1.196E+00
 1.401E+00, 7.750E+01, 9.893E+01, 1.026E-01, 1.196E+00
 1.601E+00, 8.178E+01, 1.046E+02, 1.133E-01, 1.196E+00
 1.801E+00, 8.503E+01, 1.087E+02, 1.230E-01, 1.196E+00
 2.000E+00, 8.751E+01, 1.089E+02, 1.265E-01, 1.196E+00
 2.201E+00, 8.911E+01, 1.123E+02, 1.094E-01, 1.196E+00
 2.401E+00, 9.014E+01, 1.161E+02, 1.346E-01, 1.196E+00
 2.600E+00, 9.083E+01, 1.163E+02, 1.372E-01, 1.196E+00
 2.800E+00, 9.121E+01, 1.167E+02, 1.420E-01, 1.196E+00
 3.000E+00, 9.149E+01, 1.151E+02, 1.339E-01, 1.196E+00
 3.200E+00, 9.164E+01, 1.144E+02, 1.186E-01, 1.196E+00
 3.400E+00, 9.179E+01, 1.157E+02, 1.252E-01, 1.196E+00
 3.601E+00, 9.202E+01, 1.145E+02, 1.164E-01, 1.196E+00
 3.801E+00, 9.219E+01, 1.167E+02, 1.229E-01, 1.196E+00
 4.001E+00, 9.234E+01, 1.133E+02, 1.274E-01, 1.196E+00
 4.200E+00, 9.233E+01, 1.164E+02, 1.210E-01, 1.196E+00
 4.400E+00, 9.239E+01, 1.168E+02, 1.344E-01, 1.196E+00
 4.600E+00, 9.222E+01, 1.139E+02, 1.392E-01, 1.196E+00
 4.800E+00, 9.214E+01, 1.187E+02, 1.543E-01, 1.196E+00
 5.001E+00, 9.222E+01, 1.183E+02, 1.370E-01, 1.196E+00
 5.201E+00, 9.236E+01, 1.178E+02, 1.540E-01, 1.196E+00
 5.400E+00, 9.246E+01, 1.149E+02, 1.487E-01, 1.196E+00
 5.600E+00, 9.262E+01, 1.177E+02, 1.178E-01, 1.196E+00
 5.801E+00, 9.277E+01, 1.201E+02, 1.237E-01, 1.196E+00
 6.000E+00, 9.278E+01, 1.148E+02, 1.302E-01, 1.196E+00
 6.200E+00, 9.277E+01, 1.168E+02, 1.165E-01, 1.196E+00
 6.401E+00, 9.265E+01, 1.181E+02, 1.277E-01, 1.196E+00
 6.600E+00, 9.257E+01, 1.174E+02, 1.152E-01, 1.196E+00
 6.800E+00, 9.263E+01, 1.153E+02, 1.132E-01, 1.196E+00
 7.001E+00, 9.271E+01, 1.163E+02, 1.133E-01, 1.196E+00
