s,m/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00,-1.220E-19,-1.902E-03, 6.754E-05, 1.195E+00
 1.028E+00, 5.020E-01, 5.022E-01, 9.464E-05, 1.195E+00
 2.053E+00, 1.303E+00, 1.322E+00, 9.207E-05, 1.195E+00
 3.011E+00, 2.057E+00, 2.142E+00, 2.098E-04, 1.195E+00
 4.013E+00, 2.755E+00, 2.949E+00, 1.080E-03, 1.195E+00
 5.014E+00, 3.413E+00, 3.729E+00, 3.112E-03, 1.195E+00
 6.006E+00, 4.014E+00, 4.423E+00, 4.962E-03, 1.195E+00
 7.005E+00, 4.557E+00, 5.262E+00, 6.127E-03, 1.195E+00
 8.006E+00, 5.028E+00, 5.833E+00, 6.368E-03, 1.195E+00
 9.013E+00, 5.416E+00, 6.359E+00, 6.763E-03, 1.195E+00
 1.001E+01, 5.725E+00, 7.071E+00, 8.790E-03, 1.195E+00
 1.101E+01, 5.976E+00, 7.315E+00, 8.672E-03, 1.195E+00
 1.201E+01, 6.169E+00, 7.413E+00, 7.216E-03, 1.195E+00
 1.301E+01, 6.319E+00, 7.653E+00, 6.191E-03, 1.195E+00
 1.401E+01, 6.437E+00, 7.326E+00, 6.684E-03, 1.195E+00
 1.501E+01, 6.528E+00, 7.591E+00, 9.963E-03, 1.195E+00
 1.601E+01, 6.598E+00, 7.721E+00, 9.512E-03, 1.195E+00
 1.701E+01, 6.657E+00, 7.769E+00, 9.635E-03, 1.195E+00
 1.801E+01, 6.701E+00, 7.710E+00, 9.757E-03, 1.195E+00
 1.900E+01, 6.734E+00, 7.638E+00, 7.908E-03, 1.195E+00
 2.000E+01, 6.753E+00, 7.787E+00, 8.832E-03, 1.195E+00
 2.100E+01, 6.766E+00, 7.878E+00, 7.636E-03, 1.195E+00
 2.200E+01, 6.782E+00, 7.883E+00, 9.534E-03, 1.195E+00
 2.300E+01, 6.794E+00, 7.876E+00, 9.578E-03, 1.195E+00
 2.400E+01, 6.797E+00, 8.010E+00, 9.260E-03, 1.195E+00
 2.501E+01, 6.804E+00, 8.080E+00, 8.878E-03, 1.195E+00
 2.600E+01, 6.815E+00, 7.965E+00, 1.068E-02, 1.195E+00
 2.700E+01, 6.824E+00, 8.158E+00, 9.736E-03, 1.195E+00
 2.801E+01, 6.840E+00, 7.884E+00, 8.915E-03, 1.195E+00
 2.901E+01, 6.854E+00, 8.152E+00, 7.886E-03, 1.195E+00
 3.001E+01, 6.853E+00, 7.894E+00, 8.475E-03, 1.195E+00
 3.101E+01, 6.844E+00, 8.034E+00, 9.338E-03, 1.195E+00
 3.201E+01, 6.846E+00, 8.090E+00, 1.031E-02, 1.195E+00
 3.300E+01, 6.853E+00, 7.978E+00, 7.874E-03, 1.195E+00
 3.400E+01, 6.862E+00, 8.029E+00, 8.040E-03, 1.195E+00
