s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-1.902E-03, 6.754E-05, 1.195E+00
 5.139E+00, 2.228E-02, 1.947E-02, 7.933E-05, 1.195E+00
 1.008E+01, 6.416E-02, 6.162E-02, 9.563E-05, 1.195E+00
 1.502E+01, 1.047E-01, 1.057E-01, 5.772E-05, 1.195E+00
 2.016E+01, 1.453E-01, 1.444E-01, 4.868E-05, 1.195E+00
 2.510E+01, 1.850E-01, 1.906E-01, 4.411E-05, 1.195E+00
 3.004E+01, 2.229E-01, 2.332E-01, 6.398E-05, 1.195E+00
 3.518E+01, 2.605E-01, 2.744E-01, 4.717E-05, 1.195E+00
 4.012E+01, 2.969E-01, 3.149E-01, 5.916E-05, 1.195E+00
 4.506E+01, 3.315E-01, 3.573E-01, 4.807E-05, 1.195E+00
 5.000E+01, 3.649E-01, 3.966E-01, 5.838E-05, 1.195E+00
 5.514E+01, 3.977E-01, 4.417E-01, 8.246E-05, 1.195E+00
 6.008E+01, 4.292E-01, 4.809E-01, 1.576E-04, 1.195E+00
 6.502E+01, 4.589E-01, 5.136E-01, 3.130E-04, 1.195E+00
 7.006E+01, 4.875E-01, 5.430E-01, 5.864E-04, 1.195E+00
 7.505E+01, 5.151E-01, 5.830E-01, 7.815E-04, 1.195E+00
 8.011E+01, 5.415E-01, 6.484E-01, 7.813E-04, 1.195E+00
 8.502E+01, 5.664E-01, 6.486E-01, 9.007E-04, 1.195E+00
 9.008E+01, 5.898E-01, 6.594E-01, 7.474E-04, 1.195E+00
 9.503E+01, 6.121E-01, 6.729E-01, 5.383E-04, 1.195E+00
 1.001E+02, 6.329E-01, 7.092E-01, 6.800E-04, 1.195E+00
 1.051E+02, 6.526E-01, 7.476E-01, 1.030E-03, 1.195E+00
 1.101E+02, 6.708E-01, 7.612E-01, 9.119E-04, 1.195E+00
 1.150E+02, 6.878E-01, 7.718E-01, 1.062E-03, 1.195E+00
 1.200E+02, 7.039E-01, 8.197E-01, 1.339E-03, 1.195E+00
 1.250E+02, 7.190E-01, 8.325E-01, 1.204E-03, 1.195E+00
 1.300E+02, 7.330E-01, 8.329E-01, 1.189E-03, 1.195E+00
 1.350E+02, 7.461E-01, 8.414E-01, 1.228E-03, 1.195E+00
 1.401E+02, 7.582E-01, 8.752E-01, 1.274E-03, 1.195E+00
 1.450E+02, 7.695E-01, 8.730E-01, 1.114E-03, 1.195E+00
 1.500E+02, 7.801E-01, 9.049E-01, 8.290E-04, 1.195E+00
 1.551E+02, 7.902E-01, 8.571E-01, 1.033E-03, 1.195E+00
