s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-4.730E-03, 6.760E-05, 1.196E+00
 3.004E+01, 1.253E-03,-1.603E-03, 4.635E-05, 1.196E+00
 6.008E+01, 3.699E-03, 2.421E-03, 3.268E-05, 1.196E+00
 9.012E+01, 6.083E-03, 5.310E-03, 3.524E-05, 1.196E+00
 1.202E+02, 8.423E-03, 6.637E-03, 4.564E-05, 1.196E+00
 1.500E+02, 1.075E-02, 8.585E-03, 3.047E-05, 1.196E+00
 1.801E+02, 1.309E-02, 1.312E-02, 2.475E-05, 1.196E+00
 2.101E+02, 1.541E-02, 1.621E-02, 2.648E-05, 1.196E+00
 2.401E+02, 1.765E-02, 1.960E-02, 2.429E-05, 1.196E+00
 2.702E+02, 1.981E-02, 2.164E-02, 2.341E-05, 1.196E+00
 3.000E+02, 2.191E-02, 2.414E-02, 2.128E-05, 1.196E+00
 3.301E+02, 2.394E-02, 2.677E-02, 2.447E-05, 1.196E+00
 3.601E+02, 2.593E-02, 2.818E-02, 2.182E-05, 1.196E+00
 3.901E+02, 2.786E-02, 3.092E-02, 2.151E-05, 1.196E+00
 4.202E+02, 2.973E-02, 3.359E-02, 2.111E-05, 1.196E+00
 4.500E+02, 3.155E-02, 3.645E-02, 2.077E-05, 1.196E+00
 4.801E+02, 3.332E-02, 3.864E-02, 2.068E-05, 1.196E+00
 5.101E+02, 3.505E-02, 4.148E-02, 2.175E-05, 1.196E+00
 5.402E+02, 3.673E-02, 4.377E-02, 2.080E-05, 1.196E+00
 5.700E+02, 3.835E-02, 4.618E-02, 2.068E-05, 1.196E+00
 6.000E+02, 3.994E-02, 4.829E-02, 2.050E-05, 1.196E+00
 6.301E+02, 4.148E-02, 5.098E-02, 2.202E-05, 1.196E+00
 6.601E+02, 4.298E-02, 5.370E-02, 2.292E-05, 1.196E+00
 6.902E+02, 4.444E-02, 5.604E-02, 2.344E-05, 1.196E+00
 7.200E+02, 4.585E-02, 5.823E-02, 2.388E-05, 1.196E+00
 7.501E+02, 4.722E-02, 6.061E-02, 2.492E-05, 1.196E+00
 7.801E+02, 4.855E-02, 6.309E-02, 2.649E-05, 1.196E+00
 8.101E+02, 4.984E-02, 6.551E-02, 2.812E-05, 1.196E+00
 8.402E+02, 5.109E-02, 6.759E-02, 2.845E-05, 1.196E+00
 8.700E+02, 5.228E-02, 6.984E-02, 2.994E-05, 1.196E+00
 9.001E+02, 5.343E-02, 7.222E-02, 3.260E-05, 1.196E+00
 9.301E+02, 5.454E-02, 7.435E-02, 3.457E-05, 1.196E+00
 9.601E+02, 5.561E-02, 7.601E-02, 3.486E-05, 1.196E+00
 9.902E+02, 5.663E-02, 7.816E-02, 3.687E-05, 1.196E+00
 1.020E+03, 5.761E-02, 8.052E-02, 3.934E-05, 1.196E+00
 1.050E+03, 5.855E-02, 8.186E-02, 4.149E-05, 1.196E+00
 1.080E+03, 5.945E-02, 8.326E-02, 4.220E-05, 1.196E+00
 1.110E+03, 6.030E-02, 8.525E-02, 4.517E-05, 1.196E+00
 1.140E+03, 6.111E-02, 8.710E-02, 4.653E-05, 1.196E+00
 1.170E+03, 6.187E-02, 8.743E-02, 4.595E-05, 1.196E+00
 1.200E+03, 6.259E-02, 8.949E-02, 5.250E-05, 1.196E+00
 1.230E+03, 6.325E-02, 9.049E-02, 5.161E-05, 1.196E+00
 1.260E+03, 6.384E-02, 8.977E-02, 5.896E-05, 1.196E+00
 1.290E+03, 6.435E-02, 9.222E-02, 6.269E-05, 1.196E+00
 1.320E+03, 6.478E-02, 9.056E-02, 6.535E-05, 1.196E+00
 1.350E+03, 6.511E-02, 9.163E-02, 5.189E-05, 1.196E+00
 1.380E+03, 6.538E-02, 9.080E-02, 6.856E-05, 1.196E+00
 1.410E+03, 6.560E-02, 8.960E-02, 7.460E-05, 1.196E+00
 1.440E+03, 6.578E-02, 8.452E-02, 6.322E-05, 1.196E+00
 1.470E+03, 6.592E-02, 8.698E-02, 7.928E-05, 1.196E+00
 1.500E+03, 6.605E-02, 8.442E-02, 5.195E-05, 1.196E+00
 1.530E+03, 6.615E-02, 8.632E-02, 5.345E-05, 1.196E+00
 1.560E+03, 6.623E-02, 8.306E-02, 5.343E-05, 1.196E+00
 1.590E+03, 6.631E-02, 8.069E-02, 5.210E-05, 1.196E+00
 1.620E+03, 6.638E-02, 8.341E-02, 5.042E-05, 1.196E+00
 1.650E+03, 6.644E-02, 8.589E-02, 5.291E-05, 1.196E+00
 1.680E+03, 6.650E-02, 8.249E-02, 4.452E-05, 1.196E+00
 1.710E+03, 6.655E-02, 8.120E-02, 4.733E-05, 1.196E+00
 1.740E+03, 6.659E-02, 8.302E-02, 5.523E-05, 1.196E+00
 1.770E+03, 6.664E-02, 8.566E-02, 4.443E-05, 1.196E+00
