s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 7.900E+01, 1.139E+01, 1.362E+01, 7.602E-03, 1.195E+00
 8.000E+01, 1.139E+01, 1.351E+01, 6.681E-03, 1.195E+00
 8.100E+01, 1.140E+01, 1.283E+01, 5.508E-03, 1.195E+00
 8.200E+01, 1.139E+01, 1.294E+01, 6.739E-03, 1.195E+00
 8.300E+01, 1.139E+01, 1.331E+01, 6.478E-03, 1.195E+00
 8.400E+01, 1.140E+01, 1.317E+01, 7.490E-03, 1.195E+00
 8.500E+01, 1.140E+01, 1.300E+01, 7.385E-03, 1.195E+00
 8.600E+01, 1.140E+01, 1.325E+01, 8.595E-03, 1.195E+00
 8.700E+01, 1.140E+01, 1.339E+01, 6.463E-03, 1.195E+00
 8.800E+01, 1.141E+01, 1.341E+01, 8.020E-03, 1.195E+00
 8.900E+01, 1.141E+01, 1.312E+01, 7.600E-03, 1.195E+00
 9.000E+01, 1.140E+01, 1.312E+01, 6.696E-03, 1.195E+00
 9.100E+01, 1.140E+01, 1.324E+01, 7.486E-03, 1.195E+00
 9.200E+01, 1.140E+01, 1.365E+01, 6.989E-03, 1.195E+00
 9.300E+01, 1.140E+01, 1.342E+01, 6.392E-03, 1.195E+00
 9.400E+01, 1.140E+01, 1.333E+01, 7.311E-03, 1.195E+00
 9.500E+01, 1.139E+01, 1.329E+01, 7.662E-03, 1.195E+00
 9.600E+01, 1.139E+01, 1.295E+01, 6.674E-03, 1.195E+00
 9.700E+01, 1.139E+01, 1.298E+01, 8.330E-03, 1.195E+00
 9.800E+01, 1.138E+01, 1.300E+01, 6.195E-03, 1.195E+00
 9.900E+01, 1.138E+01, 1.326E+01, 7.427E-03, 1.195E+00
 1.000E+02, 1.138E+01, 1.325E+01, 5.646E-03, 1.195E+00
