s,kg/s,kg/s,m3/s,m3/s
Time,m_dot_in,m_dot_out,V_dot_in,V_dot_out
 0.0000000E+000, 2.1180556E-008, 4.6280570E-008, 6.7762636E-019, 4.2961511E-018
 1.0805135E+000, 1.2233545E+002, 1.4720816E+002, 1.0241036E+002, 1.2323197E+002
 2.0257474E+000, 2.1711080E+002, 2.4585670E+002, 1.8174938E+002, 2.0581336E+002
 3.0190445E+000, 2.3548000E+002, 3.0875219E+002, 1.9712674E+002, 2.5846490E+002
 4.0033725E+000, 2.3842770E+002, 3.6420263E+002, 1.9959433E+002, 3.0488397E+002
 5.0057077E+000, 2.3884480E+002, 3.7561857E+002, 1.9994350E+002, 3.1444056E+002
 6.0095108E+000, 2.3890318E+002, 3.7455984E+002, 1.9999236E+002, 3.1355427E+002
 7.0100632E+000, 2.3891108E+002, 3.6410298E+002, 1.9999897E+002, 3.0480056E+002
 8.0065074E+000, 2.3891214E+002, 3.6382132E+002, 1.9999986E+002, 3.0456477E+002
 9.0117167E+000, 2.3891228E+002, 3.6327115E+002, 1.9999998E+002, 3.0410421E+002
 1.0005622E+001, 2.3891230E+002, 3.5613324E+002, 2.0000000E+002, 2.9812887E+002
 1.1009607E+001, 2.3891230E+002, 3.5563825E+002, 2.0000000E+002, 2.9771449E+002
 1.2003736E+001, 2.3891231E+002, 3.5322811E+002, 2.0000000E+002, 2.9569690E+002
 1.3011120E+001, 2.3891231E+002, 3.5048184E+002, 2.0000000E+002, 2.9339793E+002
 1.4004206E+001, 2.3891230E+002, 3.5353630E+002, 2.0000000E+002, 2.9595490E+002
 1.5010923E+001, 2.3891230E+002, 3.5318889E+002, 2.0000000E+002, 2.9566406E+002
 1.6010782E+001, 2.3891231E+002, 3.4828654E+002, 2.0000000E+002, 2.9156018E+002
 1.7010266E+001, 2.3891230E+002, 3.4714962E+002, 2.0000000E+002, 2.9060842E+002
 1.8013635E+001, 2.3891231E+002, 3.4825318E+002, 2.0000000E+002, 2.9153225E+002
 1.9006582E+001, 2.3891231E+002, 3.5141343E+002, 2.0000000E+002, 2.9417779E+002
 2.0011676E+001, 2.3891231E+002, 3.4560986E+002, 2.0000000E+002, 2.8931946E+002
 2.1011981E+001, 2.3891231E+002, 3.4457020E+002, 2.0000000E+002, 2.8844913E+002
 2.2007620E+001, 2.3891230E+002, 3.4407482E+002, 2.0000000E+002, 2.8803443E+002
 2.3014623E+001, 2.3891230E+002, 3.4373140E+002, 2.0000000E+002, 2.8774694E+002
 2.4012513E+001, 2.3891231E+002, 3.4253980E+002, 2.0000000E+002, 2.8674941E+002
 2.5002769E+001, 2.3891231E+002, 3.4759505E+002, 2.0000000E+002, 2.9098131E+002
 2.6008611E+001, 2.3891231E+002, 3.4374838E+002, 2.0000000E+002, 2.8776116E+002
 2.7002332E+001, 2.3891231E+002, 3.3705353E+002, 2.0000000E+002, 2.8215672E+002
 2.8005740E+001, 2.3891231E+002, 3.3609217E+002, 2.0000000E+002, 2.8135193E+002
 2.9012748E+001, 2.3891230E+002, 3.4227594E+002, 2.0000000E+002, 2.8652853E+002
 3.0011363E+001, 2.3891230E+002, 3.3949164E+002, 2.0000000E+002, 2.8419770E+002
 3.1013546E+001, 2.3891230E+002, 3.3946774E+002, 2.0000000E+002, 2.8417770E+002
 3.2012495E+001, 2.3891231E+002, 3.3666463E+002, 2.0000000E+002, 2.8183115E+002
 3.3009039E+001, 2.3891231E+002, 3.3424818E+002, 2.0000000E+002, 2.7980827E+002
 3.4006230E+001, 2.3891230E+002, 3.3885319E+002, 2.0000000E+002, 2.8366322E+002
 3.5013961E+001, 2.3891231E+002, 3.3768984E+002, 2.0000000E+002, 2.8268931E+002
 3.6005660E+001, 2.3891230E+002, 3.3855351E+002, 2.0000000E+002, 2.8341231E+002
 3.7006698E+001, 2.3891231E+002, 3.3085327E+002, 2.0000000E+002, 2.7696629E+002
 3.8011913E+001, 2.3891231E+002, 3.2963136E+002, 2.0000000E+002, 2.7594349E+002
 3.9001301E+001, 2.3891230E+002, 3.2659608E+002, 2.0000000E+002, 2.7340266E+002
 4.0004540E+001, 2.3891231E+002, 3.3102456E+002, 2.0000000E+002, 2.7710985E+002
 4.1014500E+001, 2.3891231E+002, 3.2660873E+002, 2.0000000E+002, 2.7341322E+002
 4.2009328E+001, 2.3891231E+002, 3.3291792E+002, 2.0000000E+002, 2.7869476E+002
 4.3014897E+001, 2.3891231E+002, 3.2644412E+002, 2.0000000E+002, 2.7327533E+002
 4.4000504E+001, 2.3891231E+002, 3.3281086E+002, 2.0000000E+002, 2.7860517E+002
 4.5007050E+001, 2.3891231E+002, 3.3167632E+002, 2.0000000E+002, 2.7765547E+002
 4.6001145E+001, 2.3891230E+002, 3.3424041E+002, 2.0000000E+002, 2.7980168E+002
 4.7000063E+001, 2.3891231E+002, 3.2599368E+002, 2.0000000E+002, 2.7289795E+002
 4.8013531E+001, 2.3891230E+002, 3.2512254E+002, 2.0000000E+002, 2.7216867E+002
 4.9011160E+001, 2.3891230E+002, 3.2611785E+002, 2.0000000E+002, 2.7300159E+002
 5.0007483E+001, 2.3891231E+002, 3.2279091E+002, 2.0000000E+002, 2.7021649E+002
 5.1013921E+001, 2.3891230E+002, 3.2989609E+002, 2.0000001E+002, 2.7616453E+002
 5.2013363E+001, 2.3891230E+002, 3.2104361E+002, 2.0000000E+002, 2.6875393E+002
 5.3001913E+001, 2.3891231E+002, 3.2436589E+002, 2.0000001E+002, 2.7153515E+002
 5.4009020E+001, 2.3891230E+002, 3.2879199E+002, 2.0000001E+002, 2.7524045E+002
 5.5012341E+001, 2.3891230E+002, 3.2785954E+002, 2.0000000E+002, 2.7446033E+002
 5.6011159E+001, 2.3891231E+002, 3.2289913E+002, 2.0000001E+002, 2.7030792E+002
 5.7008176E+001, 2.3891230E+002, 3.1854856E+002, 2.0000000E+002, 2.6666589E+002
 5.8001915E+001, 2.3891230E+002, 3.2073422E+002, 2.0000000E+002, 2.6849532E+002
