s,m3/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00, 2.541E-21, 1.016E-03, 2.966E-05, 1.195E+00
 5.039E+00, 2.116E-02, 1.803E-02, 2.617E-05, 1.195E+00
 1.003E+01, 6.237E-02, 6.531E-02, 2.421E-05, 1.195E+00
 1.502E+01, 1.027E-01, 1.053E-01, 2.192E-05, 1.195E+00
 2.001E+01, 1.425E-01, 1.467E-01, 2.031E-05, 1.195E+00
 2.505E+01, 1.819E-01, 1.889E-01, 1.928E-05, 1.195E+00
 3.004E+01, 2.205E-01, 2.306E-01, 1.942E-05, 1.195E+00
 3.503E+01, 2.581E-01, 2.723E-01, 1.911E-05, 1.195E+00
 4.002E+01, 2.951E-01, 3.143E-01, 1.912E-05, 1.195E+00
 4.501E+01, 3.314E-01, 3.559E-01, 2.013E-05, 1.195E+00
 5.004E+01, 3.673E-01, 3.979E-01, 2.574E-05, 1.195E+00
 5.503E+01, 4.025E-01, 4.438E-01, 5.727E-05, 1.195E+00
 6.003E+01, 4.369E-01, 4.644E-01, 1.444E-04, 1.195E+00
 6.502E+01, 4.703E-01, 5.090E-01, 1.078E-04, 1.195E+00
 7.001E+01, 5.014E-01, 5.685E-01, 1.493E-04, 1.195E+00
 7.501E+01, 5.299E-01, 6.543E-01, 1.875E-04, 1.195E+00
 8.002E+01, 5.565E-01, 6.506E-01, 1.567E-04, 1.195E+00
 8.503E+01, 5.818E-01, 7.055E-01, 1.776E-04, 1.195E+00
 9.002E+01, 6.059E-01, 7.435E-01, 1.732E-04, 1.195E+00
 9.502E+01, 6.289E-01, 8.117E-01, 2.074E-04, 1.195E+00
 1.000E+02, 6.508E-01, 8.019E-01, 2.250E-04, 1.195E+00
 1.050E+02, 6.716E-01, 8.225E-01, 2.198E-04, 1.195E+00
 1.100E+02, 6.910E-01, 8.775E-01, 1.987E-04, 1.195E+00
 1.150E+02, 7.093E-01, 9.003E-01, 1.977E-04, 1.195E+00
 1.200E+02, 7.267E-01, 9.098E-01, 2.566E-04, 1.195E+00
 1.250E+02, 7.428E-01, 9.748E-01, 2.875E-04, 1.195E+00
 1.300E+02, 7.576E-01, 9.687E-01, 3.151E-04, 1.195E+00
 1.350E+02, 7.712E-01, 1.016E+00, 2.644E-04, 1.195E+00
 1.400E+02, 7.840E-01, 9.994E-01, 2.653E-04, 1.195E+00
 1.450E+02, 7.960E-01, 1.025E+00, 2.788E-04, 1.195E+00
 1.500E+02, 8.072E-01, 1.015E+00, 2.608E-04, 1.195E+00
 1.550E+02, 8.174E-01, 1.065E+00, 2.514E-04, 1.195E+00
 1.600E+02, 8.270E-01, 1.044E+00, 2.886E-04, 1.195E+00
 1.650E+02, 8.360E-01, 1.063E+00, 2.811E-04, 1.195E+00
 1.700E+02, 8.444E-01, 1.070E+00, 3.433E-04, 1.195E+00
 1.750E+02, 8.523E-01, 1.092E+00, 2.840E-04, 1.195E+00
 1.800E+02, 8.599E-01, 1.119E+00, 3.198E-04, 1.195E+00
 1.850E+02, 8.669E-01, 1.101E+00, 3.613E-04, 1.195E+00
 1.900E+02, 8.733E-01, 1.154E+00, 3.771E-04, 1.195E+00
 1.950E+02, 8.793E-01, 1.114E+00, 3.318E-04, 1.195E+00
 2.000E+02, 8.849E-01, 1.132E+00, 3.696E-04, 1.195E+00
 2.050E+02, 8.902E-01, 1.131E+00, 2.987E-04, 1.195E+00
 2.100E+02, 8.952E-01, 1.179E+00, 4.352E-04, 1.195E+00
 2.150E+02, 8.998E-01, 1.191E+00, 2.992E-04, 1.195E+00
 2.200E+02, 9.041E-01, 1.167E+00, 3.203E-04, 1.195E+00
 2.250E+02, 9.079E-01, 1.178E+00, 3.713E-04, 1.195E+00
 2.300E+02, 9.115E-01, 1.170E+00, 3.403E-04, 1.195E+00
 2.350E+02, 9.150E-01, 1.206E+00, 3.184E-04, 1.195E+00
 2.400E+02, 9.185E-01, 1.201E+00, 3.279E-04, 1.195E+00
 2.450E+02, 9.217E-01, 1.174E+00, 3.815E-04, 1.195E+00
 2.500E+02, 9.246E-01, 1.186E+00, 3.815E-04, 1.195E+00
 2.550E+02, 9.269E-01, 1.189E+00, 2.922E-04, 1.195E+00
 2.600E+02, 9.291E-01, 1.220E+00, 3.140E-04, 1.195E+00
 2.650E+02, 9.312E-01, 1.210E+00, 2.902E-04, 1.195E+00
 2.700E+02, 9.329E-01, 1.171E+00, 3.027E-04, 1.195E+00
 2.750E+02, 9.345E-01, 1.209E+00, 3.313E-04, 1.195E+00
 2.800E+02, 9.364E-01, 1.218E+00, 3.450E-04, 1.195E+00
 2.850E+02, 9.379E-01, 1.216E+00, 3.071E-04, 1.195E+00
 2.900E+02, 9.391E-01, 1.202E+00, 3.258E-04, 1.195E+00
 2.950E+02, 9.405E-01, 1.221E+00, 3.515E-04, 1.195E+00
 3.000E+02, 9.414E-01, 1.222E+00, 2.958E-04, 1.195E+00
 3.050E+02, 9.419E-01, 1.203E+00, 2.787E-04, 1.195E+00
 3.100E+02, 9.422E-01, 1.169E+00, 3.184E-04, 1.195E+00
 3.150E+02, 9.427E-01, 1.219E+00, 3.812E-04, 1.195E+00
 3.200E+02, 9.436E-01, 1.187E+00, 3.670E-04, 1.195E+00
 3.250E+02, 9.444E-01, 1.233E+00, 3.549E-04, 1.195E+00
 3.300E+02, 9.450E-01, 1.237E+00, 3.811E-04, 1.195E+00
 3.350E+02, 9.459E-01, 1.238E+00, 3.008E-04, 1.195E+00
 3.400E+02, 9.469E-01, 1.214E+00, 2.898E-04, 1.195E+00
 3.450E+02, 9.478E-01, 1.232E+00, 3.791E-04, 1.195E+00
 3.500E+02, 9.487E-01, 1.245E+00, 3.067E-04, 1.195E+00
 3.550E+02, 9.494E-01, 1.234E+00, 3.310E-04, 1.195E+00
 3.600E+02, 9.499E-01, 1.221E+00, 3.321E-04, 1.195E+00
