s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.200E+02, 4.277E+02,-2.693E+02,-1.514E+02, 3.644E+00, 0.000E+00, 0.000E+00,-5.175E+00, 5.590E+00, 5.471E+00, 1.068E-02, 1.068E-02
 3.300E+02, 4.371E+02,-2.616E+02,-1.706E+02, 4.534E+00, 0.000E+00, 0.000E+00,-5.210E+00, 4.052E+00, 4.171E+00, 1.076E-02, 1.076E-02
 3.400E+02, 4.574E+02,-2.553E+02,-1.971E+02, 4.036E+00, 0.000E+00, 0.000E+00,-5.206E+00, 4.473E+00, 3.768E+00, 1.073E-02, 1.073E-02
 3.500E+02, 4.543E+02,-2.630E+02,-1.803E+02, 4.599E+00, 0.000E+00, 0.000E+00,-5.292E+00, 1.071E+01, 1.036E+01, 1.091E-02, 1.091E-02
 3.600E+02, 4.787E+02,-2.616E+02,-2.162E+02, 2.709E+00, 0.000E+00, 0.000E+00,-5.254E+00,-8.897E-01,-1.653E+00, 1.090E-02, 1.090E-02
 3.700E+02, 4.529E+02,-2.613E+02,-1.864E+02, 5.676E+00, 0.000E+00, 0.000E+00,-5.277E+00, 5.720E+00, 5.531E+00, 1.090E-02, 1.090E-02
 3.800E+02, 5.283E+02,-2.883E+02,-2.330E+02, 2.493E+00, 0.000E+00, 0.000E+00,-5.339E+00, 4.594E+00, 4.174E+00, 1.104E-02, 1.104E-02
 3.900E+02, 4.501E+02,-2.511E+02,-1.884E+02, 5.621E+00, 0.000E+00, 0.000E+00,-5.345E+00, 1.191E+01, 1.088E+01, 1.105E-02, 1.105E-02
 4.000E+02, 4.922E+02,-2.707E+02,-2.243E+02, 2.994E+00, 0.000E+00, 0.000E+00,-5.322E+00,-3.791E+00,-5.144E+00, 1.099E-02, 1.099E-02
 4.100E+02, 4.523E+02,-2.510E+02,-2.069E+02, 4.903E+00, 0.000E+00, 0.000E+00,-5.406E+00,-4.687E+00,-6.161E+00, 1.118E-02, 1.118E-02
 4.200E+02, 4.470E+02,-2.447E+02,-1.885E+02, 2.786E+00, 0.000E+00, 0.000E+00,-5.378E+00, 1.200E+01, 1.126E+01, 1.114E-02, 1.114E-02
 4.300E+02, 4.175E+02,-2.350E+02,-1.811E+02, 4.904E+00, 0.000E+00, 0.000E+00,-5.479E+00, 1.108E+00, 8.501E-01, 1.134E-02, 1.134E-02
 4.400E+02, 4.645E+02,-2.457E+02,-2.133E+02, 4.210E+00, 0.000E+00, 0.000E+00,-5.481E+00, 4.766E+00, 4.205E+00, 1.137E-02, 1.137E-02
 4.500E+02, 4.107E+02,-2.251E+02,-1.860E+02, 6.442E+00, 0.000E+00, 0.000E+00,-5.636E+00, 5.828E-01, 3.855E-01, 1.166E-02, 1.166E-02
 4.600E+02, 5.239E+02,-2.659E+02,-2.417E+02, 3.165E+00, 0.000E+00, 0.000E+00,-5.630E+00, 1.485E+01, 1.381E+01, 1.175E-02, 1.175E-02
 4.700E+02, 4.231E+02,-2.237E+02,-1.960E+02, 4.988E+00, 0.000E+00, 0.000E+00,-5.725E+00, 3.376E+00, 2.721E+00, 1.195E-02, 1.195E-02
 4.800E+02, 4.487E+02,-2.362E+02,-2.086E+02, 3.122E+00, 0.000E+00, 0.000E+00,-5.826E+00, 1.645E+00, 1.217E+00, 1.219E-02, 1.219E-02
 4.900E+02, 5.125E+02,-2.503E+02,-2.536E+02, 3.357E+00, 0.000E+00, 0.000E+00,-5.956E+00, 7.178E+00, 5.969E+00, 1.240E-02, 1.240E-02
 5.000E+02, 4.535E+02,-2.286E+02,-2.215E+02, 3.630E+00, 0.000E+00, 0.000E+00,-5.987E+00, 1.144E+00, 1.006E+00, 1.258E-02, 1.258E-02
 5.100E+02, 4.776E+02,-2.255E+02,-2.377E+02, 2.991E+00, 0.000E+00, 0.000E+00,-6.144E+00, 1.180E+01, 1.124E+01, 1.286E-02, 1.286E-02
 5.200E+02, 4.579E+02,-2.236E+02,-2.263E+02, 3.528E+00, 0.000E+00, 0.000E+00,-6.199E+00, 6.064E+00, 5.318E+00, 1.297E-02, 1.297E-02
 5.300E+02, 5.148E+02,-2.342E+02,-2.693E+02, 3.227E+00, 0.000E+00, 0.000E+00,-6.315E+00, 7.800E+00, 8.189E+00, 1.323E-02, 1.323E-02
 5.400E+02, 4.657E+02,-2.147E+02,-2.459E+02, 4.254E+00, 0.000E+00, 0.000E+00,-6.382E+00, 4.006E+00, 2.911E+00, 1.339E-02, 1.339E-02
 5.500E+02, 4.761E+02,-2.208E+02,-2.496E+02, 3.987E+00, 0.000E+00, 0.000E+00,-6.418E+00, 3.365E+00, 3.246E+00, 1.348E-02, 1.348E-02
 5.600E+02, 4.512E+02,-2.122E+02,-2.322E+02, 4.838E+00, 0.000E+00, 0.000E+00,-6.594E+00, 5.663E+00, 5.037E+00, 1.375E-02, 1.375E-02
 5.700E+02, 4.237E+02,-1.982E+02,-2.170E+02, 6.187E+00, 0.000E+00, 0.000E+00,-6.681E+00, 7.552E+00, 7.990E+00, 1.390E-02, 1.390E-02
 5.800E+02, 4.423E+02,-1.972E+02,-2.334E+02, 6.779E+00, 0.000E+00, 0.000E+00,-6.887E+00, 1.131E+01, 1.158E+01, 1.430E-02, 1.430E-02
 5.900E+02, 4.430E+02,-2.014E+02,-2.419E+02, 6.636E+00, 0.000E+00, 0.000E+00,-6.823E+00,-5.562E-01,-5.387E-01, 1.416E-02, 1.416E-02
 6.000E+02, 4.571E+02,-1.983E+02,-2.499E+02, 6.284E+00, 0.000E+00, 0.000E+00,-6.950E+00, 8.127E+00, 8.251E+00, 1.436E-02, 1.436E-02
 6.100E+02, 4.605E+02,-1.998E+02,-2.539E+02, 7.901E+00, 0.000E+00, 0.000E+00,-7.148E+00, 6.914E+00, 7.590E+00, 1.480E-02, 1.480E-02
 6.200E+02, 4.516E+02,-1.957E+02,-2.403E+02, 6.541E+00, 0.000E+00, 0.000E+00,-7.148E+00, 1.427E+01, 1.503E+01, 1.475E-02, 1.475E-02
 6.300E+02, 4.560E+02,-1.901E+02,-2.468E+02, 7.101E+00, 0.000E+00, 0.000E+00,-7.198E+00, 1.870E+01, 1.900E+01, 1.490E-02, 1.490E-02
 6.400E+02, 4.652E+02,-1.872E+02,-2.710E+02, 5.541E+00, 0.000E+00, 0.000E+00,-7.369E+00, 4.077E+00, 5.100E+00, 1.521E-02, 1.521E-02
 6.500E+02, 5.138E+02,-1.984E+02,-3.015E+02, 7.044E+00, 0.000E+00, 0.000E+00,-7.472E+00, 1.268E+01, 1.345E+01, 1.544E-02, 1.544E-02
 6.600E+02, 5.769E+02,-2.072E+02,-3.577E+02, 5.956E+00, 0.000E+00, 0.000E+00,-7.492E+00, 9.297E+00, 1.052E+01, 1.548E-02, 1.548E-02
 6.700E+02, 6.756E+02,-2.294E+02,-4.449E+02, 6.137E+00, 0.000E+00, 0.000E+00,-7.629E+00,-1.179E+00,-1.870E-01, 1.565E-02, 1.565E-02
 6.800E+02, 6.936E+02,-2.377E+02,-4.337E+02, 5.511E+00, 0.000E+00, 0.000E+00,-7.705E+00, 1.826E+01, 1.999E+01, 1.582E-02, 1.582E-02
 6.900E+02, 6.839E+02,-2.390E+02,-4.491E+02, 7.158E+00, 0.000E+00, 0.000E+00,-7.784E+00,-6.307E+00,-4.845E+00, 1.606E-02, 1.606E-02
 7.000E+02, 6.410E+02,-2.281E+02,-4.014E+02, 8.208E+00, 0.000E+00, 0.000E+00,-7.890E+00, 1.023E+01, 1.193E+01, 1.630E-02, 1.630E-02
 7.100E+02, 6.790E+02,-2.275E+02,-4.557E+02, 5.547E+00, 0.000E+00, 0.000E+00,-8.074E+00,-8.873E+00,-6.799E+00, 1.654E-02, 1.654E-02
 7.200E+02, 7.053E+02,-2.295E+02,-4.638E+02, 5.192E+00, 0.000E+00, 0.000E+00,-8.024E+00, 7.445E+00, 9.151E+00, 1.649E-02, 1.649E-02
 7.300E+02, 6.225E+02,-2.114E+02,-4.140E+02, 7.399E+00, 0.000E+00, 0.000E+00,-8.148E+00,-5.032E+00,-3.671E+00, 1.683E-02, 1.683E-02
 7.400E+02, 6.748E+02,-2.241E+02,-4.439E+02, 8.240E+00, 0.000E+00, 0.000E+00,-8.218E+00, 7.183E+00, 6.737E+00, 1.697E-02, 1.697E-02
 7.500E+02, 7.210E+02,-2.345E+02,-4.755E+02, 6.476E+00, 0.000E+00, 0.000E+00,-8.414E+00, 8.413E+00, 9.089E+00, 1.727E-02, 1.727E-02
 7.600E+02, 7.363E+02,-2.405E+02,-4.936E+02, 6.458E+00, 0.000E+00, 0.000E+00,-8.398E+00,-1.042E+00, 2.683E-01, 1.723E-02, 1.723E-02
 7.700E+02, 7.160E+02,-2.302E+02,-4.741E+02, 7.318E+00, 0.000E+00, 0.000E+00,-8.584E+00, 8.249E+00, 1.046E+01, 1.765E-02, 1.765E-02
 7.800E+02, 7.553E+02,-2.389E+02,-5.141E+02, 7.956E+00, 0.000E+00, 0.000E+00,-8.707E+00,-1.157E+00, 1.558E+00, 1.785E-02, 1.785E-02
 7.900E+02, 7.133E+02,-2.378E+02,-4.671E+02, 7.817E+00, 0.000E+00, 0.000E+00,-8.767E+00, 3.126E+00, 7.438E+00, 1.804E-02, 1.804E-02
 8.000E+02, 6.631E+02,-2.124E+02,-4.394E+02, 6.980E+00, 0.000E+00, 0.000E+00,-8.703E+00, 8.332E+00, 9.584E+00, 1.792E-02, 1.792E-02
 8.100E+02, 7.163E+02,-2.369E+02,-4.715E+02, 6.929E+00, 0.000E+00, 0.000E+00,-8.979E+00, 4.036E+00, 5.854E+00, 1.847E-02, 1.847E-02
 8.200E+02, 7.081E+02,-2.246E+02,-4.819E+02, 6.963E+00, 0.000E+00, 0.000E+00,-9.077E+00,-2.410E+00,-4.911E-01, 1.864E-02, 1.864E-02
 8.300E+02, 6.935E+02,-2.184E+02,-4.520E+02, 7.854E+00, 0.000E+00, 0.000E+00,-9.148E+00, 1.901E+01, 2.184E+01, 1.876E-02, 1.876E-02
