s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.900E+02, 1.590E+03,-5.579E+02,-1.036E+03, 2.393E+01, 4.309E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.154E+01, 2.053E+01, 3.363E-02, 3.363E-02
 3.000E+02, 1.521E+03,-5.325E+02,-1.025E+03, 2.550E+01, 4.185E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.062E+01,-1.067E+01, 3.330E-02, 3.330E-02
 3.100E+02, 1.575E+03,-5.529E+02,-1.051E+03, 2.435E+01, 4.849E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.446E+00,-3.577E+00, 3.298E-02, 3.298E-02
 3.200E+02, 1.445E+03,-5.194E+02,-9.433E+02, 2.557E+01, 4.582E-01, 0.000E+00, 0.000E+00, 0.000E+00, 8.870E+00, 8.229E+00, 3.265E-02, 3.265E-02
 3.300E+02, 1.468E+03,-5.256E+02,-9.557E+02, 2.556E+01, 4.235E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.304E+01, 1.229E+01, 3.233E-02, 3.233E-02
 3.400E+02, 1.526E+03,-5.362E+02,-1.044E+03, 2.564E+01, 4.472E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.766E+01,-2.814E+01, 3.200E-02, 3.200E-02
 3.500E+02, 1.453E+03,-5.168E+02,-9.710E+02, 2.642E+01, 4.585E-01, 0.000E+00, 0.000E+00, 0.000E+00,-6.602E+00,-7.782E+00, 3.206E-02, 3.206E-02
 3.600E+02, 1.415E+03,-5.034E+02,-9.296E+02, 2.697E+01, 3.848E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.424E+00, 9.249E+00, 3.251E-02, 3.251E-02
 3.700E+02, 1.448E+03,-5.033E+02,-9.547E+02, 2.681E+01, 4.393E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.913E+01, 1.677E+01, 3.296E-02, 3.296E-02
 3.800E+02, 1.452E+03,-5.164E+02,-9.533E+02, 2.550E+01, 4.443E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.273E+00, 8.713E+00, 3.340E-02, 3.340E-02
 3.900E+02, 1.502E+03,-5.288E+02,-1.010E+03, 2.625E+01, 4.396E-01, 0.000E+00, 0.000E+00, 0.000E+00,-8.771E+00,-9.919E+00, 3.385E-02, 3.385E-02
 4.000E+02, 1.412E+03,-4.945E+02,-9.470E+02, 2.638E+01, 4.524E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.835E+00,-2.310E+00, 3.430E-02, 3.430E-02
 4.100E+02, 1.442E+03,-5.071E+02,-9.348E+02, 2.590E+01, 4.298E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.634E+01, 2.680E+01, 3.475E-02, 3.475E-02
 4.200E+02, 1.524E+03,-5.261E+02,-1.030E+03, 2.657E+01, 4.361E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.080E+00,-5.336E+00, 3.519E-02, 3.519E-02
 4.300E+02, 1.464E+03,-5.115E+02,-9.641E+02, 2.560E+01, 4.661E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.394E+01, 1.431E+01, 3.564E-02, 3.564E-02
 4.400E+02, 1.548E+03,-5.273E+02,-1.041E+03, 2.688E+01, 4.634E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.142E+00, 6.742E+00, 3.477E-02, 3.477E-02
 4.500E+02, 1.531E+03,-5.230E+02,-1.046E+03, 2.736E+01, 4.429E-01, 0.000E+00, 0.000E+00, 0.000E+00,-8.757E+00,-9.637E+00, 3.260E-02, 3.260E-02
 4.600E+02, 1.506E+03,-5.254E+02,-1.006E+03, 2.729E+01, 4.273E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.892E+00, 2.680E+00, 3.042E-02, 3.042E-02
 4.700E+02, 1.500E+03,-5.323E+02,-1.015E+03, 2.595E+01, 3.723E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.127E+01,-2.101E+01, 2.824E-02, 2.824E-02
 4.800E+02, 1.403E+03,-5.047E+02,-9.425E+02, 2.681E+01, 4.032E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.728E+01,-1.701E+01, 2.606E-02, 2.606E-02
 4.900E+02, 1.443E+03,-5.120E+02,-9.722E+02, 2.774E+01, 4.001E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.190E+01,-1.278E+01, 2.375E-02, 2.375E-02
 5.000E+02, 1.245E+03,-4.653E+02,-8.444E+02, 2.464E+01, 3.529E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.743E+01,-3.925E+01, 2.131E-02, 2.131E-02
 5.100E+02, 1.262E+03,-4.702E+02,-8.364E+02, 2.723E+01, 3.875E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.523E+01,-1.646E+01, 1.887E-02, 1.887E-02
 5.200E+02, 1.167E+03,-4.638E+02,-7.603E+02, 2.709E+01, 3.486E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.822E+01,-2.947E+01, 1.643E-02, 1.643E-02
 5.300E+02, 1.063E+03,-4.475E+02,-6.774E+02, 2.817E+01, 3.134E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.146E+01,-3.345E+01, 1.399E-02, 1.399E-02
 5.400E+02, 1.044E+03,-4.462E+02,-6.687E+02, 3.184E+01, 3.139E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.735E+01,-3.872E+01, 1.155E-02, 1.155E-02
 5.500E+02, 1.019E+03,-4.480E+02,-6.299E+02, 3.279E+01, 2.550E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.457E+01,-2.618E+01, 9.114E-03, 9.114E-03
 5.600E+02, 7.577E+02,-3.713E+02,-5.033E+02, 3.537E+01, 2.617E-01, 0.000E+00, 0.000E+00, 0.000E+00,-8.006E+01,-8.136E+01, 6.674E-03, 6.674E-03
 5.700E+02, 3.124E+02,-1.042E+02,-3.481E+02, 4.663E+01, 2.104E-01, 0.000E+00, 0.000E+00, 0.000E+00,-9.191E+01,-9.307E+01, 4.236E-03, 4.236E-03
 5.800E+02, 9.685E+01, 6.864E+01,-3.002E+02, 5.304E+01, 1.153E-01, 0.000E+00, 0.000E+00, 0.000E+00,-8.088E+01,-8.154E+01, 2.094E-03, 2.094E-03
 5.900E+02, 7.653E+01, 9.121E+01,-2.745E+02, 5.521E+01, 9.588E-02, 0.000E+00, 0.000E+00, 0.000E+00,-5.080E+01,-5.149E+01, 1.722E-03, 1.722E-03
 6.000E+02, 7.313E+01, 8.444E+01,-2.665E+02, 5.766E+01, 9.071E-02, 0.000E+00, 0.000E+00, 0.000E+00,-5.031E+01,-5.119E+01, 1.643E-03, 1.643E-03
 6.100E+02, 6.959E+01, 7.856E+01,-2.546E+02, 6.127E+01, 8.660E-02, 0.000E+00, 0.000E+00, 0.000E+00,-4.427E+01,-4.507E+01, 1.565E-03, 1.565E-03
 6.200E+02, 6.620E+01, 6.533E+01,-2.320E+02, 6.470E+01, 8.342E-02, 0.000E+00, 0.000E+00, 0.000E+00,-3.519E+01,-3.564E+01, 1.487E-03, 1.487E-03
 6.300E+02, 6.268E+01, 5.746E+01,-2.153E+02, 6.574E+01, 7.898E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.875E+01,-2.930E+01, 1.409E-03, 1.409E-03
 6.400E+02, 5.920E+01, 5.282E+01,-2.139E+02, 6.709E+01, 7.532E-02, 0.000E+00, 0.000E+00, 0.000E+00,-3.413E+01,-3.471E+01, 1.330E-03, 1.330E-03
 6.500E+02, 5.574E+01, 5.031E+01,-2.015E+02, 6.831E+01, 7.125E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.668E+01,-2.703E+01, 1.252E-03, 1.252E-03
 6.600E+02, 5.225E+01, 4.793E+01,-1.920E+02, 6.749E+01, 6.703E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.350E+01,-2.427E+01, 1.174E-03, 1.174E-03
