s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-3.470E-05,-5.504E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.476E-05, 0.000E+00, 0.000E+00
 1.001E+01, 9.954E+00,-5.141E-02, 1.758E-01,-1.343E-01,-1.251E-02, 0.000E+00, 0.000E+00, 0.000E+00, 9.744E+00, 9.931E+00, 2.333E-04, 2.333E-04
 2.002E+01, 2.959E+01,-6.321E-01, 5.091E-01,-2.078E+00,-3.741E-02, 0.000E+00, 0.000E+00, 0.000E+00, 2.728E+01, 2.735E+01, 6.938E-04, 6.938E-04
 3.001E+01, 4.958E+01,-2.230E+00, 7.437E-01,-4.090E+00,-6.143E-02, 0.000E+00, 0.000E+00, 0.000E+00, 4.388E+01, 4.394E+01, 1.155E-03, 1.155E-03
 4.002E+01, 6.925E+01,-5.798E+00,-1.905E+00,-6.166E+00,-8.502E-02, 0.000E+00, 0.000E+00, 0.000E+00, 5.529E+01, 5.530E+01, 1.616E-03, 1.616E-03
 5.001E+01, 8.978E+01,-1.120E+01,-8.334E+00,-8.012E+00,-1.085E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.208E+01, 6.212E+01, 2.078E-03, 2.078E-03
 6.000E+01, 1.093E+02,-1.610E+01,-1.615E+01,-1.007E+01,-1.311E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.681E+01, 6.688E+01, 2.539E-03, 2.539E-03
 7.001E+01, 1.292E+02,-2.116E+01,-2.773E+01,-1.240E+01,-1.528E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.779E+01, 6.780E+01, 3.000E-03, 3.000E-03
 8.001E+01, 1.489E+02,-2.823E+01,-4.046E+01,-1.367E+01,-1.751E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.636E+01, 6.634E+01, 3.462E-03, 3.462E-03
 9.003E+01, 1.691E+02,-3.612E+01,-5.015E+01,-1.539E+01,-1.975E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.716E+01, 6.727E+01, 3.924E-03, 3.924E-03
 1.000E+02, 1.886E+02,-4.709E+01,-6.324E+01,-1.649E+01,-2.190E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.141E+01, 6.151E+01, 4.385E-03, 4.385E-03
 1.100E+02, 2.090E+02,-5.813E+01,-7.601E+01,-1.701E+01,-2.382E-01, 0.000E+00, 0.000E+00, 0.000E+00, 5.764E+01, 5.760E+01, 4.847E-03, 4.847E-03
 1.200E+02, 2.268E+02,-7.123E+01,-8.764E+01,-1.727E+01,-2.566E-01, 0.000E+00, 0.000E+00, 0.000E+00, 5.045E+01, 5.043E+01, 5.308E-03, 5.308E-03
 1.300E+02, 2.496E+02,-8.634E+01,-9.840E+01,-1.654E+01,-2.734E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.797E+01, 4.799E+01, 5.769E-03, 5.769E-03
 1.400E+02, 2.679E+02,-9.985E+01,-1.089E+02,-1.523E+01,-2.883E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.365E+01, 4.366E+01, 6.231E-03, 6.231E-03
 1.500E+02, 2.871E+02,-1.123E+02,-1.210E+02,-1.276E+01,-3.042E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.066E+01, 4.075E+01, 6.692E-03, 6.692E-03
 1.600E+02, 3.084E+02,-1.268E+02,-1.284E+02,-1.085E+01,-3.177E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.258E+01, 4.196E+01, 7.153E-03, 7.153E-03
 1.700E+02, 3.257E+02,-1.389E+02,-1.431E+02,-7.927E+00,-3.329E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.578E+01, 3.534E+01, 7.614E-03, 7.614E-03
 1.800E+02, 3.468E+02,-1.521E+02,-1.538E+02,-5.100E+00,-3.424E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.586E+01, 3.555E+01, 8.076E-03, 8.076E-03
 1.900E+02, 3.725E+02,-1.694E+02,-1.600E+02,-3.386E+00,-3.530E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.972E+01, 3.934E+01, 8.537E-03, 8.537E-03
